match_id,map_name,map_order,score,winner,duration,picked_by
318911,Breeze,1,13 - 4,Karmine Corp,53:54,GIANTX
318911,Sunset,2,13 - 9,Karmine Corp,48:14,Karmine Corp
318913,Split,1,9 - 13,Team Liquid,1:06:03,Movistar KOI(KOI)
318913,Ascent,2,7 - 13,Team Liquid,44:37,Team Liquid
318914,Bind,1,9 - 13,Natus Vincere,1:09:47,Natus Vincere
318914,Lotus,2,4 - 13,Natus Vincere,39:45,Team Vitality
318915,Icebox,1,4 - 13,Team Heretics,46:51,FNATIC
318915,Lotus,2,15 - 17,Team Heretics,1:17:17,Team Heretics
318916,Split,1,5 - 13,FUT Esports,56:13,FUT Esports
318916,Icebox,2,8 - 13,FUT Esports,44:02,Team Liquid
318917,Ascent,1,7 - 13,Gentle Mates,55:02,BBL Esports
318917,Sunset,2,11 - 13,Gentle Mates,53:00,Gentle Mates
318918,Bind,1,13 - 11,Karmine Corp,1:12:38,FUT Esports
318918,Lotus,2,8 - 13,FUT Esports,46:07,Karmine Corp
318918,Breeze,3,7 - 13,FUT Esports,40:35,Decider
318919,Breeze,1,13 - 9,Team Vitality,58:15,Team Vitality
318919,Sunset,2,11 - 13,Team Heretics,55:12,Team Heretics
318919,Icebox,3,13 - 9,Team Vitality,52:30,Decider
318920,Lotus,1,13 - 10,Team Liquid,1:09:44,Team Liquid
318920,Split,2,11 - 13,Natus Vincere,57:30,Natus Vincere
318920,Ascent,3,5 - 13,Natus Vincere,40:55,Decider
318921,Breeze,1,13 - 4,BBL Esports,44:37,Movistar KOI(KOI)
318921,Icebox,2,13 - 3,BBL Esports,38:35,BBL Esports
318922,Bind,1,13 - 5,FNATIC,56:59,GIANTX
318922,Breeze,2,5 - 13,GIANTX,37:46,FNATIC
318922,Split,3,13 - 7,FNATIC,45:01,Decider
318923,Split,1,13 - 6,Karmine Corp,57:05,Karmine Corp
318923,Icebox,2,13 - 6,Karmine Corp,45:16,Gentle Mates
318924,Breeze,1,6 - 13,FNATIC,1:00:37,Gentle Mates
318924,Lotus,2,4 - 13,FNATIC,38:13,FNATIC
318925,Bind,1,13 - 7,Karmine Corp,50:43,Natus Vincere
318925,Sunset,2,7 - 13,Natus Vincere,42:26,Karmine Corp
318925,Split,3,6 - 13,Natus Vincere,42:25,Decider
318926,Split,1,13 - 7,BBL Esports,1:01:43,BBL Esports
318926,Sunset,2,13 - 10,BBL Esports,47:17,Team Heretics
318927,Ascent,1,7 - 13,FUT Esports,52:22,FUT Esports
318927,Icebox,2,13 - 9,Team Vitality,49:12,Team Vitality
318927,Sunset,3,13 - 9,Team Vitality,45:47,Decider
318928,Lotus,1,14 - 16,GIANTX,1:17:41,GIANTX
318928,Icebox,2,13 - 7,Team Liquid,42:13,Team Liquid
318928,Ascent,3,13 - 11,Team Liquid,53:10,Decider
318929,Bind,1,13 - 11,FNATIC,1:08:29,FNATIC
318929,Icebox,2,13 - 4,FNATIC,41:48,Movistar KOI(KOI)
318930,Sunset,1,2 - 13,Team Heretics,50:30,Team Heretics
318930,Bind,2,7 - 13,Team Heretics,46:33,Team Liquid
318931,Icebox,1,5 - 13,Gentle Mates,44:26,Team Vitality
318931,Sunset,2,5 - 13,Gentle Mates,39:39,Gentle Mates
318932,Split,1,7 - 13,FUT Esports,1:01:59,FUT Esports
318932,Lotus,2,13 - 15,FUT Esports,1:11:16,FNATIC
318933,Ascent,1,8 - 13,Natus Vincere,56:13,Natus Vincere
318933,Sunset,2,13 - 8,BBL Esports,51:26,BBL Esports
318933,Split,3,13 - 9,BBL Esports,53:01,Decider
318934,Lotus,1,14 - 16,GIANTX,1:24:40,GIANTX
318934,Breeze,2,13 - 7,Team Vitality,44:41,Team Vitality
318934,Sunset,3,13 - 6,Team Vitality,40:37,Decider
318935,Sunset,1,13 - 7,Karmine Corp,53:03,Movistar KOI(KOI)
318935,Icebox,2,7 - 13,Movistar KOI(KOI),45:41,Karmine Corp
318935,Bind,3,15 - 13,Karmine Corp,59:59,Decider
318936,Bind,1,6 - 13,GIANTX,58:01,GIANTX
318936,Sunset,2,11 - 13,GIANTX,45:57,BBL Esports
318937,Icebox,1,12 - 14,Team Heretics,1:10:36,Karmine Corp
318937,Lotus,2,13 - 5,Karmine Corp,36:06,Team Heretics
318937,Bind,3,9 - 13,Team Heretics,53:58,Decider
318938,Split,1,5 - 13,Movistar KOI(KOI),49:57,Movistar KOI(KOI)
318938,Breeze,2,13 - 7,Team Vitality,44:39,Team Vitality
318938,Icebox,3,4 - 13,Movistar KOI(KOI),37:33,Decider
318939,Breeze,1,6 - 13,FNATIC,49:46,FNATIC
318939,Ascent,2,13 - 8,Natus Vincere,48:42,Natus Vincere
318939,Bind,3,13 - 3,Natus Vincere,40:23,Decider
318940,Lotus,1,13 - 4,Team Liquid,56:37,Team Liquid
318940,Icebox,2,13 - 2,Team Liquid,31:54,Gentle Mates
318941,Bind,1,9 - 13,FUT Esports,1:02:29,FUT Esports
318941,Icebox,2,6 - 13,FUT Esports,39:42,BBL Esports
341816,Ascent,1,13 - 11,FNATIC,1:06:41,Team Liquid
341816,Icebox,2,12 - 14,Team Liquid,1:02:03,FNATIC
341816,Lotus,3,13 - 5,FNATIC,38:37,Decider
341817,Lotus,1,11 - 13,Team Heretics,1:00:07,Team Heretics
341817,Split,2,9 - 13,Team Heretics,54:02,Natus Vincere
341818,Breeze,1,11 - 13,FNATIC,1:16:00,FNATIC
341818,Bind,2,9 - 13,FNATIC,58:27,Karmine Corp
341819,Lotus,1,10 - 13,Team Heretics,1:05:40,Team Heretics
341819,Split,2,13 - 15,Team Heretics,1:06:59,FUT Esports
341820,Lotus,1,13 - 15,Team Heretics,1:32:38,Team Heretics
341820,Breeze,2,4 - 13,Team Heretics,38:50,FNATIC
341822,Icebox,1,3 - 13,FUT Esports,52:06,Karmine Corp
341822,Sunset,2,10 - 13,FUT Esports,50:11,FUT Esports
341823,Icebox,1,11 - 13,FUT Esports,1:15:01,FNATIC
