match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
318911,Karmine Corp vs GIANTX,Champions Tour 2024: EMEA Stage 1,2024-04-03 11:00:00,Bo3,Karmine Corp vs GIANTX,2 - 0,2,Patch 8.05,GX ban Lotus; KC ban Ascent; GX pick Breeze; KC pick Sunset; GX ban Split; KC ban Icebox; Bind remains
318913,Movistar KOI(KOI) vs Team Liquid,Champions Tour 2024: EMEA Stage 1,2024-04-03 13:05:00,Bo3,Movistar KOI(KOI) vs Team Liquid,0 - 2,2,Patch 8.05,MKOI ban Lotus; TL ban Breeze; MKOI pick Split; TL pick Ascent; MKOI ban Bind; TL ban Sunset; Icebox remains
318914,Team Vitality vs Natus Vincere,Champions Tour 2024: EMEA Stage 1,2024-04-04 11:00:00,Bo3,Team Vitality vs Natus Vincere,0 - 2,2,Patch 8.05,NAVI ban Sunset; VIT ban Ascent; NAVI pick Bind; VIT pick Lotus; NAVI ban Breeze; VIT ban Split; Icebox remains
318915,FNATIC vs Team Heretics,Champions Tour 2024: EMEA Stage 1,2024-04-04 13:10:00,Bo3,FNATIC vs Team Heretics,0 - 2,2,Patch 8.05,FNC ban Sunset; TH ban Ascent; FNC pick Icebox; TH pick Lotus; FNC ban Split; TH ban Breeze; Bind remains
318916,Team Liquid vs FUT Esports,Champions Tour 2024: EMEA Stage 1,2024-04-05 11:00:00,Bo3,Team Liquid vs FUT Esports,0 - 2,2,Patch 8.05,FUT ban Breeze; TL ban Bind; FUT pick Split; TL pick Icebox; FUT ban Ascent; TL ban Sunset; Lotus remains
318917,BBL Esports vs Gentle Mates,Champions Tour 2024: EMEA Stage 1,2024-04-05 13:00:00,Bo3,BBL Esports vs Gentle Mates,0 - 2,2,Patch 8.05,BBL ban Lotus; M8 ban Bind; BBL pick Ascent; M8 pick Sunset; BBL ban Breeze; M8 ban Split; Icebox remains
318918,Karmine Corp vs FUT Esports,Champions Tour 2024: EMEA Stage 1,2024-04-10 11:00:00,Bo3,Karmine Corp vs FUT Esports,1 - 2,3,Patch 8.05,FUT ban Sunset; KC ban Ascent; FUT pick Bind; KC pick Lotus; FUT ban Split; KC ban Icebox; Breeze remains
318919,Team Vitality vs Team Heretics,Champions Tour 2024: EMEA Stage 1,2024-04-10 14:10:00,Bo3,Team Vitality vs Team Heretics,2 - 1,3,Patch 8.05,VIT ban Lotus; TH ban Ascent; VIT pick Breeze; TH pick Sunset; VIT ban Bind; TH ban Split; Icebox remains
318920,Team Liquid vs Natus Vincere,Champions Tour 2024: EMEA Stage 1,2024-04-11 11:00:00,Bo3,Team Liquid vs Natus Vincere,1 - 2,3,Patch 8.05,TL ban Breeze; NAVI ban Sunset; TL pick Lotus; NAVI pick Split; TL ban Bind; NAVI ban Icebox; Ascent remains
318921,BBL Esports vs Movistar KOI(KOI),Champions Tour 2024: EMEA Stage 1,2024-04-11 14:20:00,Bo3,BBL Esports vs Movistar KOI(KOI),2 - 0,2,Patch 8.05,MKOI ban Split; BBL ban Bind; MKOI pick Breeze; BBL pick Icebox; MKOI ban Lotus; BBL ban Sunset; Ascent remains
318922,FNATIC vs GIANTX,Champions Tour 2024: EMEA Stage 1,2024-04-12 11:00:00,Bo3,FNATIC vs GIANTX,2 - 1,3,Patch 8.05,GX ban Lotus; FNC ban Sunset; GX pick Bind; FNC pick Breeze; GX ban Ascent; FNC ban Icebox; Split remains
318923,Karmine Corp vs Gentle Mates,Champions Tour 2024: EMEA Stage 1,2024-04-12 13:45:00,Bo3,Karmine Corp vs Gentle Mates,2 - 0,2,Patch 8.05,KC ban Ascent; M8 ban Bind; KC pick Split; M8 pick Icebox; KC ban Breeze; M8 ban Lotus; Sunset remains
318924,Gentle Mates vs FNATIC,Champions Tour 2024: EMEA Stage 1,2024-04-17 11:00:00,Bo3,Gentle Mates vs FNATIC,0 - 2,2,Patch 8.05,M8 ban Bind; FNC ban Sunset; M8 pick Breeze; FNC pick Lotus; M8 ban Icebox; FNC ban Ascent; Split remains
318925,Karmine Corp vs Natus Vincere,Champions Tour 2024: EMEA Stage 1,2024-04-17 13:00:00,Bo3,Karmine Corp vs Natus Vincere,1 - 2,3,Patch 8.05,NAVI ban Breeze; KC ban Ascent; NAVI pick Bind; KC pick Sunset; NAVI ban Lotus; KC ban Icebox; Split remains
