date,match_id,time,team1,score1,team2,score2,score,winner,status,week,stage
"Wed, April 3, 2024",318911,8:30 PM,Karmine Corp,2,GIANTX,0,2-0,Karmine Corp,Completed,Week 1,Regular Season
"Wed, April 3, 2024",318913,10:35 PM,KOI,0,Team Liquid,2,0-2,Team Liquid,Completed,Week 1,Regular Season
"Thu, April 4, 2024",318914,8:30 PM,Team Vitality,0,Natus Vincere,2,0-2,Natus Vincere,Completed,Week 1,Regular Season
"Thu, April 4, 2024",318915,10:40 PM,FNATIC,0,Team Heretics,2,0-2,Team Heretics,Completed,Week 1,Regular Season
"Fri, April 5, 2024",318916,8:30 PM,Team Liquid,0,FUT Esports,2,0-2,FUT Esports,Completed,Week 1,Regular Season
"Fri, April 5, 2024",318917,10:30 PM,BBL Esports,0,Gentle Mates,2,0-2,Gentle Mates,Completed,Week 1,Regular Season
"Wed, April 10, 2024",318918,8:30 PM,Karmine Corp,1,FUT Esports,2,1-2,FUT Esports,Completed,Week 2,Regular Season
"Wed, April 10, 2024",318919,11:40 PM,Team Vitality,2,Team Heretics,1,2-1,Team Vitality,Completed,Week 2,Regular Season
"Thu, April 11, 2024",318920,8:30 PM,Team Liquid,1,Natus Vincere,2,1-2,Natus Vincere,Completed,Week 2,Regular Season
"Thu, April 11, 2024",318921,11:50 PM,BBL Esports,2,KOI,0,2-0,BBL Esports,Completed,Week 2,Regular Season
"Fri, April 12, 2024",318922,8:30 PM,FNATIC,2,GIANTX,1,2-1,FNATIC,Completed,Week 2,Regular Season
"Fri, April 12, 2024",318923,11:15 PM,Karmine Corp,2,Gentle Mates,0,2-0,Karmine Corp,Completed,Week 2,Regular Season
"Wed, April 17, 2024",318924,8:30 PM,Gentle Mates,0,FNATIC,2,0-2,FNATIC,Completed,Week 3,Regular Season
"Wed, April 17, 2024",318925,10:30 PM,Karmine Corp,1,Natus Vincere,2,1-2,Natus Vincere,Completed,Week 3,Regular Season
"Thu, April 18, 2024",318926,8:30 PM,BBL Esports,2,Team Heretics,0,2-0,BBL Esports,Completed,Week 3,Regular Season
"Thu, April 18, 2024",318927,10:45 PM,Team Vitality,2,FUT Esports,1,2-1,Team Vitality,Completed,Week 3,Regular Season
"Fri, April 19, 2024",318928,8:30 PM,Team Liquid,2,GIANTX,1,2-1,Team Liquid,Completed,Week 3,Regular Season
"Sat, April 20, 2024",318929,12:25 AM,FNATIC,2,KOI,0,2-0,FNATIC,Completed,Week 3,Regular Season
"Wed, April 24, 2024",318930,8:30 PM,Team Liquid,0,Team Heretics,2,0-2,Team Heretics,Completed,Week 4,Regular Season
"Wed, April 24, 2024",318931,10:30 PM,Team Vitality,0,Gentle Mates,2,0-2,Gentle Mates,Completed,Week 4,Regular Season
"Thu, April 25, 2024",318932,8:30 PM,FNATIC,0,FUT Esports,2,0-2,FUT Esports,Completed,Week 4,Regular Season
"Thu, April 25, 2024",318933,11:00 PM,BBL Esports,2,Natus Vincere,1,2-1,BBL Esports,Completed,Week 4,Regular Season
"Fri, April 26, 2024",318934,8:30 PM,Team Vitality,2,GIANTX,1,2-1,Team Vitality,Completed,Week 4,Regular Season
"Fri, April 26, 2024",318935,11:40 PM,Karmine Corp,2,KOI,1,2-1,Karmine Corp,Completed,Week 4,Regular Season
"Wed, May 1, 2024",318936,8:30 PM,BBL Esports,0,GIANTX,2,0-2,GIANTX,Completed,Week 5,Regular Season
"Wed, May 1, 2024",318937,10:30 PM,Karmine Corp,1,Team Heretics,2,1-2,Team Heretics,Completed,Week 5,Regular Season
"Thu, May 2, 2024",318938,8:30 PM,Team Vitality,1,KOI,2,1-2,KOI,Completed,Week 5,Regular Season
"Thu, May 2, 2024",318939,11:25 PM,Natus Vincere,2,FNATIC,1,2-1,Natus Vincere,Completed,Week 5,Regular Season
"Fri, May 3, 2024",318940,8:30 PM,Team Liquid,2,Gentle Mates,0,2-0,Team Liquid,Completed,Week 5,Regular Season
"Fri, May 3, 2024",318941,10:20 PM,BBL Esports,0,FUT Esports,2,0-2,FUT Esports,Completed,Week 5,Regular Season
"Wed, May 8, 2024",341816,8:30 PM,FNATIC,2,Team Liquid,1,2-1,FNATIC,Completed,Knockout Round,Playoffs
"Wed, May 8, 2024",341817,11:50 PM,Natus Vincere,0,Team Heretics,2,0-2,Team Heretics,Completed,Knockout Round,Playoffs
"Thu, May 9, 2024",341818,8:30 PM,Karmine Corp,0,FNATIC,2,0-2,FNATIC,Completed,Upper Semifinals,Playoffs
"Thu, May 9, 2024",341819,11:00 PM,FUT Esports,0,Team Heretics,2,0-2,Team Heretics,Completed,Upper Semifinals,Playoffs
"Fri, May 10, 2024",341820,8:30 PM,FNATIC,0,Team Heretics,2,0-2,Team Heretics,Completed,Upper Final,Playoffs
"Fri, May 10, 2024",341822,11:00 PM,Karmine Corp,0,FUT Esports,2,0-2,FUT Esports,Completed,Lower Round 1,Playoffs
"Sat, May 11, 2024",341823,8:30 PM,FNATIC,3,FUT Esports,1,3-1,FNATIC,Completed,Lower Final,Playoffs
"Sun, May 12, 2024",341821,8:30 PM,Team Heretics,2,FNATIC,3,2-3,FNATIC,Completed,Grand Final,Playoffs
