Match ID,Map,Player,Team,Agent,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
318911,Breeze,MAGNUM,KC,Sova,0,1,0,0,1,0,0,0,0,42,1,1
318911,Breeze,sh1n,KC,Viper,3,1,0,0,0,0,0,0,0,76,2,1
318911,Breeze,marteen,KC,Jett,4,1,0,0,1,0,0,0,0,69,0,1
318911,Breeze,tomaszy,KC,Cypher,1,1,0,0,1,0,0,0,0,73,1,0
318911,Breeze,N4RRATE,KC,Kayo,3,1,0,0,0,0,0,0,0,60,1,1
318911,Breeze,Fit1nho,GX,Yoru,2,0,0,0,0,0,0,0,0,45,0,0
318911,Breeze,Redgar,GX,Cypher,0,0,0,0,0,0,0,0,0,20,1,0
318911,Breeze,purp0,GX,Jett,2,0,0,0,0,0,0,0,0,26,2,0
318911,Breeze,hoody,GX,Viper,3,0,0,0,0,0,0,0,0,54,1,0
318911,Breeze,Cloud,GX,Sova,1,1,1,0,1,0,0,0,0,67,3,1
318911,Sunset,MAGNUM,KC,Kayo,3,0,0,0,0,0,0,0,0,42,0,2
318911,Sunset,sh1n,KC,Omen,1,2,0,0,0,0,0,0,0,49,0,0
318911,Sunset,marteen,KC,Raze,1,0,0,0,0,0,0,0,0,32,1,0
318911,Sunset,tomaszy,KC,Cypher,5,2,1,0,0,0,1,0,0,82,0,0
318911,Sunset,N4RRATE,KC,Gekko,2,2,0,0,0,1,0,0,0,75,6,1
318911,Sunset,Fit1nho,GX,Breach,3,2,0,0,0,0,0,0,0,75,2,1
318911,Sunset,Redgar,GX,Omen,1,0,0,0,0,0,0,0,0,21,1,0
318911,Sunset,purp0,GX,Raze,4,2,0,0,0,0,0,0,0,68,0,0
318911,Sunset,hoody,GX,Cypher,0,1,0,0,0,1,0,0,0,33,1,0
318911,Sunset,Cloud,GX,Sova,5,0,1,0,0,0,0,0,0,61,2,0
318913,Split,ShadoW,MKOI,Breach,3,0,0,0,0,0,0,0,0,33,4,0
318913,Split,starxo,MKOI,Fade,0,1,0,0,1,0,0,0,0,28,3,0
318913,Split,sheydos,MKOI,Viper,5,0,0,0,0,0,0,0,0,58,1,0
318913,Split,grubinho,MKOI,Omen,2,2,0,0,0,0,0,0,0,56,1,0
318913,Split,kamo,MKOI,Raze,3,1,0,0,1,0,0,0,0,59,1,0
318913,Split,Enzo,TL,Skye,2,1,0,0,0,0,0,0,0,43,6,0
318913,Split,nAts,TL,Cypher,4,1,0,0,0,1,1,0,0,61,1,0
318913,Split,Mistic,TL,Omen,3,0,0,0,0,0,0,0,0,53,1,0
318913,Split,Jamppi,TL,Viper,5,1,0,0,0,0,0,0,0,66,1,2
318913,Split,Keiko,TL,Raze,2,1,0,0,0,0,0,0,0,45,0,0
318913,Ascent,ShadoW,MKOI,Sova,1,2,0,0,0,0,0,0,0,61,2,1
318913,Ascent,starxo,MKOI,Kayo,2,0,0,0,0,0,0,0,0,45,1,0
318913,Ascent,sheydos,MKOI,Cypher,1,3,0,0,1,0,0,0,0,60,0,0
318913,Ascent,grubinho,MKOI,Omen,1,0,0,0,0,0,0,0,0,42,0,0
318913,Ascent,kamo,MKOI,Jett,1,1,0,0,0,0,0,0,0,31,0,0
318913,Ascent,Enzo,TL,Sova,1,0,0,0,0,0,0,0,0,54,6,0
318913,Ascent,nAts,TL,Cypher,3,2,0,0,0,0,0,0,0,60,0,0
318913,Ascent,Mistic,TL,Omen,3,1,0,0,0,0,0,0,0,73,1,0
318913,Ascent,Jamppi,TL,Viper,0,1,1,0,0,0,0,0,0,42,2,0
318913,Ascent,Keiko,TL,Yoru,0,3,1,0,0,0,0,0,0,49,0,0
318914,Bind,Sayf,VIT,Gekko,3,1,0,0,0,0,0,0,0,63,4,2
318914,Bind,trexx,VIT,Viper,4,0,0,0,0,0,0,0,0,59,0,1
318914,Bind,ceNder,VIT,Brimstone,2,0,0,0,0,0,0,0,0,57,1,0
318914,Bind,Kicks,VIT,Deadlock,2,0,0,0,0,1,0,0,0,32,2,1
318914,Bind,runneR,VIT,Raze,2,2,1,0,0,0,0,0,0,68,1,0
318914,Bind,Zyppan,NAVI,Raze,2,0,0,0,0,0,0,0,0,40,1,0
318914,Bind,ardiis,NAVI,Kayo,3,0,0,0,0,0,0,0,0,45,3,0
318914,Bind,ANGE1,NAVI,Gekko,5,2,0,1,0,0,0,0,0,68,4,0
318914,Bind,Shao,NAVI,Brimstone,1,0,0,0,2,0,0,0,0,47,2,3
318914,Bind,SUYGETSU,NAVI,Viper,2,1,0,0,0,0,0,0,0,37,2,1
318914,Lotus,Sayf,VIT,Viper,3,0,0,0,0,0,0,0,0,55,2,0
318914,Lotus,trexx,VIT,Fade,2,0,0,0,0,0,0,0,0,29,1,0
318914,Lotus,ceNder,VIT,Omen,1,0,0,0,0,0,0,0,0,15,1,1
318914,Lotus,Kicks,VIT,Killjoy,2,0,0,0,0,0,0,0,0,48,0,1
318914,Lotus,runneR,VIT,Raze,3,0,0,1,0,0,0,0,0,64,0,1
318914,Lotus,Zyppan,NAVI,Raze,2,2,0,0,0,0,0,0,0,82,2,0
318914,Lotus,ardiis,NAVI,Breach,2,0,0,0,0,0,0,0,0,38,1,0
318914,Lotus,ANGE1,NAVI,Gekko,1,0,0,0,0,0,0,0,0,38,6,0
318914,Lotus,Shao,NAVI,Brimstone,1,2,1,0,0,0,1,0,0,96,2,1
318914,Lotus,SUYGETSU,NAVI,Killjoy,5,0,0,0,0,0,0,0,0,63,1,2
318915,Icebox,Boaster,FNC,Harbor,0,0,0,0,0,0,0,0,0,36,1,1
318915,Icebox,Chronicle,FNC,Viper,2,0,0,0,0,1,0,0,0,50,1,0
318915,Icebox,Leo,FNC,Sova,2,1,0,0,0,0,0,0,0,56,0,0
318915,Icebox,Derke,FNC,Jett,3,2,0,0,0,0,0,0,0,62,1,0
318915,Icebox,Alfajer,FNC,Killjoy,1,0,0,0,0,0,0,0,0,42,0,0
318915,Icebox,paTiTek,TH,Viper,2,1,0,0,0,0,0,0,0,47,0,0
318915,Icebox,Boo,TH,Sage,4,0,0,0,0,0,0,0,0,47,3,1
318915,Icebox,RieNs,TH,Gekko,1,0,0,0,1,0,0,0,0,43,6,1
318915,Icebox,MiniBoo,TH,Kayo,5,0,0,0,0,0,0,0,0,81,1,0
318915,Icebox,benjyfishy,TH,Killjoy,3,3,0,0,0,1,0,0,0,70,0,0
318915,Lotus,Boaster,FNC,Omen,4,1,1,0,0,0,0,0,0,45,4,1
318915,Lotus,Chronicle,FNC,Viper,4,0,0,0,0,0,0,0,0,42,0,0
318915,Lotus,Leo,FNC,Fade,5,0,1,0,0,0,0,0,0,48,2,2
318915,Lotus,Derke,FNC,Raze,2,2,0,0,0,0,0,0,0,38,2,1
318915,Lotus,Alfajer,FNC,Killjoy,5,0,1,0,0,0,0,0,0,38,1,1
318915,Lotus,paTiTek,TH,Viper,5,0,0,0,0,0,0,0,0,37,2,0
318915,Lotus,Boo,TH,Omen,5,0,0,1,0,0,1,0,0,41,2,0
318915,Lotus,RieNs,TH,Gekko,5,2,0,0,0,1,1,0,0,55,9,1
318915,Lotus,MiniBoo,TH,Neon,4,0,0,0,0,0,0,0,0,40,0,0
318915,Lotus,benjyfishy,TH,Killjoy,3,1,0,0,1,0,0,0,0,49,0,0
318916,Split,Enzo,TL,Skye,2,0,0,0,0,0,0,0,0,35,3,0
318916,Split,nAts,TL,Cypher,0,1,0,0,0,0,0,0,0,42,0,0
318916,Split,Mistic,TL,Omen,2,0,0,0,0,0,0,0,0,58,1,0
318916,Split,Jamppi,TL,Viper,0,0,1,0,0,0,0,0,0,48,0,0
318916,Split,Keiko,TL,Raze,2,1,0,0,0,0,0,0,0,52,0,0
318916,Split,cNed,FUT,Chamber,3,0,1,0,0,0,0,0,0,77,0,1
318916,Split,qRaxs,FUT,Raze,2,1,0,0,0,0,0,0,0,51,2,1
318916,Split,AtaKaptan,FUT,Omen,3,1,0,0,1,0,0,0,0,48,2,0
318916,Split,MrFaliN,FUT,Skye,1,0,0,0,0,0,0,0,0,51,5,0
318916,Split,yetujey,FUT,Viper,0,1,0,0,0,0,0,0,0,51,1,0
318916,Icebox,Enzo,TL,Gekko,3,1,0,0,0,0,0,0,0,59,4,1
318916,Icebox,nAts,TL,Viper,3,0,1,0,0,1,0,0,0,43,0,0
318916,Icebox,Mistic,TL,Harbor,1,0,0,0,0,0,0,0,0,31,1,0
318916,Icebox,Jamppi,TL,Killjoy,2,2,0,0,0,0,0,0,0,51,1,0
318916,Icebox,Keiko,TL,Jett,3,2,1,0,0,0,0,0,0,62,0,0
318916,Icebox,cNed,FUT,Jett,4,0,0,0,0,0,0,0,0,58,0,0
318916,Icebox,qRaxs,FUT,Kayo,4,1,0,0,2,0,0,0,0,64,0,1
318916,Icebox,AtaKaptan,FUT,Viper,2,1,0,0,0,0,0,0,0,50,0,0
318916,Icebox,MrFaliN,FUT,Sova,4,1,0,0,0,2,0,0,0,66,2,1
318916,Icebox,yetujey,FUT,Sage,2,2,0,0,0,0,0,0,0,56,3,0
318917,Ascent,pAura,BBL,Kayo,2,2,0,0,0,0,0,0,0,61,2,1
318917,Ascent,Brave,BBL,Omen,3,0,0,0,0,0,0,0,0,37,1,0
318917,Ascent,reazy,BBL,Sova,2,0,0,0,0,0,0,0,0,41,1,0
318917,Ascent,QutionerX,BBL,Jett,1,0,0,0,0,0,0,0,0,33,0,2
318917,Ascent,Elite,BBL,Killjoy,4,0,0,0,0,1,0,0,0,60,0,0
318917,Ascent,beyAz,M8,Sova,3,1,0,0,0,0,0,0,0,51,0,0
318917,Ascent,TakaS,M8,Yoru,2,1,0,0,0,0,0,0,0,47,0,0
318917,Ascent,logaN,M8,Cypher,2,0,0,0,0,0,0,0,0,36,3,0
318917,Ascent,nataNk,M8,Phoenix,5,3,0,0,2,0,0,0,0,90,2,1
318917,Ascent,Wailers,M8,Omen,1,0,0,0,1,0,0,0,0,41,6,0
318917,Sunset,pAura,BBL,Kayo,1,3,0,0,0,0,0,0,0,48,2,1
318917,Sunset,Brave,BBL,Omen,1,0,0,0,0,0,0,0,0,28,1,0
