player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
Elite,Elite,BBL,16459,"['Killjoy', 'Cypher', 'Viper']",3,268,1.21,214.2,1.31,75%,143.6,0.8,0.17,0.07,0.06,44%,16%,7/44,23,215,164,45,18,17
Leo,Leo,FNC,1380,"['Sova', 'Fade', 'Gekko', 'Breach']",4,646,1.21,210.6,1.35,81%,138.8,0.76,0.36,0.04,0.03,27%,10%,10/99,28,492,364,235,28,19
benjyfishy,benjyfishy,TH,29873,"['Killjoy', 'Cypher', 'Viper']",3,511,1.16,209.5,1.25,72%,140.0,0.79,0.17,0.09,0.06,33%,19%,13/69,28,404,322,87,44,32
cNed,cNed,FUT,573,"['Chamber', 'Jett', 'Sage', 'Raze']",4,440,1.16,238.6,1.25,75%,155.6,0.85,0.18,0.15,0.14,28%,8%,3/39,25,373,299,79,66,60
Shao,Shao,NAVI,384,"['Brimstone', 'Omen', 'Astra']",3,329,1.15,202.7,1.18,77%,132.6,0.73,0.4,0.08,0.06,31%,22%,11/50,24,241,204,130,27,20
nataNk,nataNk,M8,5004,"['Phoenix', 'Raze', 'Sage']",3,186,1.12,236.8,1.08,68%,155.1,0.83,0.23,0.15,0.14,25%,47%,7/15,25,154,142,43,28,26
tomaszy,tomaszy,KC,19691,"['Cypher', 'Viper']",2,420,1.1,214.2,1.16,76%,144.1,0.75,0.3,0.08,0.07,33%,10%,6/59,26,317,273,124,35,31
Sayf,Sayf,VIT,312,"['Gekko', 'Viper', 'Cypher', 'Killjoy', 'Omen']",5,331,1.1,218.7,1.17,74%,140.9,0.8,0.23,0.11,0.08,30%,7%,3/41,28,265,226,75,37,28
qRaxs,qRaxs,FUT,1139,"['Raze', 'Kayo', 'Sage', 'Gekko']",4,440,1.09,202.4,1.1,73%,130.3,0.74,0.36,0.07,0.06,29%,20%,11/56,24,326,297,160,31,27
ardiis,ardiis,NAVI,98,"['Kayo', 'Breach', 'Jett']",3,329,1.09,215.0,1.07,75%,142.9,0.77,0.4,0.12,0.11,24%,17%,4/23,23,253,236,133,39,37
MrFaliN,MrFaliN,FUT,8044,"['Skye', 'Sova', 'Gekko', 'Omen', 'Deadlock', 'Breach']",6,440,1.09,206.2,1.05,75%,135.6,0.7,0.38,0.09,0.08,23%,14%,5/37,25,310,295,169,39,33
N4RRATE,N4RRATE,KC,36245,"['Kayo', 'Gekko', 'Fade', 'Raze', 'Jett', 'Sova']",6,420,1.09,217.4,1.1,75%,141.1,0.75,0.31,0.08,0.07,27%,14%,6/42,27,314,286,132,34,29
Alfajer,Alfajer,FNC,9810,"['Killjoy', 'Viper', 'Cypher', 'Raze', 'Deadlock']",5,646,1.08,219.1,1.14,72%,145.4,0.77,0.19,0.12,0.11,29%,9%,6/65,28,496,436,123,79,73
Chronicle,Chronicle,FNC,458,"['Viper', 'Skye', 'Kayo', 'Cypher', 'Sage', 'Omen']",6,646,1.08,205.8,1.09,74%,137.6,0.71,0.4,0.11,0.07,22%,20%,12/59,26,458,422,259,68,48
Wo0t,Wo0t,TH,21328,"['Kayo', 'Skye', 'Reyna', 'Viper', 'Fade']",5,351,1.07,206.1,1.03,74%,138.3,0.72,0.36,0.1,0.09,33%,14%,4/28,23,251,244,128,35,30
trexx,trexx,VIT,2168,"['Viper', 'Fade', 'Astra', 'Kayo', 'Sova', 'Omen']",6,331,1.04,203.1,0.99,76%,130.2,0.69,0.47,0.1,0.09,20%,14%,6/43,26,229,232,156,33,29
purp0,purp0,GX,1885,"['Jett', 'Raze', 'Yoru', 'Chamber']",4,281,1.04,215.5,0.99,68%,145.8,0.74,0.16,0.18,0.14,31%,7%,2/29,26,207,210,46,51,40
Keiko,Keiko,TL,11494,"['Raze', 'Yoru', 'Jett', 'Reyna']",4,355,1.04,225.8,1.11,70%,146.9,0.81,0.2,0.19,0.17,31%,18%,4/22,25,288,260,71,66,59
nAts,nAts,TL,457,"['Cypher', 'Viper']",2,355,1.04,211.8,1.15,74%,141.1,0.77,0.23,0.08,0.08,29%,22%,11/49,24,275,239,83,28,28
grubinho,grubinho,MKOI,5550,"['Omen', 'Viper', 'Brimstone']",3,239,1.04,192.2,0.97,78%,129.1,0.66,0.32,0.1,0.09,33%,15%,5/34,22,158,163,76,23,22
SUYGETSU,SUYGETSU,NAVI,2858,"['Viper', 'Killjoy', 'Cypher']",3,329,1.04,183.6,1.06,75%,127.1,0.66,0.22,0.07,0.05,32%,9%,5/55,22,217,205,73,24,18
yetujey,yetujey,FUT,8369,"['Viper', 'Sage', 'Cypher', 'Killjoy']",4,440,1.03,197.6,1.08,70%,131.2,0.7,0.23,0.1,0.11,26%,17%,10/59,23,306,283,99,42,47
MiniBoo,MiniBoo,TH,18350,"['Kayo', 'Neon', 'Yoru', 'Raze', 'Jett']",5,511,1.03,227.6,1.04,72%,148.2,0.78,0.22,0.18,0.18,32%,16%,5/32,26,400,386,112,94,94
marteen,marteen,KC,10307,"['Jett', 'Raze', 'Yoru', 'Reyna']",4,420,1.03,217.8,1.07,73%,147.8,0.75,0.19,0.19,0.15,27%,24%,8/34,28,317,297,79,79,65
sheydos,sheydos,MKOI,1428,"['Viper', 'Cypher', 'Killjoy']",3,239,1.02,171.8,1.07,75%,113.1,0.64,0.14,0.05,0.05,28%,12%,5/41,20,153,143,34,13,13
logaN,logaN,M8,868,"['Cypher', 'Omen', 'Viper', 'Killjoy']",4,186,1.01,185.7,0.98,68%,120.2,0.66,0.2,0.07,0.08,34%,6%,2/35,19,123,125,38,13,14
