map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Split,FUT,0,4 (0),0 (0),0 (0),16 (13),353153
Split,MKOI,2,2 (2),1 (0),10 (3),7 (2),353153
Lotus,FUT,0,4 (0),2 (1),2 (1),12 (5),353153
Lotus,MKOI,2,2 (2),1 (0),7 (5),10 (6),353153
after,FUT,1,3 (1),1 (0),1 (1),14 (11),353153
after,MKOI,1,3 (1),2 (1),4 (1),10 (3),353153
All Maps,FUT,1,11 (1),3 (1),3 (2),42 (29),353153
All Maps,MKOI,5,7 (5),4 (1),21 (9),27 (11),353153
Ascent,BBL,0,4 (1),1 (0),5 (2),12 (6),353154
Ascent,FNC,2,2 (2),2 (1),5 (2),13 (8),353154
Bind,BBL,2,2 (2),1 (0),8 (5),13 (6),353154
Bind,FNC,0,4 (0),1 (0),2 (2),17 (9),353154
All Maps,BBL,1,3 (1),2 (1),5 (1),14 (8),353154
All Maps,FNC,1,3 (1),0 (0),10 (4),11 (8),353154
Sunset,TH,1,3 (2),0 (0),3 (3),10 (8),353155
Sunset,NAVI,1,3 (1),1 (0),7 (1),5 (1),353155
Bind,TH,0,3 (1),1 (1),1 (1),13 (10),353155
Bind,NAVI,2,2 (2),2 (0),8 (1),6 (2),353155
All Maps,TH,1,6 (3),1 (1),4 (4),23 (18),353155
All Maps,NAVI,3,5 (3),3 (0),15 (2),11 (3),353155
Split,GX,0,4 (0),2 (0),5 (1),3 (0),353157
Split,M8,2,2 (2),0 (0),2 (2),10 (9),353157
Sunset,GX,1,3 (1),0 (0),8 (6),13 (6),353157
Sunset,M8,1,3 (1),2 (0),6 (4),13 (6),353157
All Maps,GX,0,4 (0),0 (0),4 (3),16 (10),353157
All Maps,M8,2,2 (2),1 (0),9 (4),12 (5),353157
Lotus,VIT,0,4 (0),1 (0),1 (1),17 (12),353156
Lotus,TL,2,3 (2),0 (0),11 (7),9 (1),353156
Icebox,VIT,1,3 (1),1 (0),9 (4),19 (12),353156
Icebox,TL,1,3 (2),1 (0),5 (1),23 (12),353156
All Maps,VIT,1,7 (1),2 (0),10 (5),36 (24),353156
All Maps,TL,3,6 (4),1 (0),16 (8),32 (13),353156
Lotus,BBL,0,3 (0),3 (1),3 (1),10 (4),353159
Lotus,KC,2,2 (2),2 (1),3 (3),12 (7),353159
Sunset,BBL,1,3 (1),0 (0),10 (3),5 (1),353159
Sunset,KC,1,3 (1),2 (2),1 (1),12 (9),353159
All Maps,BBL,1,6 (1),3 (1),13 (4),15 (5),353159
All Maps,KC,3,5 (3),4 (3),4 (4),24 (16),353159
Ascent,NAVI,2,2 (2),2 (0),8 (5),12 (4),353158
Ascent,FUT,0,5 (0),0 (0),5 (2),14 (11),353158
Lotus,NAVI,0,3 (0),2 (0),6 (2),7 (3),353158
Lotus,FUT,2,2 (2),1 (1),7 (5),8 (5),353158
All Maps,NAVI,2,5 (2),4 (0),14 (7),19 (7),353158
All Maps,FUT,2,7 (2),1 (1),12 (7),22 (16),353158
Sunset,MKOI,1,3 (1),0 (0),2 (2),13 (10),353202
Sunset,GX,1,3 (1),2 (0),13 (4),0 (0),353202
Icebox,MKOI,2,2 (2),1 (0),7 (4),16 (8),353202
Icebox,GX,0,4 (0),0 (0),14 (9),8 (3),353202
