agent_name,total_utilization,map_utilizations
Viper,78.0,"{'Split': 94.0, 'Lotus': 75.0, 'Sunset': 56.0, 'Icebox': 100.0, 'Ascent': 50.0, 'Breeze': 100.0, 'Bind': 63.0}"
Omen,68.0,"{'Split': 100.0, 'Lotus': 100.0, 'Sunset': 94.0, 'Icebox': 8.0, 'Ascent': 100.0, 'Breeze': 0.0, 'Bind': 13.0}"
Raze,52.0,"{'Split': 100.0, 'Lotus': 88.0, 'Sunset': 31.0, 'Icebox': 0.0, 'Ascent': 30.0, 'Breeze': 0.0, 'Bind': 88.0}"
Jett,43.0,"{'Split': 44.0, 'Lotus': 25.0, 'Sunset': 0.0, 'Icebox': 100.0, 'Ascent': 50.0, 'Breeze': 100.0, 'Bind': 0.0}"
Kayo,36.0,"{'Split': 0.0, 'Lotus': 0.0, 'Sunset': 69.0, 'Icebox': 58.0, 'Ascent': 70.0, 'Breeze': 50.0, 'Bind': 25.0}"
Sova,33.0,"{'Split': 0.0, 'Lotus': 0.0, 'Sunset': 56.0, 'Icebox': 42.0, 'Ascent': 40.0, 'Breeze': 100.0, 'Bind': 25.0}"
Killjoy,29.0,"{'Split': 0.0, 'Lotus': 69.0, 'Sunset': 0.0, 'Icebox': 92.0, 'Ascent': 40.0, 'Breeze': 0.0, 'Bind': 0.0}"
Skye,27.0,"{'Split': 83.0, 'Lotus': 25.0, 'Sunset': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Bind': 63.0}"
Cypher,26.0,"{'Split': 33.0, 'Lotus': 19.0, 'Sunset': 44.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Breeze': 50.0, 'Bind': 25.0}"
Gekko,24.0,"{'Split': 0.0, 'Lotus': 19.0, 'Sunset': 44.0, 'Icebox': 58.0, 'Ascent': 30.0, 'Breeze': 0.0, 'Bind': 25.0}"
Fade,17.0,"{'Split': 6.0, 'Lotus': 56.0, 'Sunset': 0.0, 'Icebox': 0.0, 'Ascent': 40.0, 'Breeze': 0.0, 'Bind': 13.0}"
Breach,12.0,"{'Split': 22.0, 'Lotus': 0.0, 'Sunset': 25.0, 'Icebox': 0.0, 'Ascent': 30.0, 'Breeze': 0.0, 'Bind': 0.0}"
Yoru,11.0,"{'Split': 11.0, 'Lotus': 0.0, 'Sunset': 0.0, 'Icebox': 0.0, 'Ascent': 10.0, 'Breeze': 50.0, 'Bind': 25.0}"
Astra,9.0,"{'Split': 6.0, 'Lotus': 6.0, 'Sunset': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Breeze': 50.0, 'Bind': 13.0}"
Harbor,7.0,"{'Split': 0.0, 'Lotus': 0.0, 'Sunset': 6.0, 'Icebox': 25.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Bind': 25.0}"
Phoenix,7.0,"{'Split': 0.0, 'Lotus': 0.0, 'Sunset': 31.0, 'Icebox': 0.0, 'Ascent': 10.0, 'Breeze': 0.0, 'Bind': 0.0}"
Brimstone,7.0,"{'Split': 0.0, 'Lotus': 0.0, 'Sunset': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Bind': 75.0}"
Sage,6.0,"{'Split': 0.0, 'Lotus': 0.0, 'Sunset': 25.0, 'Icebox': 8.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Bind': 0.0}"
Neon,4.0,"{'Split': 0.0, 'Lotus': 13.0, 'Sunset': 13.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Bind': 0.0}"
Reyna,3.0,"{'Split': 0.0, 'Lotus': 0.0, 'Sunset': 0.0, 'Icebox': 8.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Bind': 25.0}"
Chamber,2.0,"{'Split': 0.0, 'Lotus': 6.0, 'Sunset': 6.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Bind': 0.0}"
Iso,0.0,"{'Split': 0.0, 'Lotus': 0.0, 'Sunset': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Bind': 0.0}"
Deadlock,0.0,"{'Split': 0.0, 'Lotus': 0.0, 'Sunset': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Bind': 0.0}"
Clove,0.0,"{'Split': 0.0, 'Lotus': 0.0, 'Sunset': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Bind': 0.0}"
Tejo,0.0,"{'Split': 0.0, 'Lotus': 0.0, 'Sunset': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Bind': 0.0}"
Vyse,0.0,"{'Split': 0.0, 'Lotus': 0.0, 'Sunset': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Bind': 0.0}"
Waylay,0.0,"{'Split': 0.0, 'Lotus': 0.0, 'Sunset': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Bind': 0.0}"
