match_id,map_name,map_order,score,winner,duration,picked_by
312765,Icebox,1,13 - 8,Karmine Corp,59:51,FunPlus Phoenix
312765,Lotus,2,13 - 10,Karmine Corp,52:09,Karmine Corp
312766,Icebox,1,13 - 11,Gen.G,1:02:44,LOUD
312766,Breeze,2,8 - 13,LOUD,56:26,Gen.G
312766,Ascent,3,13 - 5,Gen.G,38:16,Decider
312767,Sunset,1,8 - 13,Paper Rex,1:00:56,Paper Rex
312767,Bind,2,13 - 9,EDward Gaming,49:11,EDward Gaming
312767,Split,3,13 - 9,EDward Gaming,43:49,Decider
312768,Lotus,1,13 - 9,Sentinels,1:00:37,Sentinels
312768,Sunset,2,5 - 13,Team Heretics,44:43,Team Heretics
312768,Bind,3,13 - 11,Sentinels,55:14,Decider
312798,Split,1,13 - 8,Sentinels,57:04,Sentinels
312798,Lotus,2,13 - 11,Sentinels,56:49,Karmine Corp
312797,Icebox,1,13 - 8,EDward Gaming,55:41,Gen.G
312797,Split,2,5 - 13,Gen.G,39:50,EDward Gaming
312797,Breeze,3,6 - 13,Gen.G,45:16,Decider
312800,Sunset,1,5 - 13,LOUD,42:32,LOUD
312800,Breeze,2,11 - 13,LOUD,53:05,FunPlus Phoenix
312799,Sunset,1,10 - 13,Paper Rex,59:31,Paper Rex
312799,Lotus,2,13 - 10,Team Heretics,46:56,Team Heretics
312799,Split,3,7 - 13,Paper Rex,39:37,Decider
312803,Icebox,1,13 - 2,LOUD,43:42,EDward Gaming
312803,Sunset,2,13 - 3,LOUD,35:21,LOUD
312802,Bind,1,10 - 13,Paper Rex,59:49,Paper Rex
312802,Lotus,2,13 - 6,Karmine Corp,42:56,Karmine Corp
312802,Ascent,3,12 - 14,Paper Rex,53:41,Decider
312777,Split,1,13 - 8,Gen.G,55:37,Paper Rex
312777,Lotus,2,13 - 9,Gen.G,42:42,Gen.G
312776,Split,1,13 - 4,Sentinels,48:34,Sentinels
312776,Icebox,2,12 - 14,LOUD,59:35,LOUD
312776,Sunset,3,14 - 12,Sentinels,1:02:35,Decider
312778,Split,1,13 - 5,Gen.G,53:39,Sentinels
312778,Lotus,2,7 - 13,Sentinels,48:49,Gen.G
312778,Breeze,3,13 - 3,Gen.G,34:04,Decider
312780,Ascent,1,13 - 11,Paper Rex,1:00:58,LOUD
312780,Sunset,2,13 - 8,Paper Rex,46:09,Paper Rex
312781,Lotus,1,14 - 12,Sentinels,1:12:27,Sentinels
312781,Ascent,2,13 - 6,Sentinels,41:11,Paper Rex
312781,Split,3,5 - 13,Paper Rex,38:13,Sentinels
312781,Sunset,4,13 - 3,Sentinels,33:56,Paper Rex
321373,Ascent,1,8 - 13,Team Spain,-,Decider
312779,Breeze,1,13 - 8,Gen.G,1:03:12,Gen.G
312779,Bind,2,12 - 14,Sentinels,1:04:16,Sentinels
312779,Ascent,3,13 - 8,Gen.G,46:25,Gen.G
312779,Split,4,10 - 13,Sentinels,49:51,Sentinels
312779,Icebox,5,6 - 13,Sentinels,42:05,Decider
