match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
312765,Karmine Corp vs FunPlus Phoenix,Champions Tour 2024: Masters Madrid,2024-03-14 11:00:00,Bo3,Karmine Corp vs FunPlus Phoenix,2 - 0,2,Patch 8.04,FPX ban Split; KC ban Breeze; FPX pick Icebox; KC pick Lotus; FPX ban Bind; KC ban Ascent; Sunset remains
312766,Gen.G vs LOUD,Champions Tour 2024: Masters Madrid,2024-03-14 13:25:00,Bo3,Gen.G vs LOUD,2 - 1,3,Patch 8.04,LOUD ban Lotus; GEN ban Sunset; LOUD pick Icebox; GEN pick Breeze; LOUD ban Split; GEN ban Bind; Ascent remains
312767,EDward Gaming vs Paper Rex,Champions Tour 2024: Masters Madrid,2024-03-15 11:00:00,Bo3,EDward Gaming vs Paper Rex,2 - 1,3,Patch 8.04,PRX ban Breeze; EDG ban Lotus; PRX pick Sunset; EDG pick Bind; PRX ban Icebox; EDG ban Ascent; Split remains
312768,Sentinels vs Team Heretics,Champions Tour 2024: Masters Madrid,2024-03-15 14:15:00,Bo3,Sentinels vs Team Heretics,2 - 1,3,Patch 8.04,SEN ban Breeze; TH ban Ascent; SEN pick Lotus; TH pick Sunset; SEN ban Icebox; TH ban Split; Bind remains
312798,Sentinels vs Karmine Corp,Champions Tour 2024: Masters Madrid,2024-03-16 11:00:00,Bo3,Sentinels vs Karmine Corp,2 - 0,2,Patch 8.04,SEN ban Icebox; KC ban Sunset; SEN pick Split; KC pick Lotus; SEN ban Ascent; KC ban Breeze; Bind remains
312797,EDward Gaming vs Gen.G,Champions Tour 2024: Masters Madrid,2024-03-16 13:25:00,Bo3,EDward Gaming vs Gen.G,1 - 2,3,Patch 8.04,GEN ban Bind; EDG ban Lotus; GEN pick Icebox; EDG pick Split; GEN ban Sunset; EDG ban Ascent; Breeze remains
312800,FunPlus Phoenix vs LOUD,Champions Tour 2024: Masters Madrid,2024-03-17 11:00:00,Bo3,FunPlus Phoenix vs LOUD,0 - 2,2,Patch 8.04,LOUD ban Lotus; FPX ban Split; LOUD pick Sunset; FPX pick Breeze; LOUD ban Bind; FPX ban Ascent; Icebox remains
312799,Team Heretics vs Paper Rex,Champions Tour 2024: Masters Madrid,2024-03-17 13:20:00,Bo3,Team Heretics vs Paper Rex,1 - 2,3,Patch 8.04,PRX ban Breeze; TH ban Ascent; PRX pick Sunset; TH pick Lotus; PRX ban Icebox; TH ban Bind; Split remains
312803,LOUD vs EDward Gaming,Champions Tour 2024: Masters Madrid,2024-03-18 11:00:00,Bo3,LOUD vs EDward Gaming,2 - 0,2,Patch 8.04,EDG ban Ascent; LOUD ban Split; EDG pick Icebox; LOUD pick Sunset; EDG ban Lotus; LOUD ban Bind; Breeze remains
312802,Karmine Corp vs Paper Rex,Champions Tour 2024: Masters Madrid,2024-03-18 12:55:00,Bo3,Karmine Corp vs Paper Rex,1 - 2,3,Patch 8.04,PRX ban Icebox; KC ban Sunset; PRX pick Bind; KC pick Lotus; PRX ban Split; KC ban Breeze; Ascent remains
312777,Gen.G vs Paper Rex,Champions Tour 2024: Masters Madrid,2024-03-21 11:00:00,Bo3,Gen.G vs Paper Rex,2 - 0,2,Patch 8.04,PRX ban Icebox; GEN ban Sunset; PRX pick Split; GEN pick Lotus; PRX ban Breeze; GEN ban Bind; Ascent remains
312776,Sentinels vs LOUD,Champions Tour 2024: Masters Madrid,2024-03-21 13:10:00,Bo3,Sentinels vs LOUD,2 - 1,3,Patch 8.04,SEN ban Breeze; LOUD ban Lotus; SEN pick Split; LOUD pick Icebox; SEN ban Ascent; LOUD ban Bind; Sunset remains
312778,Gen.G vs Sentinels,Champions Tour 2024: Masters Madrid,2024-03-22 11:00:00,Bo3,Gen.G vs Sentinels,2 - 1,3,Patch 8.04,SEN ban Icebox; GEN ban Sunset; SEN pick Split; GEN pick Lotus; SEN ban Ascent; GEN ban Bind; Breeze remains
312780,Paper Rex vs LOUD,Champions Tour 2024: Masters Madrid,2024-03-22 13:55:00,Bo3,Paper Rex vs LOUD,2 - 0,2,Patch 8.04,LOUD ban Split; PRX ban Icebox; LOUD pick Ascent; PRX pick Sunset; LOUD ban Lotus; PRX ban Breeze; Bind remains
312781,Sentinels vs Paper Rex,Champions Tour 2024: Masters Madrid,2024-03-23 11:00:00,Bo5,Sentinels vs Paper Rex,3 - 1,4,Patch 8.04,SEN ban Breeze; PRX ban Icebox; SEN pick Lotus; PRX pick Ascent; SEN pick Split; PRX pick Sunset; Bind remains
321373,Team International vs Team Spain,Champions Tour 2024: Masters Madrid,2024-03-24 11:00:00,Bo1,Team International vs Team Spain,0 - 1,1,,
312779,Gen.G vs Sentinels,Champions Tour 2024: Masters Madrid,2024-03-24 12:15:00,Bo5,Gen.G vs Sentinels,2 - 3,5,Patch 8.04,GEN ban Lotus; GEN ban Sunset; GEN pick Breeze; SEN pick Bind; GEN pick Ascent; SEN pick Split; Icebox remains
