match_id,event_name,event_stage,match_date,team1,team2,score_overall,player_name,player_id,player_team,stat_type,agent,rating,acs,k,d,a,kd_diff,kast,adr,hs_percent,fk,fd,fk_fd_diff,map_name,map_winner
312765,Champions Tour 2024: Masters Madrid,"Swiss Stage: 
						Round 1",2024-03-14 11:00:00,Karmine Corp,FunPlus Phoenix,2 - 0,N4RRATE,36245,Karmine Corp,overall,"Gekko, Fade",1.62,300,47,28,20,+19,73%,206,34%,6,5,+1,,
312765,Champions Tour 2024: Masters Madrid,"Swiss Stage: 
						Round 1",2024-03-14 11:00:00,Karmine Corp,FunPlus Phoenix,2 - 0,MAGNUM,2173,Karmine Corp,overall,Killjoy,1.19,225,35,28,8,+7,73%,160,24%,1,5,-4,,
312765,Champions Tour 2024: Masters Madrid,"Swiss Stage: 
						Round 1",2024-03-14 11:00:00,Karmine Corp,FunPlus Phoenix,2 - 0,sh1n,2625,Karmine Corp,overall,"Sage, Omen",1.07,208,36,31,12,+5,80%,133,41%,3,3,0,,
312765,Champions Tour 2024: Masters Madrid,"Swiss Stage: 
						Round 1",2024-03-14 11:00:00,Karmine Corp,FunPlus Phoenix,2 - 0,marteen,10307,Karmine Corp,overall,"Jett, Raze",0.95,203,29,32,9,-3,77%,132,19%,4,9,-5,,
312765,Champions Tour 2024: Masters Madrid,"Swiss Stage: 
						Round 1",2024-03-14 11:00:00,Karmine Corp,FunPlus Phoenix,2 - 0,tomaszy,19691,Karmine Corp,overall,Viper,0.85,147,23,30,12,-7,64%,109,42%,3,5,-2,,
312765,Champions Tour 2024: Masters Madrid,"Swiss Stage: 
						Round 1",2024-03-14 11:00:00,Karmine Corp,FunPlus Phoenix,2 - 0,Life,3028,FunPlus Phoenix,overall,"Reyna, Chamber",1.24,250,41,31,5,+10,73%,169,37%,6,5,+1,,
312765,Champions Tour 2024: Masters Madrid,"Swiss Stage: 
						Round 1",2024-03-14 11:00:00,Karmine Corp,FunPlus Phoenix,2 - 0,AAAAY,19530,FunPlus Phoenix,overall,Gekko,0.94,198,30,35,17,-5,73%,137,37%,1,1,0,,
312765,Champions Tour 2024: Masters Madrid,"Swiss Stage: 
						Round 1",2024-03-14 11:00:00,Karmine Corp,FunPlus Phoenix,2 - 0,Autumn,872,FunPlus Phoenix,overall,"Jett, Raze",0.85,214,30,38,9,-8,70%,140,19%,9,1,+8,,
312765,Champions Tour 2024: Masters Madrid,"Swiss Stage: 
						Round 1",2024-03-14 11:00:00,Karmine Corp,FunPlus Phoenix,2 - 0,BerLIN,7857,FunPlus Phoenix,overall,Omen,0.76,168,25,34,19,-9,68%,107,30%,7,6,+1,,
312765,Champions Tour 2024: Masters Madrid,"Swiss Stage: 
						Round 1",2024-03-14 11:00:00,Karmine Corp,FunPlus Phoenix,2 - 0,Lysoar,37489,FunPlus Phoenix,overall,Viper,0.68,156,23,32,5,-9,61%,115,32%,4,4,0,,
