map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Icebox,KC,1,3 (1),0 (0),5 (2),13 (10),312765
Icebox,FPX,1,3 (1),1 (0),8 (3),9 (4),312765
Lotus,KC,1,3 (1),2 (1),4 (2),14 (9),312765
Lotus,FPX,1,3 (1),2 (0),6 (3),12 (6),312765
All Maps,KC,2,6 (2),2 (1),9 (4),27 (19),312765
All Maps,FPX,2,6 (2),3 (0),14 (6),21 (10),312765
Icebox,GEN,1,2 (1),2 (1),7 (5),13 (6),312766
Icebox,LOUD,1,3 (1),1 (0),5 (2),15 (8),312766
Breeze,GEN,0,4 (1),1 (0),4 (2),12 (5),312766
Breeze,LOUD,2,3 (2),0 (0),6 (4),12 (7),312766
All Maps,GEN,1,3 (1),1 (0),3 (2),11 (10),312766
All Maps,LOUD,1,3 (1),1 (0),4 (1),10 (3),312766
Sunset,EDG,1,3 (1),1 (0),6 (2),11 (5),312767
Sunset,PRX,1,3 (1),0 (0),5 (2),13 (10),312767
Bind,EDG,0,4 (0),2 (2),2 (1),14 (10),312767
Bind,PRX,2,2 (2),1 (0),8 (4),11 (3),312767
All Maps,EDG,1,3 (1),1 (1),3 (3),15 (8),312767
All Maps,PRX,1,3 (1),3 (1),8 (5),8 (2),312767
Lotus,SEN,2,4 (2),1 (0),7 (3),10 (8),312768
Lotus,TH,0,4 (1),2 (0),4 (0),12 (8),312768
Sunset,SEN,0,4 (1),1 (0),10 (2),3 (2),312768
Sunset,TH,2,2 (2),0 (0),5 (3),11 (8),312768
split,SEN,1,3 (1),1 (0),7 (4),13 (8),312768
split,TH,1,3 (1),0 (0),7 (2),14 (8),312768
lotus,SEN,3,11 (4),3 (0),24 (9),26 (18),312768
lotus,TH,3,9 (4),2 (0),16 (5),37 (24),312768
Split,SEN,1,3 (1),0 (0),2 (1),16 (11),312798
Split,KC,1,3 (1),1 (0),7 (2),10 (5),312798
Lotus,SEN,1,3 (1),1 (1),6 (4),14 (7),312798
Lotus,KC,1,3 (1),0 (0),7 (4),14 (6),312798
All Maps,SEN,2,6 (2),1 (1),8 (5),30 (18),312798
All Maps,KC,2,6 (2),1 (0),14 (6),24 (11),312798
Icebox,EDG,1,3 (1),0 (0),2 (2),16 (10),312797
Icebox,GEN,1,3 (1),3 (0),6 (3),9 (4),312797
Split,EDG,1,3 (1),1 (0),6 (2),8 (2),312797
Split,GEN,1,3 (1),0 (0),4 (3),11 (9),312797
All Maps,EDG,1,3 (1),3 (0),3 (1),10 (4),312797
All Maps,GEN,1,3 (1),1 (0),4 (3),11 (9),312797
Sunset,FPX,0,4 (0),1 (1),4 (0),9 (4),312800
Sunset,LOUD,2,2 (2),1 (0),4 (2),11 (9),312800
Breeze,FPX,0,4 (0),0 (0),4 (3),16 (8),312800
Breeze,LOUD,2,2 (2),1 (0),7 (5),14 (6),312800
All Maps,FPX,0,8 (0),1 (1),8 (3),25 (12),312800
All Maps,LOUD,4,4 (4),2 (0),11 (7),25 (15),312800
Sunset,TH,0,4 (1),2 (0),5 (3),12 (6),312799
Sunset,PRX,2,2 (2),1 (0),9 (5),11 (6),312799
Lotus,TH,1,4 (1),1 (0),5 (2),13 (10),312799
Lotus,PRX,1,2 (1),1 (1),10 (3),10 (5),312799
split,TH,0,4 (0),0 (0),4 (0),12 (7),312799
split,PRX,2,2 (2),1 (0),7 (3),10 (8),312799
sunset,TH,1,12 (2),3 (0),14 (5),37 (23),312799
sunset,PRX,5,6 (5),3 (1),26 (11),31 (19),312799
Icebox,LOUD,1,3 (2),0 (0),3 (2),9 (9),312803
Icebox,EDG,1,3 (1),0 (0),9 (0),3 (1),312803
Sunset,LOUD,2,2 (2),1 (0),5 (4),8 (7),312803
Sunset,EDG,0,4 (1),0 (0),7 (1),5 (1),312803
All Maps,LOUD,3,5 (4),1 (0),8 (6),17 (16),312803
All Maps,EDG,1,7 (2),0 (0),16 (1),8 (2),312803
Bind,KC,0,3 (0),1 (1),7 (3),12 (6),312802
Bind,PRX,2,2 (2),1 (0),7 (3),13 (8),312802
Lotus,KC,0,4 (0),0 (0),2 (2),13 (11),312802
Lotus,PRX,2,2 (2),1 (0),10 (4),6 (0),312802
All Maps,KC,2,2 (2),2 (0),6 (3),16 (7),312802
All Maps,PRX,0,4 (0),1 (0),3 (1),18 (13),312802
Split,GEN,0,4 (0),0 (0),0 (0),17 (13),312777
Split,PRX,2,2 (2),0 (0),12 (4),7 (2),312777
Lotus,GEN,1,3 (1),1 (1),3 (1),15 (10),312777
Lotus,PRX,1,3 (1),3 (0),5 (3),11 (5),312777
All Maps,GEN,1,7 (1),1 (1),3 (1),32 (23),312777
All Maps,PRX,3,5 (3),3 (0),17 (7),18 (7),312777
Split,SEN,2,2 (2),0 (0),5 (5),10 (6),312776
Split,LOUD,0,3 (0),2 (0),3 (0),9 (4),312776
Icebox,SEN,2,2 (2),3 (0),9 (4),12 (6),312776
Icebox,LOUD,0,4 (0),1 (1),1 (1),20 (12),312776
split,SEN,0,3 (0),2 (0),10 (6),11 (8),312776
split,LOUD,2,2 (2),3 (0),6 (4),15 (6),312776
All Maps,SEN,4,7 (4),5 (0),24 (15),33 (20),312776
All Maps,LOUD,2,9 (2),6 (1),10 (5),44 (22),312776
Split,GEN,2,3 (3),0 (0),5 (3),10 (7),312778
Split,SEN,0,4 (1),1 (0),7 (2),6 (2),312778
Lotus,GEN,2,2 (2),1 (0),9 (2),8 (3),312778
Lotus,SEN,0,3 (0),0 (0),4 (4),13 (9),312778
it,GEN,2,2 (2),0 (0),4 (4),10 (7),312778
it,SEN,0,4 (0),1 (0),7 (3),4 (0),312778
lotus,GEN,6,7 (7),1 (0),18 (9),28 (17),312778
lotus,SEN,0,11 (1),2 (0),18 (9),23 (11),312778
Ascent,PRX,2,2 (2),2 (0),6 (2),14 (9),312780
Ascent,LOUD,0,4 (0),2 (1),4 (0),14 (10),312780
Sunset,PRX,1,3 (2),2 (2),4 (2),12 (7),312780
Sunset,LOUD,1,3 (1),2 (1),6 (2),10 (4),312780
Breeze,PRX,3,5 (4),4 (2),10 (4),26 (16),312780
Breeze,LOUD,1,7 (1),4 (2),10 (2),24 (14),312780
Lotus,SEN,1,2 (1),2 (1),8 (3),14 (9),312781
Lotus,PRX,1,3 (1),2 (0),7 (3),14 (8),312781
Ascent,SEN,2,2 (2),1 (0),6 (3),10 (8),312781
Ascent,PRX,0,4 (0),1 (1),4 (0),10 (5),312781
Split,SEN,0,4 (0),2 (0),6 (3),6 (2),312781
Split,PRX,2,2 (2),1 (0),5 (3),10 (8),312781
Sunset,SEN,1,3 (2),0 (0),3 (3),10 (8),312781
Sunset,PRX,1,4 (1),0 (0),9 (1),3 (1),312781
All Maps,SEN,4,11 (5),5 (1),23 (12),40 (27),312781
All Maps,PRX,4,13 (4),4 (1),25 (7),37 (22),312781
Breeze,GEN,1,3 (1),1 (1),6 (5),11 (6),312779
Breeze,SEN,1,3 (1),2 (1),8 (4),8 (2),312779
Bind,GEN,1,3 (1),1 (0),6 (5),16 (6),312779
Bind,SEN,1,3 (1),1 (1),6 (2),16 (10),312779
Ascent,GEN,1,3 (1),0 (0),7 (5),11 (7),312779
Ascent,SEN,1,3 (1),2 (1),5 (2),11 (4),312779
Split,GEN,1,3 (1),1 (0),8 (4),11 (5),312779
Split,SEN,1,3 (1),0 (0),7 (4),13 (8),312779
split,GEN,0,5 (0),0 (0),4 (2),10 (4),312779
split,SEN,2,2 (2),1 (0),6 (3),10 (8),312779
Lotus,GEN,4,17 (4),3 (1),31 (21),59 (28),312779
Lotus,SEN,6,14 (6),6 (3),32 (15),58 (32),312779
