date,match_id,time,team1,score1,team2,score2,score,winner,status,week,stage
"Thu, March 14, 2024",312765,8:30 PM,Karmine Corp,2,FunPlus Phoenix,0,2-0,Karmine Corp,Completed,Round 1,Swiss Stage
"Thu, March 14, 2024",312766,10:55 PM,Gen.G,2,LOUD,1,2-1,Gen.G,Completed,Round 1,Swiss Stage
"Fri, March 15, 2024",312767,8:30 PM,EDward Gaming,2,Paper Rex,1,2-1,EDward Gaming,Completed,Round 1,Swiss Stage
"Fri, March 15, 2024",312768,11:45 PM,Sentinels,2,Team Heretics,1,2-1,Sentinels,Completed,Round 1,Swiss Stage
"Sat, March 16, 2024",312798,8:30 PM,Sentinels,2,Karmine Corp,0,2-0,Sentinels,Completed,Round 2,Swiss Stage
"Sat, March 16, 2024",312797,10:55 PM,EDward Gaming,1,Gen.G,2,1-2,Gen.G,Completed,Round 2,Swiss Stage
"Sun, March 17, 2024",312800,8:30 PM,FunPlus Phoenix,0,LOUD,2,0-2,LOUD,Completed,Round 2,Swiss Stage
"Sun, March 17, 2024",312799,10:50 PM,Team Heretics,1,Paper Rex,2,1-2,Paper Rex,Completed,Round 2,Swiss Stage
"Mon, March 18, 2024",312803,8:30 PM,LOUD,2,EDward Gaming,0,2-0,LOUD,Completed,Round 3,Swiss Stage
"Mon, March 18, 2024",312802,10:25 PM,Karmine Corp,1,Paper Rex,2,1-2,Paper Rex,Completed,Round 3,Swiss Stage
"Thu, March 21, 2024",312777,8:30 PM,Gen.G,2,Paper Rex,0,2-0,Gen.G,Completed,Upper Semifinals,Playoffs
"Thu, March 21, 2024",312776,10:40 PM,Sentinels,2,LOUD,1,2-1,Sentinels,Completed,Upper Semifinals,Playoffs
"Fri, March 22, 2024",312778,8:30 PM,Gen.G,2,Sentinels,1,2-1,Gen.G,Completed,Upper Final,Playoffs
"Fri, March 22, 2024",312780,11:25 PM,Paper Rex,2,LOUD,0,2-0,Paper Rex,Completed,Lower Round 1,Playoffs
"Sat, March 23, 2024",312781,8:30 PM,Sentinels,3,Paper Rex,1,3-1,Sentinels,Completed,Lower Final,Playoffs
"Sun, March 24, 2024",321373,8:30 PM,Team International,8,Team Spain,13,8-13,Team Spain,Completed,Showmatch,
"Sun, March 24, 2024",312779,9:45 PM,Gen.G,2,Sentinels,3,2-3,Sentinels,Completed,Grand Final,Playoffs
