player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
N4RRATE,N4RRATE,KC,36245,"['Gekko', 'Fade', 'Raze', 'Kayo']",4,157,1.29,245.7,1.27,73%,163.7,0.84,0.41,0.12,0.1,26%,21%,4/19,27,132,104,65,19,16
Less,Less,LOUD,8447,"['Viper', 'Cypher']",2,250,1.22,213.2,1.32,80%,155.1,0.78,0.32,0.09,0.08,30%,3%,1/35,27,195,148,80,23,20
tuyz,tuyz,LOUD,2408,"['Harbor', 'Viper', 'Omen']",3,250,1.21,190.4,1.29,74%,128.0,0.74,0.32,0.05,0.05,30%,11%,4/37,22,186,144,80,13,12
RieNs,RieNs,TH,10971,"['Gekko', 'Sova', 'Breach']",3,130,1.17,230.3,1.14,78%,157.3,0.79,0.34,0.11,0.05,36%,0%,0/22,22,103,90,44,14,7
MiniBoo,MiniBoo,TH,18350,"['Neon', 'Yoru', 'Raze']",3,130,1.17,245.0,1.24,77%,153.6,0.88,0.28,0.17,0.14,31%,25%,3/12,25,114,92,37,22,18
zekken,zekken,SEN,4004,"['Raze', 'Jett']",2,421,1.15,259.5,1.21,74%,167.1,0.9,0.21,0.23,0.19,22%,17%,5/30,32,381,314,90,96,81
johnqt,johnqt,SEN,1265,"['Viper', 'Cypher', 'Killjoy']",3,421,1.12,198.1,1.17,79%,130.9,0.7,0.28,0.09,0.04,24%,18%,14/80,21,293,251,117,36,18
TenZ,TenZ,SEN,9,"['Omen', 'Gekko', 'Kayo']",3,421,1.07,208.2,1.05,77%,131.2,0.75,0.54,0.09,0.08,29%,27%,8/30,25,314,300,226,36,32
ZmjjKK,ZmjjKK,EDG,3520,"['Raze', 'Kayo', 'Jett']",3,154,1.07,252.0,1.08,69%,164.3,0.88,0.25,0.19,0.11,25%,14%,2/14,30,135,125,39,29,17
Munchkin,Munchkin,GEN,2489,"['Kayo', 'Viper']",2,328,1.07,189.6,1.09,71%,125.5,0.67,0.4,0.06,0.08,22%,13%,7/54,19,220,201,131,20,27
benjyfishy,benjyfishy,TH,29873,"['Killjoy', 'Cypher', 'Viper']",3,130,1.06,216.8,1.12,72%,140.4,0.78,0.23,0.11,0.09,29%,13%,2/15,24,101,90,30,14,12
something,something,PRX,17086,"['Gekko', 'Reyna', 'Jett']",3,366,1.06,212.6,1.08,70%,136.6,0.75,0.22,0.15,0.11,25%,14%,6/42,24,274,254,79,54,42
Meteor,Meteor,GEN,13039,"['Killjoy', 'Yoru', 'Jett', 'Cypher']",4,328,1.06,230.0,1.14,73%,152.0,0.82,0.19,0.12,0.13,29%,13%,3/24,22,268,236,61,40,41
Karon,Karon,GEN,34974,"['Viper', 'Astra', 'Omen', 'Brimstone']",4,328,1.06,207.3,1.06,74%,140.4,0.74,0.36,0.1,0.06,29%,16%,7/45,20,242,229,119,32,19
cauanzin,cauanzin,LOUD,6193,"['Sova', 'Breach']",2,250,1.05,223.3,1.1,74%,143.1,0.78,0.29,0.1,0.1,25%,7%,1/15,22,195,178,72,24,25
