agent_name,total_utilization,map_utilizations
Viper,66.0,"{'Lotus': 86.0, 'Icebox': 91.0, 'Sunset': 5.0, 'Bind': 85.0, 'Ascent': 7.0, 'Breeze': 100.0, 'Split': 90.0}"
Omen,64.0,"{'Lotus': 100.0, 'Icebox': 9.0, 'Sunset': 100.0, 'Bind': 30.0, 'Ascent': 100.0, 'Breeze': 0.0, 'Split': 100.0}"
Raze,57.0,"{'Lotus': 89.0, 'Icebox': 0.0, 'Sunset': 82.0, 'Bind': 100.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 100.0}"
Killjoy,38.0,"{'Lotus': 61.0, 'Icebox': 86.0, 'Sunset': 0.0, 'Bind': 0.0, 'Ascent': 86.0, 'Breeze': 0.0, 'Split': 0.0}"
Sova,38.0,"{'Lotus': 0.0, 'Icebox': 73.0, 'Sunset': 27.0, 'Bind': 5.0, 'Ascent': 93.0, 'Breeze': 100.0, 'Split': 0.0}"
Jett,35.0,"{'Lotus': 14.0, 'Icebox': 73.0, 'Sunset': 5.0, 'Bind': 0.0, 'Ascent': 93.0, 'Breeze': 83.0, 'Split': 10.0}"
Cypher,32.0,"{'Lotus': 21.0, 'Icebox': 0.0, 'Sunset': 86.0, 'Bind': 10.0, 'Ascent': 14.0, 'Breeze': 50.0, 'Split': 60.0}"
Kayo,32.0,"{'Lotus': 0.0, 'Icebox': 59.0, 'Sunset': 32.0, 'Bind': 20.0, 'Ascent': 93.0, 'Breeze': 33.0, 'Split': 0.0}"
Gekko,31.0,"{'Lotus': 11.0, 'Icebox': 50.0, 'Sunset': 59.0, 'Bind': 65.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}"
Fade,27.0,"{'Lotus': 75.0, 'Icebox': 0.0, 'Sunset': 23.0, 'Bind': 25.0, 'Ascent': 7.0, 'Breeze': 0.0, 'Split': 20.0}"
Skye,18.0,"{'Lotus': 4.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Bind': 70.0, 'Ascent': 0.0, 'Breeze': 8.0, 'Split': 70.0}"
Breach,14.0,"{'Lotus': 25.0, 'Icebox': 0.0, 'Sunset': 36.0, 'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 30.0}"
Harbor,12.0,"{'Lotus': 0.0, 'Icebox': 27.0, 'Sunset': 14.0, 'Bind': 15.0, 'Ascent': 0.0, 'Breeze': 25.0, 'Split': 0.0}"
Brimstone,11.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Bind': 70.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}"
Yoru,9.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 14.0, 'Bind': 0.0, 'Ascent': 7.0, 'Breeze': 58.0, 'Split': 10.0}"
Astra,6.0,"{'Lotus': 11.0, 'Icebox': 0.0, 'Sunset': 5.0, 'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 33.0, 'Split': 0.0}"
Sage,5.0,"{'Lotus': 0.0, 'Icebox': 14.0, 'Sunset': 14.0, 'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}"
Reyna,2.0,"{'Lotus': 0.0, 'Icebox': 5.0, 'Sunset': 0.0, 'Bind': 5.0, 'Ascent': 0.0, 'Breeze': 8.0, 'Split': 0.0}"
Chamber,2.0,"{'Lotus': 4.0, 'Icebox': 5.0, 'Sunset': 0.0, 'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 10.0}"
Clove,2.0,"{'Lotus': 0.0, 'Icebox': 9.0, 'Sunset': 0.0, 'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}"
Neon,0.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}"
Phoenix,0.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}"
Iso,0.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}"
Deadlock,0.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}"
Tejo,0.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}"
Vyse,0.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}"
Waylay,0.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}"
