match_id,map_name,map_order,score,winner,duration,picked_by
348063,Breeze,1,13 - 8,G2 Esports,-,T1
348063,Icebox,2,1 - 13,T1,-,G2 Esports
348063,Lotus,3,14 - 12,G2 Esports,-,Decider
348061,Sunset,1,13 - 7,FunPlus Phoenix,-,FUT Esports
348061,Lotus,2,12 - 14,FUT Esports,-,FunPlus Phoenix
348061,Icebox,3,13 - 10,FunPlus Phoenix,-,Decider
348064,Icebox,1,7 - 13,LEVIATÁN,-,LEVIATÁN
348064,Lotus,2,13 - 5,Gen.G,-,Gen.G
348064,Breeze,3,13 - 7,Gen.G,-,Decider
348059,Icebox,1,13 - 5,Team Heretics,-,Dragon Ranger Gaming
348059,Sunset,2,13 - 5,Team Heretics,-,Team Heretics
348458,Lotus,1,16 - 14,FunPlus Phoenix,-,Gen.G
348458,Sunset,2,7 - 13,Gen.G,-,FunPlus Phoenix
348458,Ascent,3,11 - 13,Gen.G,-,Decider
348457,Lotus,1,9 - 13,Team Heretics,-,Team Heretics
348457,Bind,2,13 - 6,G2 Esports,-,G2 Esports
348457,Split,3,13 - 8,G2 Esports,-,Decider
348459,Breeze,1,13 - 9,LEVIATÁN,-,T1
348459,Sunset,2,13 - 7,LEVIATÁN,-,LEVIATÁN
348460,Bind,1,10 - 13,FUT Esports,-,FUT Esports
348460,Ascent,2,12 - 14,FUT Esports,-,Dragon Ranger Gaming
348462,Sunset,1,4 - 13,Team Heretics,-,Team Heretics
348462,Lotus,2,13 - 6,FunPlus Phoenix,-,FunPlus Phoenix
348462,Icebox,3,15 - 17,Team Heretics,-,Decider
348461,Sunset,1,13 - 1,FUT Esports,-,LEVIATÁN
348461,Lotus,2,11 - 13,LEVIATÁN,-,FUT Esports
348461,Bind,3,13 - 11,FUT Esports,-,Decider
348465,Icebox,1,13 - 2,100 Thieves,-,FUT Esports
348465,Bind,2,13 - 5,100 Thieves,-,100 Thieves
348466,Lotus,1,13 - 10,FNATIC,-,Gen.G
348466,Bind,2,10 - 13,Gen.G,-,FNATIC
348466,Breeze,3,11 - 13,Gen.G,-,Decider
348463,Split,1,13 - 7,Paper Rex,-,G2 Esports
348463,Lotus,2,10 - 13,G2 Esports,-,Paper Rex
348463,Bind,3,5 - 13,G2 Esports,-,Decider
348464,Sunset,1,6 - 13,Team Heretics,-,Team Heretics
348464,Split,2,3 - 13,Team Heretics,-,EDward Gaming
348468,Split,1,5 - 13,FNATIC,-,FUT Esports
348468,Lotus,2,13 - 8,FUT Esports,-,FNATIC
348468,Ascent,3,13 - 3,FUT Esports,-,Decider
348467,Bind,1,13 - 11,Paper Rex,-,EDward Gaming
348467,Sunset,2,13 - 6,Paper Rex,-,Paper Rex
348470,Icebox,1,10 - 13,Gen.G,-,100 Thieves
348470,Ascent,2,10 - 13,Gen.G,-,Gen.G
348469,Icebox,1,7 - 13,Team Heretics,-,Team Heretics
348469,Ascent,2,13 - 11,G2 Esports,-,G2 Esports
348469,Lotus,3,13 - 4,G2 Esports,-,Decider
348471,Breeze,1,13 - 5,100 Thieves,-,100 Thieves
348471,Sunset,2,10 - 13,Paper Rex,-,Paper Rex
348471,Icebox,3,14 - 12,100 Thieves,-,Decider
348472,Bind,1,13 - 7,Team Heretics,-,FUT Esports
348472,Sunset,2,13 - 4,Team Heretics,-,Team Heretics
348473,Lotus,1,8 - 13,Gen.G,-,G2 Esports
348473,Ascent,2,10 - 13,Gen.G,-,Gen.G
348474,Bind,1,13 - 15,Team Heretics,-,100 Thieves
348474,Sunset,2,1 - 13,Team Heretics,-,Team Heretics
348475,Bind,1,2 - 13,Team Heretics,-,G2 Esports
348475,Icebox,2,6 - 13,Team Heretics,-,Team Heretics
348475,Lotus,3,8 - 13,Team Heretics,-,G2 Esports
359463,Abyss,1,11 - 13,Team China,-,Decider
348476,Breeze,1,13 - 6,Gen.G,-,Gen.G
348476,Icebox,2,9 - 13,Team Heretics,-,Team Heretics
348476,Ascent,3,9 - 13,Team Heretics,-,Gen.G
348476,Lotus,4,13 - 4,Gen.G,-,Team Heretics
348476,Split,5,13 - 3,Gen.G,-,Decider
