match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
348063,G2 Esports vs T1,Champions Tour 2024: Masters Shanghai,2024-05-23 04:00:00,Bo3,G2 Esports vs T1,2 - 1,3,Patch 8.09,T1 ban Split; G2 ban Sunset; T1 pick Breeze; G2 pick Icebox; T1 ban Bind; G2 ban Ascent; Lotus remains
348061,FunPlus Phoenix vs FUT Esports,Champions Tour 2024: Masters Shanghai,2024-05-23 07:10:00,Bo3,FunPlus Phoenix vs FUT Esports,2 - 1,3,Patch 8.09,FUT ban Breeze; FPX ban Split; FUT pick Sunset; FPX pick Lotus; FUT ban Ascent; FPX ban Bind; Icebox remains
348064,Gen.G vs LEVIATÁN,Champions Tour 2024: Masters Shanghai,2024-05-24 04:00:00,Bo3,Gen.G vs LEVIATÁN,2 - 1,3,Patch 8.09,LEV ban Ascent; GEN ban Sunset; LEV pick Icebox; GEN pick Lotus; LEV ban Split; GEN ban Bind; Breeze remains
348059,Team Heretics vs Dragon Ranger Gaming,Champions Tour 2024: Masters Shanghai,2024-05-24 07:00:00,Bo3,Team Heretics vs Dragon Ranger Gaming,2 - 0,2,Patch 8.09,DRG ban Lotus; TH ban Ascent; DRG pick Icebox; TH pick Sunset; DRG ban Bind; TH ban Breeze; Split remains
348458,FunPlus Phoenix vs Gen.G,Champions Tour 2024: Masters Shanghai,2024-05-25 04:00:00,Bo3,FunPlus Phoenix vs Gen.G,1 - 2,3,Patch 8.09,GEN ban Icebox; FPX ban Breeze; GEN pick Lotus; FPX pick Sunset; GEN ban Bind; FPX ban Split; Ascent remains
348457,G2 Esports vs Team Heretics,Champions Tour 2024: Masters Shanghai,2024-05-25 07:40:00,Bo3,G2 Esports vs Team Heretics,2 - 1,3,Patch 8.09,TH ban Ascent; G2 ban Sunset; TH pick Lotus; G2 pick Bind; TH ban Breeze; G2 ban Icebox; Split remains
348459,LEVIATÁN vs T1,Champions Tour 2024: Masters Shanghai,2024-05-26 04:00:00,Bo3,LEVIATÁN vs T1,2 - 0,2,Patch 8.09,T1 ban Bind; LEV ban Ascent; T1 pick Breeze; LEV pick Sunset; T1 ban Split; LEV ban Lotus; Icebox remains
348460,Dragon Ranger Gaming vs FUT Esports,Champions Tour 2024: Masters Shanghai,2024-05-26 06:10:00,Bo3,Dragon Ranger Gaming vs FUT Esports,0 - 2,2,Patch 8.09,FUT ban Breeze; DRG ban Lotus; FUT pick Bind; DRG pick Ascent; FUT ban Sunset; DRG ban Split; Icebox remains
348462,FunPlus Phoenix vs Team Heretics,Champions Tour 2024: Masters Shanghai,2024-05-27 04:00:00,Bo3,FunPlus Phoenix vs Team Heretics,1 - 2,3,Patch 8.09,TH ban Ascent; FPX ban Split; TH pick Sunset; FPX pick Lotus; TH ban Breeze; FPX ban Bind; Icebox remains
348461,FUT Esports vs LEVIATÁN,Champions Tour 2024: Masters Shanghai,2024-05-27 07:35:00,Bo3,FUT Esports vs LEVIATÁN,2 - 1,3,Patch 8.09,LEV ban Split; FUT ban Breeze; LEV pick Sunset; FUT pick Lotus; LEV ban Ascent; FUT ban Icebox; Bind remains
348465,100 Thieves vs FUT Esports,Champions Tour 2024: Masters Shanghai,2024-05-30 04:00:00,Bo3,100 Thieves vs FUT Esports,2 - 0,2,Patch 8.09,FUT ban Breeze; 100T ban Lotus; FUT pick Icebox; 100T pick Bind; FUT ban Split; 100T ban Sunset; Ascent remains
348466,FNATIC vs Gen.G,Champions Tour 2024: Masters Shanghai,2024-05-30 06:00:00,Bo3,FNATIC vs Gen.G,1 - 2,3,Patch 8.09,GEN ban Split; FNC ban Sunset; GEN pick Lotus; FNC pick Bind; GEN ban Icebox; FNC ban Ascent; Breeze remains
348463,Paper Rex vs G2 Esports,Champions Tour 2024: Masters Shanghai,2024-05-31 04:00:00,Bo3,Paper Rex vs G2 Esports,1 - 2,3,Patch 8.09,G2 ban Sunset; PRX ban Breeze; G2 pick Split; PRX pick Lotus; G2 ban Icebox; PRX ban Ascent; Bind remains
348464,EDward Gaming vs Team Heretics,Champions Tour 2024: Masters Shanghai,2024-05-31 07:00:00,Bo3,EDward Gaming vs Team Heretics,0 - 2,2,Patch 8.09,TH ban Ascent; EDG ban Lotus; TH pick Sunset; EDG pick Split; TH ban Bind; EDG ban Icebox; Breeze remains
348468,FUT Esports vs FNATIC,Champions Tour 2024: Masters Shanghai,2024-06-01 04:00:00,Bo3,FUT Esports vs FNATIC,2 - 1,3,Patch 8.09,FUT ban Breeze; FNC ban Sunset; FUT pick Split; FNC pick Lotus; FUT ban Bind; FNC ban Icebox; Ascent remains
348467,Paper Rex vs EDward Gaming,Champions Tour 2024: Masters Shanghai,2024-06-01 07:00:00,Bo3,Paper Rex vs EDward Gaming,2 - 0,2,Patch 8.09,EDG ban Lotus; PRX ban Breeze; EDG pick Bind; PRX pick Sunset; EDG ban Ascent; PRX ban Icebox; Split remains
348470,100 Thieves vs Gen.G,Champions Tour 2024: Masters Shanghai,2024-06-02 04:00:00,Bo3,100 Thieves vs Gen.G,0 - 2,2,Patch 8.09,100T ban Lotus; GEN ban Bind; 100T pick Icebox; GEN pick Ascent; 100T ban Sunset; GEN ban Split; Breeze remains
348469,G2 Esports vs Team Heretics,Champions Tour 2024: Masters Shanghai,2024-06-02 06:15:00,Bo3,G2 Esports vs Team Heretics,2 - 1,3,Patch 8.09,TH ban Bind; G2 ban Sunset; TH pick Icebox; G2 pick Ascent; TH ban Split; G2 ban Breeze; Lotus remains
348471,100 Thieves vs Paper Rex,Champions Tour 2024: Masters Shanghai,2024-06-03 04:00:00,Bo3,100 Thieves vs Paper Rex,2 - 1,3,Patch 8.09,100T ban Lotus; PRX ban Bind; 100T pick Breeze; PRX pick Sunset; 100T ban Split; PRX ban Ascent; Icebox remains
348472,Team Heretics vs FUT Esports,Champions Tour 2024: Masters Shanghai,2024-06-03 07:10:00,Bo3,Team Heretics vs FUT Esports,2 - 0,2,Patch 8.09,FUT ban Breeze; TH ban Ascent; FUT pick Bind; TH pick Sunset; FUT ban Split; TH ban Lotus; Icebox remains
348473,G2 Esports vs Gen.G,Champions Tour 2024: Masters Shanghai,2024-06-07 03:00:00,Bo3,G2 Esports vs Gen.G,0 - 2,2,Patch 8.09,G2 ban Sunset; GEN ban Bind; G2 pick Lotus; GEN pick Ascent; G2 ban Breeze; GEN ban Split; Icebox remains
348474,100 Thieves vs Team Heretics,Champions Tour 2024: Masters Shanghai,2024-06-07 05:25:00,Bo3,100 Thieves vs Team Heretics,0 - 2,2,Patch 8.09,100T ban Lotus; TH ban Ascent; 100T pick Bind; TH pick Sunset; 100T ban Split; TH ban Breeze; Icebox remains
348475,G2 Esports vs Team Heretics,Champions Tour 2024: Masters Shanghai,2024-06-08 03:00:00,Bo5,G2 Esports vs Team Heretics,0 - 3,3,Patch 8.09,G2 ban Sunset; TH ban Ascent; G2 pick Bind; TH pick Icebox; G2 pick Lotus; TH pick Split; Breeze remains
