match_id,event_name,event_stage,match_date,team1,team2,score_overall,player_name,player_id,player_team,stat_type,agent,rating,acs,k,d,a,kd_diff,kast,adr,hs_percent,fk,fd,fk_fd_diff,map_name,map_winner
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,leaf,7873,G2 Esports,overall,"Cypher, Killjoy",N/A,258,59,44,7,+15,N/A,160,23%,10,7,+3,,
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,JonahP,4581,G2 Esports,overall,Viper,N/A,190,44,44,13,0,N/A,119,29%,3,6,-3,,
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,trent,15500,G2 Esports,overall,"Sova, Fade",N/A,187,35,45,25,-10,N/A,126,29%,9,1,+8,,
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,icy,8402,G2 Esports,overall,"Yoru, Gekko, Raze",N/A,164,37,48,11,-11,N/A,107,30%,11,9,+2,,
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,valyn,3885,G2 Esports,overall,"Astra, Harbor, Omen",N/A,156,36,46,23,-10,N/A,116,27%,2,3,-1,,
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,carpe,31207,T1,overall,"Sova, Fade",N/A,239,53,38,21,+15,N/A,159,30%,5,5,0,,
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,Rossy,1129,T1,overall,Viper,N/A,219,44,38,17,+6,N/A,130,28%,3,6,-3,,
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,xccurate,10816,T1,overall,"Harbor, Chamber",N/A,201,48,44,9,+4,N/A,128,41%,4,8,-4,,
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,Sayaplayer,4545,T1,overall,"Jett, Sage, Raze",N/A,199,44,41,9,+3,N/A,139,38%,5,8,-3,,
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,iZu,29833,T1,overall,"Yoru, Reyna, Omen",N/A,191,38,50,23,-12,N/A,122,31%,9,8,+1,,
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,leaf,7873,G2 Esports,map,Cypher,N/A,342,28,11,3,+17,N/A,197,30%,6,2,+4,Breeze,G2 Esports
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,trent,15500,G2 Esports,map,Sova,N/A,234,14,15,12,-1,N/A,162,28%,5,0,+5,Breeze,G2 Esports
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,JonahP,4581,G2 Esports,map,Viper,N/A,173,14,14,4,0,N/A,122,34%,0,2,-2,Breeze,G2 Esports
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,valyn,3885,G2 Esports,map,Astra,N/A,167,13,12,7,+1,N/A,115,47%,1,0,+1,Breeze,G2 Esports
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,icy,8402,G2 Esports,map,Yoru,N/A,166,13,13,6,0,N/A,103,44%,3,2,+1,Breeze,G2 Esports
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,xccurate,10816,T1,map,Harbor,N/A,232,18,18,6,0,N/A,138,47%,1,3,-2,Breeze,G2 Esports
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,carpe,31207,T1,map,Sova,N/A,193,15,15,3,0,N/A,129,34%,1,3,-2,Breeze,G2 Esports
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,iZu,29833,T1,map,Yoru,N/A,177,12,18,2,-6,N/A,112,43%,2,5,-3,Breeze,G2 Esports
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,Sayaplayer,4545,T1,map,Jett,N/A,149,12,17,1,-5,N/A,106,54%,1,4,-3,Breeze,G2 Esports
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,Rossy,1129,T1,map,Viper,N/A,121,8,14,3,-6,N/A,94,33%,1,0,+1,Breeze,G2 Esports
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,leaf,7873,G2 Esports,map,Killjoy,N/A,184,8,14,1,-6,N/A,134,19%,1,2,-1,Icebox,T1
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,JonahP,4581,G2 Esports,map,Viper,N/A,184,9,12,3,-3,N/A,107,26%,1,1,0,Icebox,T1
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,trent,15500,G2 Esports,map,Sova,N/A,150,6,13,2,-7,N/A,106,29%,1,0,+1,Icebox,T1
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,icy,8402,G2 Esports,map,Gekko,N/A,126,6,13,1,-7,N/A,87,24%,4,3,+1,Icebox,T1
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,valyn,3885,G2 Esports,map,Harbor,N/A,77,3,14,3,-11,N/A,53,18%,0,1,-1,Icebox,T1
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,Rossy,1129,T1,map,Viper,N/A,364,20,5,6,+15,N/A,232,30%,0,1,-1,Icebox,T1
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,carpe,31207,T1,map,Sova,N/A,244,12,5,6,+7,N/A,174,18%,3,1,+2,Icebox,T1
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,Sayaplayer,4545,T1,map,Sage,N/A,241,13,5,4,+8,N/A,165,26%,0,0,0,Icebox,T1
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,xccurate,10816,T1,map,Chamber,N/A,207,12,7,2,+5,N/A,150,43%,1,2,-1,Icebox,T1
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,iZu,29833,T1,map,Reyna,N/A,193,9,10,5,-1,N/A,120,23%,3,3,0,Icebox,T1
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,leaf,7873,G2 Esports,map,Killjoy,N/A,247,23,19,3,+4,N/A,145,19%,3,3,0,Lotus,G2 Esports
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,valyn,3885,G2 Esports,map,Omen,N/A,225,20,20,13,0,N/A,150,16%,1,2,-1,Lotus,G2 Esports
348063,Champions Tour 2024: Masters Shanghai,"Swiss Stage: 
						Round 1",2024-05-23 04:00:00,G2 Esports,T1,2 - 1,JonahP,4581,G2 Esports,map,Viper,N/A,213,21,18,6,+3,N/A,122,27%,2,3,-1,Lotus,G2 Esports
