agent_name,total_utilization,map_utilizations
Viper,77.0,"{'Lotus': 80.0, 'Ascent': 25.0, 'Breeze': 100.0, 'Icebox': 100.0, 'Split': 80.0, 'Bind': 88.0, 'Sunset': 75.0}"
Omen,54.0,"{'Lotus': 100.0, 'Ascent': 100.0, 'Breeze': 6.0, 'Icebox': 0.0, 'Split': 50.0, 'Bind': 0.0, 'Sunset': 100.0}"
Raze,50.0,"{'Lotus': 100.0, 'Ascent': 13.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Split': 100.0, 'Bind': 88.0, 'Sunset': 88.0}"
Jett,48.0,"{'Lotus': 5.0, 'Ascent': 88.0, 'Breeze': 63.0, 'Icebox': 100.0, 'Split': 50.0, 'Bind': 0.0, 'Sunset': 0.0}"
Killjoy,42.0,"{'Lotus': 65.0, 'Ascent': 75.0, 'Breeze': 0.0, 'Icebox': 100.0, 'Split': 0.0, 'Bind': 0.0, 'Sunset': 0.0}"
Sova,41.0,"{'Lotus': 0.0, 'Ascent': 75.0, 'Breeze': 81.0, 'Icebox': 71.0, 'Split': 10.0, 'Bind': 0.0, 'Sunset': 25.0}"
Cypher,38.0,"{'Lotus': 20.0, 'Ascent': 13.0, 'Breeze': 69.0, 'Icebox': 0.0, 'Split': 50.0, 'Bind': 88.0, 'Sunset': 75.0}"
Kayo,27.0,"{'Lotus': 0.0, 'Ascent': 75.0, 'Breeze': 25.0, 'Icebox': 43.0, 'Split': 0.0, 'Bind': 25.0, 'Sunset': 13.0}"
Skye,25.0,"{'Lotus': 35.0, 'Ascent': 0.0, 'Breeze': 25.0, 'Icebox': 0.0, 'Split': 60.0, 'Bind': 50.0, 'Sunset': 25.0}"
Fade,23.0,"{'Lotus': 65.0, 'Ascent': 25.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Bind': 13.0, 'Sunset': 38.0}"
Gekko,17.0,"{'Lotus': 5.0, 'Ascent': 13.0, 'Breeze': 0.0, 'Icebox': 43.0, 'Split': 10.0, 'Bind': 50.0, 'Sunset': 25.0}"
Yoru,13.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Breeze': 50.0, 'Icebox': 0.0, 'Split': 20.0, 'Bind': 25.0, 'Sunset': 0.0}"
Harbor,13.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Breeze': 44.0, 'Icebox': 29.0, 'Split': 0.0, 'Bind': 0.0, 'Sunset': 13.0}"
Astra,9.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Breeze': 19.0, 'Icebox': 0.0, 'Split': 50.0, 'Bind': 0.0, 'Sunset': 0.0}"
Brimstone,7.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Bind': 75.0, 'Sunset': 0.0}"
Breach,4.0,"{'Lotus': 5.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Split': 20.0, 'Bind': 0.0, 'Sunset': 13.0}"
Neon,3.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Breeze': 19.0, 'Icebox': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Sunset': 0.0}"
Sage,3.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Icebox': 14.0, 'Split': 0.0, 'Bind': 0.0, 'Sunset': 13.0}"
Chamber,3.0,"{'Lotus': 15.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Sunset': 0.0}"
Reyna,1.0,"{'Lotus': 5.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Sunset': 0.0}"
Iso,0.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Sunset': 0.0}"
Phoenix,0.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Sunset': 0.0}"
Deadlock,0.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Sunset': 0.0}"
Clove,0.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Sunset': 0.0}"
Tejo,0.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Sunset': 0.0}"
Vyse,0.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Sunset': 0.0}"
Waylay,0.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Sunset': 0.0}"
