match_id,map_name,map_order,score,winner,duration,picked_by
296735,Breeze,1,18 - 16,T1,3:22:31,BLEED
296735,Lotus,2,13 - 6,T1,47:45,T1
296745,Icebox,1,13 - 11,Gen.G,50:50,Rex Regum Qeon
296745,Split,2,11 - 13,Rex Regum Qeon,48:33,Gen.G
296745,Sunset,3,13 - 8,Gen.G,45:26,Decider
296730,Bind,1,13 - 10,ZETA DIVISION,52:23,Global Esports
296730,Icebox,2,13 - 7,ZETA DIVISION,43:16,ZETA DIVISION
296731,Breeze,1,8 - 13,TALON,53:43,TALON
296731,Ascent,2,3 - 13,TALON,30:27,Team Secret
296736,Lotus,1,13 - 8,DRX,1:01:21,DetonatioN FocusMe
296736,Breeze,2,13 - 8,DRX,44:13,DRX
296747,Breeze,1,13 - 10,Gen.G,1:02:09,Gen.G
296747,Lotus,2,10 - 13,Paper Rex,49:07,Paper Rex
296747,Sunset,3,7 - 13,Paper Rex,40:11,Decider
296738,Sunset,1,9 - 13,Global Esports,58:19,Global Esports
296738,Icebox,2,13 - 10,BLEED,53:56,BLEED
296738,Split,3,11 - 13,Global Esports,55:06,Decider
296737,Ascent,1,11 - 13,ZETA DIVISION,1:06:46,ZETA DIVISION
296737,Lotus,2,13 - 4,T1,42:44,T1
296737,Sunset,3,13 - 7,T1,44:57,Decider
296733,Lotus,1,7 - 13,Team Secret,57:15,DetonatioN FocusMe
296733,Breeze,2,11 - 13,Team Secret,52:48,Team Secret
296732,Split,1,13 - 10,DRX,1:00:25,DRX
296732,Ascent,2,13 - 8,DRX,46:12,TALON
296749,Lotus,1,13 - 7,Gen.G,1:06:04,Rex Regum Qeon
296749,Breeze,2,10 - 13,Rex Regum Qeon,53:06,Gen.G
296749,Icebox,3,13 - 11,Gen.G,50:20,Decider
296734,Breeze,1,8 - 13,Team Secret,53:46,Team Secret
296734,Ascent,2,7 - 13,Team Secret,44:44,TALON
296739,Bind,1,13 - 8,ZETA DIVISION,55:38,Global Esports
296739,Lotus,2,13 - 3,ZETA DIVISION,36:39,ZETA DIVISION
297254,Breeze,1,13 - 5,Team Secret,52:39,Team Secret
297254,Lotus,2,9 - 13,Gen.G,53:25,Gen.G
297254,Icebox,3,13 - 15,Gen.G,1:00:12,Decider
297253,Icebox,1,1 - 13,Team Secret,36:23,Team Secret
297253,Ascent,2,8 - 13,Team Secret,46:02,ZETA DIVISION
297255,Icebox,1,13 - 6,Gen.G,54:35,Gen.G
297255,Ascent,2,13 - 4,Gen.G,39:03,ZETA DIVISION
297256,Split,1,14 - 16,Paper Rex,1:18:27,Paper Rex
297256,Ascent,2,6 - 13,Paper Rex,41:48,T1
297257,Bind,1,12 - 14,Gen.G,1:15:25,DRX
297257,Lotus,2,8 - 13,Gen.G,45:52,Gen.G
297258,Ascent,1,5 - 13,Gen.G,57:17,Gen.G
297258,Split,2,13 - 4,Paper Rex,35:10,Paper Rex
297258,Lotus,3,11 - 13,Gen.G,49:09,Gen.G
297258,Bind,4,4 - 13,Gen.G,31:31,Paper Rex
