map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Breeze,T1,0,4 (0),2 (0),5 (3),23 (15),296735
Breeze,BLD,2,2 (2),0 (0),9 (4),23 (10),296735
Lotus,T1,2,2 (2),1 (0),5 (4),11 (7),296735
Lotus,BLD,0,3 (0),1 (0),7 (1),8 (5),296735
All Maps,T1,2,6 (2),3 (0),10 (7),34 (22),296735
All Maps,BLD,2,5 (2),1 (0),16 (5),31 (15),296735
Icebox,GEN,1,4 (1),2 (2),5 (3),13 (7),296745
Icebox,RRQ,1,3 (1),1 (0),5 (4),15 (6),296745
Split,GEN,1,3 (1),1 (0),8 (4),12 (6),296745
Split,RRQ,1,3 (1),1 (0),9 (4),11 (8),296745
jett,GEN,1,3 (1),0 (0),5 (3),13 (9),296745
jett,RRQ,1,3 (1),1 (0),10 (4),7 (3),296745
All Maps,GEN,3,10 (3),3 (2),18 (10),38 (22),296745
All Maps,RRQ,3,9 (3),3 (0),24 (12),33 (17),296745
Bind,ZETA,1,3 (1),1 (0),4 (3),15 (9),296730
Bind,GE,1,4 (1),0 (0),9 (4),10 (5),296730
Icebox,ZETA,2,3 (3),0 (0),4 (2),13 (8),296730
Icebox,GE,0,4 (0),0 (0),6 (3),10 (4),296730
All Maps,ZETA,3,6 (4),1 (0),8 (5),28 (17),296730
All Maps,GE,1,8 (1),0 (0),15 (7),20 (9),296730
Breeze,TS,1,3 (1),2 (0),5 (3),11 (4),296731
Breeze,TLN,1,3 (1),0 (0),4 (2),14 (10),296731
Ascent,TS,0,4 (0),1 (0),6 (1),5 (2),296731
Ascent,TLN,2,2 (2),0 (0),5 (4),9 (7),296731
All Maps,TS,1,7 (1),3 (0),11 (4),16 (6),296731
All Maps,TLN,3,5 (3),0 (0),9 (6),23 (17),296731
Lotus,DRX,2,2 (2),0 (0),7 (3),12 (8),296736
Lotus,DFM,0,4 (0),2 (0),6 (2),9 (6),296736
Breeze,DRX,2,2 (2),1 (1),6 (4),12 (6),296736
Breeze,DFM,0,4 (0),0 (0),7 (4),10 (4),296736
All Maps,DRX,4,4 (4),1 (1),13 (7),24 (14),296736
All Maps,DFM,0,8 (0),2 (0),13 (6),19 (10),296736
Breeze,GEN,1,3 (2),2 (0),6 (4),12 (7),296747
Breeze,PRX,1,4 (1),1 (0),7 (3),11 (6),296747
Lotus,GEN,1,3 (2),2 (1),5 (2),13 (5),296747
Lotus,PRX,1,4 (1),1 (0),5 (2),13 (10),296747
All Maps,GEN,1,3 (1),2 (0),6 (3),9 (3),296747
All Maps,PRX,1,3 (1),0 (0),6 (4),11 (8),296747
Sunset,BLD,0,4 (0),2 (0),1 (1),15 (8),296738
Sunset,GE,2,3 (2),0 (0),4 (2),15 (9),296738
Icebox,BLD,2,3 (2),0 (0),7 (4),13 (7),296738
Icebox,GE,0,4 (0),1 (0),4 (3),14 (7),296738
All Maps,BLD,1,3 (1),3 (1),4 (1),14 (8),296738
All Maps,GE,1,3 (2),1 (0),3 (1),17 (10),296738
Ascent,T1,0,3 (0),1 (0),8 (3),12 (8),296737
Ascent,ZETA,2,2 (2),2 (0),6 (3),14 (8),296737
Lotus,T1,1,3 (2),0 (0),2 (2),12 (9),296737
Lotus,ZETA,1,3 (1),2 (0),7 (2),5 (1),296737
All Maps,T1,1,3 (1),0 (0),4 (2),13 (10),296737
All Maps,ZETA,1,3 (1),1 (0),7 (3),9 (3),296737
Lotus,DFM,0,3 (0),3 (0),3 (2),11 (5),296733
Lotus,TS,2,2 (2),1 (0),5 (4),12 (7),296733
Breeze,DFM,2,2 (2),0 (0),11 (4),11 (5),296733
