date,match_id,time,team1,score1,team2,score2,score,winner,status,week,stage
"Sat, February 17, 2024",296735,11:30 AM,T1,2,BLEED,0,2-0,T1,Completed,Opening (A),Group Stage
"Sat, February 17, 2024",296745,7:15 PM,Gen.G,2,Rex Regum Qeon,1,2-1,Gen.G,Completed,Opening (C),Group Stage
"Sun, February 18, 2024",296730,11:30 AM,ZETA DIVISION,2,Global Esports,0,2-0,ZETA DIVISION,Completed,Opening (A),Group Stage
"Sun, February 18, 2024",296731,2:00 PM,Team Secret,0,TALON,2,0-2,TALON,Completed,Opening (B),Group Stage
"Sun, February 18, 2024",296736,4:00 PM,DRX,2,DetonatioN FocusMe,0,2-0,DRX,Completed,Opening (B),Group Stage
"Mon, February 19, 2024",296747,11:30 AM,Gen.G,1,Paper Rex,2,1-2,Paper Rex,Completed,Winner's (C),Group Stage
"Mon, February 19, 2024",296738,2:45 PM,BLEED,1,Global Esports,2,1-2,Global Esports,Completed,Elimination (A),Group Stage
"Mon, February 19, 2024",296737,6:30 PM,T1,2,ZETA DIVISION,1,2-1,T1,Completed,Winner's (A),Group Stage
"Tue, February 20, 2024",296733,1:30 PM,DetonatioN FocusMe,0,Team Secret,2,0-2,Team Secret,Completed,Elimination (B),Group Stage
"Tue, February 20, 2024",296732,3:50 PM,DRX,2,TALON,0,2-0,DRX,Completed,Winner's (B),Group Stage
"Wed, February 21, 2024",296749,11:30 AM,Gen.G,2,Rex Regum Qeon,1,2-1,Gen.G,Completed,Decider (C),Group Stage
"Wed, February 21, 2024",296734,3:00 PM,TALON,0,Team Secret,2,0-2,Team Secret,Completed,Decider (B),Group Stage
"Wed, February 21, 2024",296739,5:45 PM,ZETA DIVISION,2,Global Esports,0,2-0,ZETA DIVISION,Completed,Decider (A),Group Stage
"Thu, February 22, 2024",297254,11:30 AM,Team Secret,1,Gen.G,2,1-2,Gen.G,Completed,Play-ins,Play-Ins
"Thu, February 22, 2024",297253,2:50 PM,ZETA DIVISION,0,Team Secret,2,0-2,Team Secret,Completed,Play-ins,Play-Ins
"Thu, February 22, 2024",297255,5:00 PM,Gen.G,2,ZETA DIVISION,0,2-0,Gen.G,Completed,Play-ins,Play-Ins
"Sat, February 24, 2024",297256,1:30 PM,T1,0,Paper Rex,2,0-2,Paper Rex,Completed,Semifinals,Playoffs
"Sat, February 24, 2024",297257,3:55 PM,DRX,0,Gen.G,2,0-2,Gen.G,Completed,Semifinals,Playoffs
"Sun, February 25, 2024",297258,1:30 PM,Paper Rex,1,Gen.G,3,1-3,Gen.G,Completed,Grand Final,Playoffs
