player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
JitBoyS,JitBoyS,TLN,13788,"['Viper', 'Killjoy', 'Cypher']",3,122,1.2,228.5,1.25,75%,152.0,0.83,0.16,0.06,0.07,36%,29%,6/21,26,101,81,20,7,8
invy,invy,TS,8504,"['Kayo', 'Viper', 'Sage']",3,225,1.2,211.7,1.26,76%,144.7,0.8,0.37,0.07,0.06,29%,5%,1/21,28,181,144,84,16,13
t3xture,t3xture,GEN,9196,"['Jett', 'Raze']",2,429,1.18,250.8,1.29,73%,164.3,0.9,0.16,0.16,0.14,29%,22%,9/41,33,388,301,69,70,62
Jremy,Jremy,TS,7405,"['Jett', 'Raze']",2,225,1.17,256.6,1.24,75%,163.3,0.9,0.19,0.25,0.17,28%,15%,2/13,27,202,163,42,56,38
MaKo,MaKo,DRX,4462,"['Omen', 'Viper', 'Brimstone']",3,133,1.17,207.8,1.16,84%,141.6,0.74,0.41,0.1,0.02,31%,6%,1/16,21,99,85,55,13,3
Karon,Karon,GEN,34974,"['Viper', 'Astra', 'Omen', 'Brimstone']",4,429,1.14,199.2,1.12,77%,132.3,0.71,0.39,0.08,0.05,36%,19%,12/63,23,304,272,168,33,23
Sayaplayer,Sayaplayer,T1,4545,"['Jett', 'Raze']",2,163,1.14,215.1,1.29,74%,143.2,0.82,0.08,0.21,0.13,29%,15%,2/13,36,134,104,13,34,22
something,something,PRX,17086,"['Yoru', 'Jett', 'Gekko', 'Reyna']",4,191,1.14,224.7,1.12,77%,143.6,0.8,0.25,0.17,0.11,22%,6%,1/16,23,153,137,47,33,21
Meiy,Meiy,DFM,6672,"['Raze', 'Yoru']",2,86,1.12,253.5,1.1,70%,163.4,0.87,0.17,0.21,0.16,26%,20%,2/10,21,75,68,15,18,14
xccurate,xccurate,T1,10816,"['Harbor', 'Chamber', 'Cypher', 'Astra']",4,163,1.12,233.6,1.23,74%,149.8,0.83,0.21,0.08,0.04,29%,0%,0/20,29,135,110,35,13,6
Jemkin,Jemkin,RRQ,24895,"['Jett', 'Raze']",2,136,1.1,236.3,1.17,68%,146.6,0.87,0.13,0.13,0.12,30%,15%,2/13,25,118,101,17,18,16
Rossy,Rossy,T1,1129,['Viper'],1,163,1.09,213.4,1.14,79%,129.5,0.72,0.29,0.07,0.06,19%,24%,6/25,23,117,103,48,12,9
Governor,Governor,TLN,3980,"['Neon', 'Jett', 'Raze']",3,122,1.08,247.0,1.16,70%,153.3,0.84,0.23,0.19,0.21,17%,20%,2/10,25,103,89,28,23,26
d4v41,d4v41,PRX,9803,"['Viper', 'Skye', 'Sage', 'Omen', 'Fade']",5,191,1.07,195.9,0.99,73%,138.0,0.68,0.45,0.05,0.07,31%,23%,7/30,21,130,131,85,9,13
Flashback,Flashback,DRX,35013,"['Killjoy', 'Cypher']",2,133,1.06,200.3,1.2,68%,139.5,0.77,0.16,0.07,0.13,36%,9%,1/11,21,102,85,21,9,17
mindfreak,mindfreak,PRX,9800,"['Sova', 'Omen', 'Viper', 'Brimstone']",4,191,1.06,189.4,1.04,69%,129.4,0.69,0.25,0.04,0.04,28%,29%,10/35,29,132,127,48,7,8
Meteor,Meteor,GEN,13039,"['Killjoy', 'Jett', 'Cypher']",3,429,1.06,222.0,1.15,72%,146.6,0.8,0.14,0.11,0.09,28%,9%,5/53,24,345,299,60,49,37
Egoist,Egoist,BLD,2362,"['Skye', 'Killjoy', 'Cypher']",3,122,1.06,208.4,1.07,75%,132.2,0.75,0.23,0.08,0.06,26%,24%,4/17,27,91,85,28,10,7
sScary,sScary,BLD,4382,"['Viper', 'Omen']",2,122,1.06,177.8,1.05,77%,123.9,0.63,0.39,0.08,0.08,24%,21%,7/34,28,77,73,47,10,10
Dep,Dep,ZETA,424,"['Raze', 'Jett']",2,212,1.05,245.0,1.16,67%,154.0,0.87,0.12,0.22,0.18,27%,5%,1/19,27,184,159,26,46,39
iZu,iZu,T1,29833,"['Yoru', 'Omen', 'Raze']",3,163,1.05,203.1,1.07,74%,134.7,0.72,0.38,0.1,0.11,30%,13%,2/16,27,117,109,62,17,18
JessieVash,JessieVash,TS,2334,"['Sova', 'Skye']",2,225,1.04,186.7,1.05,74%,125.8,0.64,0.36,0.06,0.08,26%,18%,6/34,18,144,137,81,14,17
