match_id,map_name,map_order,score,winner,duration,picked_by
314301,Sunset,1,1 - 13,ZETA DIVISION,50:44,ZETA DIVISION
314301,Icebox,2,13 - 10,Global Esports,49:39,Global Esports
314301,Ascent,3,8 - 13,ZETA DIVISION,50:21,Decider
314302,Sunset,1,8 - 13,DRX,55:38,Team Secret
314302,Lotus,2,8 - 13,DRX,43:04,DRX
314303,Lotus,1,13 - 9,BLEED,1:07:26,TALON
314303,Bind,2,7 - 13,TALON,46:40,BLEED
314303,Icebox,3,6 - 13,TALON,44:25,Decider
314304,Lotus,1,10 - 13,Paper Rex,1:14:34,T1
314304,Bind,2,12 - 14,Paper Rex,53:12,Paper Rex
314305,Breeze,1,10 - 13,Rex Regum Qeon,1:02:28,Team Secret
314305,Split,2,13 - 6,Team Secret,43:42,Rex Regum Qeon
314305,Icebox,3,12 - 14,Rex Regum Qeon,1:01:08,Decider
314306,Ascent,1,8 - 13,DRX,54:18,Global Esports
314306,Lotus,2,6 - 13,DRX,46:52,DRX
314307,Lotus,1,13 - 9,Gen.G,54:49,Gen.G
314307,Ascent,2,13 - 8,Gen.G,45:05,TALON
314308,Ascent,1,10 - 13,DetonatioN FocusMe,1:01:35,DetonatioN FocusMe
314308,Lotus,2,13 - 5,T1,43:30,T1
314308,Sunset,3,11 - 13,DetonatioN FocusMe,51:41,Decider
314309,Lotus,1,13 - 11,Gen.G,1:05:26,Gen.G
314309,Icebox,2,11 - 13,Paper Rex,46:40,Paper Rex
314309,Bind,3,6 - 13,Paper Rex,41:46,Decider
314310,Breeze,1,13 - 9,T1,53:18,T1
314310,Split,2,5 - 13,DRX,39:20,DRX
314310,Bind,3,6 - 13,DRX,42:03,Decider
314311,Icebox,1,13 - 8,Team Secret,59:07,Team Secret
314311,Lotus,2,6 - 13,ZETA DIVISION,41:51,ZETA DIVISION
314311,Sunset,3,13 - 7,Team Secret,48:17,Decider
314312,Lotus,1,2 - 13,Rex Regum Qeon,43:49,BLEED
314312,Icebox,2,5 - 13,Rex Regum Qeon,42:36,Rex Regum Qeon
314313,Split,1,13 - 8,Gen.G,1:00:31,DetonatioN FocusMe
314313,Lotus,2,13 - 7,Gen.G,47:19,Gen.G
314314,Icebox,1,13 - 4,Global Esports,45:38,TALON
