match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
314301.0,Global Esports vs ZETA DIVISION,Champions Tour 2024: Pacific Stage 1,2024-04-06 04:00:00,Bo3,Global Esports vs ZETA DIVISION,1 - 2,3,Patch 8.05,ZETA ban Breeze; GE ban Bind; ZETA pick Sunset; GE pick Icebox; ZETA ban Split; GE ban Lotus; Ascent remains
314302.0,Team Secret vs DRX,Champions Tour 2024: Pacific Stage 1,2024-04-06 07:00:00,Bo3,Team Secret vs DRX,0 - 2,2,Patch 8.05,TS ban Bind; DRX ban Icebox; TS pick Sunset; DRX pick Lotus; TS ban Split; DRX ban Ascent; Breeze remains
314303.0,BLEED vs TALON,Champions Tour 2024: Pacific Stage 1,2024-04-07 04:00:00,Bo3,BLEED vs TALON,1 - 2,3,Patch 8.05,TLN ban Breeze; BLD ban Ascent; TLN pick Lotus; BLD pick Bind; TLN ban Split; BLD ban Sunset; Icebox remains
314304.0,T1 vs Paper Rex,Champions Tour 2024: Pacific Stage 1,2024-04-07 07:15:00,Bo3,T1 vs Paper Rex,0 - 2,2,Patch 8.05,T1 ban Icebox; PRX ban Breeze; T1 pick Lotus; PRX pick Bind; T1 ban Split; PRX ban Ascent; Sunset remains
314305.0,Team Secret vs Rex Regum Qeon,Champions Tour 2024: Pacific Stage 1,2024-04-08 04:00:00,Bo3,Team Secret vs Rex Regum Qeon,1 - 2,3,Patch 8.05,TS ban Bind; RRQ ban Sunset; TS pick Breeze; RRQ pick Split; TS ban Lotus; RRQ ban Ascent; Icebox remains
314306.0,Global Esports vs DRX,Champions Tour 2024: Pacific Stage 1,2024-04-08 07:20:00,Bo3,Global Esports vs DRX,0 - 2,2,Patch 8.05,GE ban Bind; DRX ban Icebox; GE pick Ascent; DRX pick Lotus; GE ban Sunset; DRX ban Split; Breeze remains
314307.0,Gen.G vs TALON,Champions Tour 2024: Pacific Stage 1,2024-04-09 04:00:00,Bo3,Gen.G vs TALON,2 - 0,2,Patch 8.05,GEN ban Sunset; TLN ban Breeze; GEN pick Lotus; TLN pick Ascent; GEN ban Icebox; TLN ban Split; Bind remains
314308.0,T1 vs DetonatioN FocusMe,Champions Tour 2024: Pacific Stage 1,2024-04-09 06:10:00,Bo3,T1 vs DetonatioN FocusMe,1 - 2,3,Patch 8.05,DFM ban Bind; T1 ban Icebox; DFM pick Ascent; T1 pick Lotus; DFM ban Breeze; T1 ban Split; Sunset remains
314309.0,Gen.G vs Paper Rex,Champions Tour 2024: Pacific Stage 1,2024-04-13 04:00:00,Bo3,Gen.G vs Paper Rex,1 - 2,3,Patch 8.05,GEN ban Sunset; PRX ban Breeze; GEN pick Lotus; PRX pick Icebox; GEN ban Split; PRX ban Ascent; Bind remains
314310.0,T1 vs DRX,Champions Tour 2024: Pacific Stage 1,2024-04-13 07:10:00,Bo3,T1 vs DRX,1 - 2,3,Patch 8.05,T1 ban Icebox; DRX ban Lotus; T1 pick Breeze; DRX pick Split; T1 ban Sunset; DRX ban Ascent; Bind remains
314311.0,Team Secret vs ZETA DIVISION,Champions Tour 2024: Pacific Stage 1,2024-04-14 04:00:00,Bo3,Team Secret vs ZETA DIVISION,2 - 1,3,Patch 8.05,TS ban Bind; ZETA ban Breeze; TS pick Icebox; ZETA pick Lotus; TS ban Ascent; ZETA ban Split; Sunset remains
314312.0,BLEED vs Rex Regum Qeon,Champions Tour 2024: Pacific Stage 1,2024-04-14 07:00:00,Bo3,BLEED vs Rex Regum Qeon,0 - 2,2,Patch 8.05,BLD ban Ascent; RRQ ban Sunset; BLD pick Lotus; RRQ pick Icebox; BLD ban Split; RRQ ban Bind; Breeze remains
314313.0,Gen.G vs DetonatioN FocusMe,Champions Tour 2024: Pacific Stage 1,2024-04-15 04:00:00,Bo3,Gen.G vs DetonatioN FocusMe,2 - 0,2,Patch 8.05,DFM ban Bind; GEN ban Sunset; DFM pick Split; GEN pick Lotus; DFM ban Icebox; GEN ban Ascent; Breeze remains
314314.0,Global Esports vs TALON,Champions Tour 2024: Pacific Stage 1,2024-04-15 06:10:00,Bo3,Global Esports vs TALON,1 - 2,3,Patch 8.05,TLN ban Split; GE ban Bind; TLN pick Icebox; GE pick Breeze; TLN ban Ascent; GE ban Sunset; Lotus remains
314315.0,T1 vs Rex Regum Qeon,Champions Tour 2024: Pacific Stage 1,2024-04-16 04:00:00,Bo3,T1 vs Rex Regum Qeon,2 - 0,2,Patch 8.05,RRQ ban Sunset; T1 ban Icebox; RRQ pick Ascent; T1 pick Lotus; RRQ ban Split; T1 ban Bind; Breeze remains
314316.0,BLEED vs ZETA DIVISION,Champions Tour 2024: Pacific Stage 1,2024-04-16 06:00:00,Bo3,BLEED vs ZETA DIVISION,1 - 2,3,Patch 8.05,BLD ban Icebox; ZETA ban Breeze; BLD pick Sunset; ZETA pick Ascent; BLD ban Split; ZETA ban Bind; Lotus remains
314317.0,Gen.G vs DRX,Champions Tour 2024: Pacific Stage 1,2024-04-20 04:00:00,Bo3,Gen.G vs DRX,1 - 2,3,Patch 8.07,DRX ban Lotus; GEN ban Sunset; DRX pick Bind; GEN pick Ascent; DRX ban Breeze; GEN ban Icebox; Split remains
