agent_name,total_utilization,map_utilizations
Omen,75.0,"{'Ascent': 94.0, 'Sunset': 100.0, 'Icebox': 4.0, 'Lotus': 89.0, 'Haven': 89.0, 'Split': 100.0, 'Bind': 20.0, 'Abyss': 100.0, 'Breeze': 0.0}"
Sova,48.0,"{'Ascent': 92.0, 'Sunset': 47.0, 'Icebox': 36.0, 'Lotus': 25.0, 'Haven': 67.0, 'Split': 0.0, 'Bind': 0.0, 'Abyss': 83.0, 'Breeze': 100.0}"
Jett,48.0,"{'Ascent': 86.0, 'Sunset': 21.0, 'Icebox': 79.0, 'Lotus': 11.0, 'Haven': 67.0, 'Split': 21.0, 'Bind': 0.0, 'Abyss': 67.0, 'Breeze': 100.0}"
Killjoy,41.0,"{'Ascent': 75.0, 'Sunset': 0.0, 'Icebox': 93.0, 'Lotus': 29.0, 'Haven': 61.0, 'Split': 0.0, 'Bind': 0.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Kayo,41.0,"{'Ascent': 89.0, 'Sunset': 29.0, 'Icebox': 75.0, 'Lotus': 11.0, 'Haven': 0.0, 'Split': 0.0, 'Bind': 10.0, 'Abyss': 67.0, 'Breeze': 50.0}"
Cypher,39.0,"{'Ascent': 8.0, 'Sunset': 82.0, 'Icebox': 0.0, 'Lotus': 32.0, 'Haven': 39.0, 'Split': 64.0, 'Bind': 60.0, 'Abyss': 83.0, 'Breeze': 100.0}"
Viper,35.0,"{'Ascent': 0.0, 'Sunset': 0.0, 'Icebox': 93.0, 'Lotus': 36.0, 'Haven': 17.0, 'Split': 86.0, 'Bind': 80.0, 'Abyss': 0.0, 'Breeze': 100.0}"
Raze,34.0,"{'Ascent': 8.0, 'Sunset': 65.0, 'Icebox': 0.0, 'Lotus': 39.0, 'Haven': 0.0, 'Split': 100.0, 'Bind': 100.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Breach,29.0,"{'Ascent': 0.0, 'Sunset': 71.0, 'Icebox': 0.0, 'Lotus': 43.0, 'Haven': 72.0, 'Split': 0.0, 'Bind': 0.0, 'Abyss': 33.0, 'Breeze': 0.0}"
Gekko,20.0,"{'Ascent': 0.0, 'Sunset': 53.0, 'Icebox': 43.0, 'Lotus': 4.0, 'Haven': 0.0, 'Split': 0.0, 'Bind': 40.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Neon,16.0,"{'Ascent': 0.0, 'Sunset': 15.0, 'Icebox': 0.0, 'Lotus': 61.0, 'Haven': 28.0, 'Split': 0.0, 'Bind': 0.0, 'Abyss': 33.0, 'Breeze': 0.0}"
Skye,14.0,"{'Ascent': 6.0, 'Sunset': 0.0, 'Icebox': 0.0, 'Lotus': 7.0, 'Haven': 17.0, 'Split': 93.0, 'Bind': 50.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Fade,14.0,"{'Ascent': 3.0, 'Sunset': 0.0, 'Icebox': 0.0, 'Lotus': 68.0, 'Haven': 6.0, 'Split': 7.0, 'Bind': 20.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Sage,8.0,"{'Ascent': 6.0, 'Sunset': 18.0, 'Icebox': 21.0, 'Lotus': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Clove,7.0,"{'Ascent': 11.0, 'Sunset': 0.0, 'Icebox': 21.0, 'Lotus': 4.0, 'Haven': 6.0, 'Split': 7.0, 'Bind': 0.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Chamber,6.0,"{'Ascent': 0.0, 'Sunset': 0.0, 'Icebox': 7.0, 'Lotus': 25.0, 'Haven': 0.0, 'Split': 14.0, 'Bind': 0.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Brimstone,5.0,"{'Ascent': 0.0, 'Sunset': 0.0, 'Icebox': 0.0, 'Lotus': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Bind': 80.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Harbor,5.0,"{'Ascent': 8.0, 'Sunset': 0.0, 'Icebox': 18.0, 'Lotus': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Iso,4.0,"{'Ascent': 0.0, 'Sunset': 0.0, 'Icebox': 11.0, 'Lotus': 0.0, 'Haven': 17.0, 'Split': 0.0, 'Bind': 0.0, 'Abyss': 17.0, 'Breeze': 0.0}"
Astra,3.0,"{'Ascent': 0.0, 'Sunset': 0.0, 'Icebox': 0.0, 'Lotus': 11.0, 'Haven': 11.0, 'Split': 0.0, 'Bind': 0.0, 'Abyss': 0.0, 'Breeze': 50.0}"
Deadlock,3.0,"{'Ascent': 0.0, 'Sunset': 0.0, 'Icebox': 0.0, 'Lotus': 7.0, 'Haven': 0.0, 'Split': 7.0, 'Bind': 20.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Reyna,2.0,"{'Ascent': 8.0, 'Sunset': 0.0, 'Icebox': 0.0, 'Lotus': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Phoenix,2.0,"{'Ascent': 6.0, 'Sunset': 0.0, 'Icebox': 0.0, 'Lotus': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Abyss': 17.0, 'Breeze': 0.0}"
Yoru,2.0,"{'Ascent': 0.0, 'Sunset': 0.0, 'Icebox': 0.0, 'Lotus': 0.0, 'Haven': 6.0, 'Split': 0.0, 'Bind': 20.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Tejo,0.0,"{'Ascent': 0.0, 'Sunset': 0.0, 'Icebox': 0.0, 'Lotus': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Vyse,0.0,"{'Ascent': 0.0, 'Sunset': 0.0, 'Icebox': 0.0, 'Lotus': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Abyss': 0.0, 'Breeze': 0.0}"
Waylay,0.0,"{'Ascent': 0.0, 'Sunset': 0.0, 'Icebox': 0.0, 'Lotus': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Abyss': 0.0, 'Breeze': 0.0}"
