match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
314340,ZETA DIVISION vs DRX,Champions Tour 2024: Pacific Stage 2,2024-06-15 04:00:00,Bo3,ZETA DIVISION vs DRX,1 - 2,3,Patch 8.10,DRX ban Bind; ZETA ban Split; DRX pick Icebox; ZETA pick Sunset; DRX ban Ascent; ZETA ban Lotus; Breeze remains
314341,Team Secret vs BLEED,Champions Tour 2024: Pacific Stage 2,2024-06-15 06:40:00,Bo3,Team Secret vs BLEED,2 - 1,3,Patch 8.10,BLD ban Icebox; TS ban Bind; BLD pick Ascent; TS pick Sunset; BLD ban Breeze; TS ban Lotus; Split remains
314342,T1 vs Gen.G,Champions Tour 2024: Pacific Stage 2,2024-06-16 04:00:00,Bo3,T1 vs Gen.G,1 - 2,3,Patch 8.10,T1 ban Breeze; GEN ban Icebox; T1 pick Split; GEN pick Lotus; T1 ban Bind; GEN ban Ascent; Sunset remains
314343,Paper Rex vs TALON,Champions Tour 2024: Pacific Stage 2,2024-06-16 07:30:00,Bo3,Paper Rex vs TALON,2 - 0,2,Patch 8.10,TLN ban Split; PRX ban Breeze; TLN pick Icebox; PRX pick Sunset; TLN ban Lotus; PRX ban Ascent; Bind remains
314344,Rex Regum Qeon vs DetonatioN FocusMe,Champions Tour 2024: Pacific Stage 2,2024-06-17 04:00:00,Bo3,Rex Regum Qeon vs DetonatioN FocusMe,2 - 0,2,Patch 8.10,RRQ ban Bind; DFM ban Breeze; RRQ pick Icebox; DFM pick Ascent; RRQ ban Sunset; DFM ban Split; Lotus remains
314345,Team Secret vs Global Esports,Champions Tour 2024: Pacific Stage 2,2024-06-17 06:35:00,Bo3,Team Secret vs Global Esports,2 - 0,2,Patch 8.10,TS ban Bind; GE ban Breeze; TS pick Sunset; GE pick Ascent; TS ban Lotus; GE ban Split; Icebox remains
314346,TALON vs Rex Regum Qeon,Champions Tour 2024: Pacific Stage 2,2024-06-22 04:00:00,Bo3,TALON vs Rex Regum Qeon,2 - 1,3,Patch 8.11,TLN ban Split; RRQ ban Bind; TLN pick Lotus; RRQ pick Ascent; TLN ban Sunset; RRQ ban Haven; Icebox remains
314347,Paper Rex vs DRX,Champions Tour 2024: Pacific Stage 2,2024-06-22 07:50:00,Bo3,Paper Rex vs DRX,2 - 1,3,Patch 8.11,PRX ban Ascent; DRX ban Sunset; PRX pick Split; DRX pick Haven; PRX ban Bind; DRX ban Lotus; Icebox remains
314348,Global Esports vs BLEED,Champions Tour 2024: Pacific Stage 2,2024-06-23 04:00:00,Bo3,Global Esports vs BLEED,2 - 0,2,Patch 8.11,GE ban Split; BLD ban Icebox; GE pick Lotus; BLD pick Sunset; GE ban Bind; BLD ban Ascent; Haven remains
314349,DetonatioN FocusMe vs ZETA DIVISION,Champions Tour 2024: Pacific Stage 2,2024-06-23 06:05:00,Bo3,DetonatioN FocusMe vs ZETA DIVISION,2 - 1,3,Patch 8.11,DFM ban Bind; ZETA ban Split; DFM pick Haven; ZETA pick Sunset; DFM ban Lotus; ZETA ban Icebox; Ascent remains
