map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Icebox,ZETA,0,3 (0),2 (0),3 (0),5 (0),314340
Icebox,DRX,2,2 (2),0 (0),1 (1),10 (10),314340
Sunset,ZETA,2,2 (2),3 (1),6 (3),13 (7),314340
Sunset,DRX,0,4 (0),1 (1),2 (0),17 (10),314340
All Maps,ZETA,1,3 (1),2 (2),6 (1),6 (0),314340
All Maps,DRX,1,3 (1),0 (0),1 (1),13 (11),314340
Ascent,TS,1,3 (1),0 (0),7 (2),13 (7),314341
Ascent,BLD,1,3 (1),1 (0),5 (2),14 (10),314341
Sunset,TS,1,3 (1),2 (1),3 (3),13 (8),314341
Sunset,BLD,1,3 (1),1 (1),6 (4),11 (2),314341
All Maps,TS,2,2 (2),0 (0),5 (2),14 (9),314341
All Maps,BLD,0,5 (0),1 (1),4 (3),11 (4),314341
Split,T1,1,3 (1),0 (0),5 (3),20 (9),314342
Split,GEN,1,3 (1),1 (0),9 (3),15 (11),314342
Lotus,T1,2,2 (2),1 (1),5 (3),10 (7),314342
Lotus,GEN,0,4 (0),1 (0),9 (4),4 (1),314342
All Maps,T1,0,4 (0),0 (0),3 (1),15 (8),314342
All Maps,GEN,2,2 (2),1 (1),8 (6),11 (4),314342
Icebox,PRX,2,2 (2),0 (0),3 (2),12 (9),314343
Icebox,TLN,0,3 (0),2 (0),3 (1),9 (3),314343
Sunset,PRX,1,3 (2),1 (0),2 (2),14 (9),314343
Sunset,TLN,1,4 (1),1 (0),3 (1),12 (5),314343
All Maps,PRX,3,5 (4),1 (0),5 (4),26 (18),314343
All Maps,TLN,1,7 (1),3 (0),6 (2),21 (8),314343
Icebox,RRQ,1,3 (1),0 (0),10 (6),15 (8),314344
Icebox,DFM,1,4 (1),1 (0),9 (5),14 (7),314344
Ascent,RRQ,0,4 (0),0 (0),4 (3),14 (10),314344
Ascent,DFM,2,2 (2),2 (1),8 (4),10 (2),314344
All Maps,RRQ,1,7 (1),0 (0),14 (9),29 (18),314344
All Maps,DFM,3,6 (3),3 (1),17 (9),24 (9),314344
Sunset,TS,1,3 (1),0 (0),6 (2),12 (10),314345
Sunset,GE,1,3 (1),1 (0),7 (1),10 (6),314345
Ascent,TS,2,2 (2),1 (0),7 (4),13 (7),314345
Ascent,GE,0,4 (1),2 (0),1 (1),16 (8),314345
All Maps,TS,3,5 (3),1 (0),13 (6),25 (17),314345
All Maps,GE,1,7 (2),3 (0),8 (2),26 (14),314345
Lotus,TLN,1,4 (1),1 (0),2 (1),21 (13),314346
Lotus,RRQ,1,3 (2),0 (0),4 (3),21 (8),314346
Ascent,TLN,1,3 (1),2 (1),6 (2),12 (6),314346
Ascent,RRQ,1,3 (1),0 (0),4 (4),16 (8),314346
All Maps,TLN,1,4 (1),1 (0),2 (2),16 (10),314346
All Maps,RRQ,1,3 (1),1 (0),11 (4),8 (5),314346
Split,PRX,2,2 (2),0 (0),5 (4),10 (7),314347
Split,DRX,0,4 (0),0 (0),5 (2),8 (2),314347
Haven,PRX,0,4 (0),3 (2),4 (0),10 (6),314347
Haven,DRX,2,2 (2),1 (0),6 (4),12 (7),314347
All Maps,PRX,2,3 (2),0 (0),6 (4),9 (7),314347
All Maps,DRX,0,3 (0),3 (1),3 (1),9 (3),314347
Lotus,GE,1,3 (1),0 (0),5 (5),11 (7),314348
Lotus,BLD,1,4 (1),2 (0),4 (1),9 (4),314348
Sunset,GE,1,3 (1),0 (0),8 (6),8 (6),314348
Sunset,BLD,1,3 (1),1 (0),6 (3),9 (2),314348
All Maps,GE,2,6 (2),0 (0),13 (11),19 (13),314348
All Maps,BLD,2,7 (2),3 (0),10 (4),18 (6),314348
Haven,DFM,2,2 (2),1 (0),7 (3),10 (2),314349
Haven,ZETA,0,4 (0),0 (0),0 (0),16 (13),314349
Sunset,DFM,2,2 (2),1 (0),7 (5),12 (6),314349
Sunset,ZETA,0,4 (0),2 (0),2 (2),14 (7),314349
All Maps,DFM,0,4 (0),2 (1),1 (1),16 (11),314349
All Maps,ZETA,2,2 (2),1 (1),9 (3),11 (4),314349
Split,DRX,2,2 (2),4 (1),6 (4),14 (5),314350
Split,RRQ,0,4 (1),0 (0),2 (2),20 (11),314350
Sunset,DRX,1,3 (1),3 (1),5 (2),15 (8),314350
Sunset,RRQ,1,3 (1),0 (0),12 (7),11 (6),314350
All Maps,DRX,3,5 (3),7 (2),11 (6),29 (13),314350
All Maps,RRQ,1,7 (2),0 (0),14 (9),31 (17),314350
Haven,TS,2,3 (3),3 (1),7 (2),10 (4),314351
Haven,T1,0,4 (1),0 (0),6 (2),13 (10),314351
Split,TS,2,2 (2),0 (0),7 (4),10 (7),314351
Split,T1,0,4 (0),1 (0),3 (1),11 (5),314351
lotus,TS,1,4 (1),0 (0),4 (2),18 (11),314351
lotus,T1,1,3 (2),2 (0),5 (3),16 (7),314351
All Maps,TS,5,9 (6),3 (1),18 (8),38 (22),314351
All Maps,T1,1,11 (3),3 (0),14 (6),40 (22),314351
Lotus,TLN,1,4 (1),0 (0),1 (0),15 (12),314352
Lotus,DFM,1,3 (2),3 (0),4 (1),10 (4),314352
Sunset,TLN,2,2 (2),1 (0),12 (7),8 (4),314352
Sunset,DFM,0,4 (0),2 (1),1 (1),16 (8),314352
All Maps,TLN,3,6 (3),1 (0),13 (7),23 (16),314352
All Maps,DFM,1,7 (2),5 (1),5 (2),26 (12),314352
