player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
Karon,Karon,GEN,34974,"['Omen', 'Viper', 'Brimstone']",3,480,1.21,207.5,1.24,79%,134.0,0.78,0.43,0.09,0.05,36%,15%,10/65,28,372,299,204,44,24
Sayaplayer,Sayaplayer,T1,4545,"['Chamber', 'Sage', 'Jett', 'Gekko']",4,268,1.18,227.2,1.37,75%,145.5,0.85,0.12,0.18,0.11,27%,11%,4/36,24,228,167,32,48,29
d4v41,d4v41,PRX,9803,"['Killjoy', 'Sage', 'Viper', 'Fade', 'Sova', 'Kayo', 'Skye']",7,436,1.18,212.6,1.22,78%,141.4,0.75,0.36,0.08,0.06,27%,18%,9/50,25,326,267,157,37,28
invy,invy,TS,8504,"['Kayo', 'Breach', 'Viper', 'Sova']",4,290,1.15,200.9,1.1,75%,133.1,0.71,0.5,0.07,0.06,27%,11%,4/37,24,207,189,145,21,17
f0rsakeN,f0rsakeN,PRX,9801,"['Kayo', 'Breach', 'Skye', 'Yoru', 'Cypher', 'Fade', 'Harbor', 'Neon']",8,436,1.15,228.3,1.18,78%,147.0,0.8,0.47,0.1,0.09,29%,7%,2/30,22,349,296,203,42,39
primmie,primmie,TLN,25255,"['Clove', 'Jett', 'Iso', 'Cypher']",4,118,1.12,254.5,1.06,69%,174.1,0.91,0.2,0.16,0.13,45%,27%,4/15,28,107,101,24,19,15
Meiy,Meiy,DFM,6672,"['Jett', 'Raze', 'Neon']",3,250,1.12,252.9,1.12,72%,165.3,0.91,0.14,0.22,0.18,25%,10%,2/21,32,227,203,34,56,45
Jemkin,Jemkin,RRQ,24895,"['Gekko', 'Jett', 'Raze', 'Chamber', 'Yoru']",5,328,1.11,218.3,1.22,78%,144.0,0.8,0.18,0.13,0.13,30%,27%,7/26,27,261,214,60,41,41
BuZz,BuZz,DRX,804,"['Jett', 'Raze', 'Neon']",3,590,1.1,241.5,1.15,69%,153.2,0.84,0.15,0.17,0.16,21%,29%,14/49,33,498,434,87,98,95
sScary,sScary,BLD,4382,"['Omen', 'Viper', 'Brimstone']",3,236,1.1,206.4,1.08,78%,132.8,0.72,0.44,0.06,0.04,27%,8%,3/36,21,170,158,104,15,9
Rossy,Rossy,T1,1129,"['Viper', 'Gekko', 'Sova']",3,136,1.09,205.7,1.15,73%,138.7,0.72,0.25,0.07,0.07,33%,13%,2/15,29,98,85,34,10,10
Munchkin,Munchkin,GEN,2489,"['Viper', 'Kayo']",2,480,1.09,193.0,1.01,78%,126.5,0.63,0.55,0.09,0.09,20%,10%,5/49,34,302,298,264,42,41
xffero,xffero,RRQ,4871,"['Killjoy', 'Omen', 'Viper', 'Cypher']",4,328,1.09,220.1,1.13,74%,145.8,0.77,0.26,0.08,0.09,31%,20%,10/49,30,253,224,86,27,29
t3xture,t3xture,GEN,9196,"['Raze', 'Jett']",2,480,1.09,229.6,1.2,70%,148.3,0.82,0.16,0.21,0.14,27%,14%,3/22,27,394,329,79,99,69
2GE,2GE,TS,9735,"['Omen', 'Viper']",2,290,1.08,196.2,1.08,73%,126.0,0.7,0.34,0.08,0.08,30%,25%,9/36,20,202,187,100,24,22
