map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Split,EG,0,4 (0),1 (1),1 (0),20 (11),427991
Split,LOUD,2,2 (2),1 (0),10 (3),13 (9),427991
Pearl,EG,2,2 (2),3 (0),5 (2),13 (6),427991
Pearl,LOUD,0,4 (0),0 (0),4 (3),15 (10),427991
All Maps,EG,2,6 (2),4 (1),6 (2),33 (17),427991
All Maps,LOUD,2,6 (2),1 (0),14 (6),28 (19),427991
Lotus,MIBR,1,3 (1),1 (0),9 (3),4 (0),427992
Lotus,100T,1,3 (1),0 (0),2 (2),12 (10),427992
Bind,MIBR,0,4 (0),2 (0),3 (0),13 (9),427992
Bind,100T,2,2 (2),0 (0),7 (2),13 (9),427992
All Maps,MIBR,1,7 (1),3 (0),12 (3),17 (9),427992
All Maps,100T,3,5 (3),0 (0),9 (4),25 (19),427992
Haven,2G,2,3 (2),1 (0),6 (2),10 (3),427994
Haven,FUR,0,4 (1),1 (0),2 (2),13 (10),427994
Lotus,2G,0,4 (0),3 (0),2 (1),9 (4),427994
Lotus,FUR,2,2 (2),0 (0),6 (4),10 (7),427994
All Maps,2G,2,7 (2),4 (0),8 (3),19 (7),427994
All Maps,FUR,2,6 (3),1 (0),8 (6),23 (17),427994
Fracture,NRG,1,3 (1),2 (0),6 (3),15 (8),427993
Fracture,C9,1,3 (1),1 (0),6 (3),16 (10),427993
Lotus,NRG,1,3 (1),2 (0),4 (2),14 (7),427993
Lotus,C9,1,3 (1),0 (0),6 (2),14 (10),427993
All Maps,NRG,2,6 (2),4 (0),10 (5),29 (15),427993
All Maps,C9,2,6 (2),1 (0),12 (5),30 (20),427993
Haven,KRÜ,1,3 (1),2 (0),6 (3),9 (3),427995
Haven,LOUD,1,3 (1),1 (1),2 (1),14 (10),427995
Split,KRÜ,0,4 (0),0 (0),1 (0),18 (10),427995
Split,LOUD,2,2 (2),3 (1),9 (5),9 (5),427995
All Maps,KRÜ,1,7 (1),2 (0),7 (3),27 (13),427995
All Maps,LOUD,3,5 (3),4 (2),11 (6),23 (15),427995
Split,SEN,1,3 (1),0 (0),7 (1),7 (2),427996
Split,100T,1,3 (1),1 (0),4 (4),9 (8),427996
Bind,SEN,1,3 (1),1 (1),5 (1),13 (10),427996
Bind,100T,1,3 (1),1 (0),5 (2),13 (6),427996
All Maps,SEN,1,2 (1),2 (1),7 (5),11 (6),427996
All Maps,100T,1,3 (1),2 (0),3 (1),14 (7),427996
Haven,LEV,1,3 (1),1 (0),3 (2),14 (10),427998
Haven,FUR,1,3 (1),2 (0),5 (3),11 (4),427998
Split,LEV,2,2 (2),0 (0),5 (4),12 (7),427998
Split,FUR,0,3 (0),2 (1),4 (1),10 (4),427998
All Maps,LEV,3,5 (3),1 (0),8 (6),26 (17),427998
All Maps,FUR,1,6 (1),4 (1),9 (4),21 (8),427998
Lotus,G2,2,2 (2),0 (0),5 (4),12 (7),427997
Lotus,C9,0,4 (0),2 (0),3 (1),10 (5),427997
Abyss,G2,1,3 (1),0 (0),6 (3),12 (9),427997
Abyss,C9,1,3 (1),0 (0),7 (1),11 (6),427997
All Maps,G2,3,5 (3),0 (0),11 (7),24 (16),427997
All Maps,C9,1,7 (1),2 (0),10 (2),21 (11),427997
Abyss,FUR,0,4 (1),0 (0),5 (3),11 (3),428003
Abyss,EG,2,2 (2),2 (0),4 (2),12 (9),428003
Fracture,FUR,1,3 (1),1 (0),7 (2),9 (4),428003
Fracture,EG,1,3 (1),1 (1),3 (2),13 (9),428003
All Maps,FUR,1,7 (2),1 (0),12 (5),20 (7),428003
All Maps,EG,3,5 (3),3 (1),7 (4),25 (18),428003
Lotus,C9,2,2 (2),0 (0),6 (4),12 (7),428004
Lotus,MIBR,0,4 (0),1 (0),4 (1),11 (6),428004
