match_id,map_name,map_order,score,winner,duration,picked_by
459517,Lotus,1,6 - 13,NRG,54:13,NRG
459517,Fracture,2,13 - 5,Cloud9,38:15,Cloud9
459517,Pearl,3,13 - 9,Cloud9,48:35,Decider
459518,Fracture,1,3 - 13,LOUD,46:33,VISA KRÜ(KRÜ Esports)
459518,Haven,2,13 - 2,VISA KRÜ(KRÜ Esports),34:40,LOUD
459518,Split,3,13 - 10,VISA KRÜ(KRÜ Esports),59:53,Decider
459519,Lotus,1,13 - 10,G2 Esports,1:06:57,G2 Esports
459519,Ascent,2,13 - 7,G2 Esports,46:33,FURIA
459520,Split,1,13 - 7,MIBR,50:40,LEVIATÁN
459520,Icebox,2,13 - 8,MIBR,52:57,MIBR
459521,Haven,1,11 - 13,Evil Geniuses,58:34,2Game Esports
459521,Lotus,2,8 - 13,Evil Geniuses,46:25,Evil Geniuses
459522,Pearl,1,13 - 5,Sentinels,47:37,Sentinels
459522,Haven,2,9 - 13,100 Thieves,42:21,100 Thieves
459522,Split,3,13 - 1,Sentinels,32:58,Decider
459523,Lotus,1,10 - 13,FURIA,1:03:20,NRG
459523,Pearl,2,13 - 2,NRG,38:07,FURIA
459523,Fracture,3,13 - 4,NRG,37:29,Decider
459524,Lotus,1,7 - 13,VISA KRÜ(KRÜ Esports),52:17,Sentinels
459524,Icebox,2,8 - 13,VISA KRÜ(KRÜ Esports),48:28,VISA KRÜ(KRÜ Esports)
459525,Fracture,1,13 - 10,100 Thieves,54:51,Evil Geniuses
459525,Haven,2,13 - 7,100 Thieves,44:46,100 Thieves
459526,Pearl,1,12 - 14,MIBR,1:10:31,MIBR
459526,Haven,2,13 - 11,G2 Esports,1:03:03,G2 Esports
459526,Ascent,3,13 - 8,G2 Esports,48:09,Decider
459527,Lotus,1,12 - 14,2Game Esports,1:14:14,LOUD
459527,Pearl,2,11 - 13,2Game Esports,58:40,2Game Esports
459528,Split,1,8 - 13,Cloud9,1:03:43,Cloud9
459528,Ascent,2,3 - 13,Cloud9,33:55,LEVIATÁN
459529,Haven,1,4 - 13,Sentinels,48:27,Evil Geniuses
459529,Pearl,2,6 - 13,Sentinels,48:01,Sentinels
459530,Haven,1,6 - 13,LOUD,51:00,Decider
