match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
459517,Cloud9 vs NRG,VCT 2025: Americas Stage 1,2025-03-21 17:00:00,Bo3,Cloud9 vs NRG,2 - 1,3,Patch 10.05,NRG ban Split; C9 ban Haven; NRG pick Lotus; C9 pick Fracture; NRG ban Icebox; C9 ban Ascent; Pearl remains
459518,VISA KRÜ(KRÜ Esports) vs LOUD,VCT 2025: Americas Stage 1,2025-03-21 20:25:00,Bo3,VISA KRÜ(KRÜ Esports) vs LOUD,2 - 1,3,Patch 10.05,KRÜ ban Ascent; LOUD ban Icebox; KRÜ pick Fracture; LOUD pick Haven; KRÜ ban Pearl; LOUD ban Lotus; Split remains
459519,G2 Esports vs FURIA,VCT 2025: Americas Stage 1,2025-03-22 17:00:00,Bo3,G2 Esports vs FURIA,2 - 0,2,Patch 10.05,G2 ban Fracture; FUR ban Icebox; G2 pick Lotus; FUR pick Ascent; G2 ban Haven; FUR ban Pearl; Split remains
459520,MIBR vs LEVIATÁN,VCT 2025: Americas Stage 1,2025-03-22 19:25:00,Bo3,MIBR vs LEVIATÁN,2 - 0,2,Patch 10.05,LEV ban Pearl; MIBR ban Fracture; LEV pick Split; MIBR pick Icebox; LEV ban Lotus; MIBR ban Haven; Ascent remains
459521,2Game Esports vs Evil Geniuses,VCT 2025: Americas Stage 1,2025-03-23 17:00:00,Bo3,2Game Esports vs Evil Geniuses,0 - 2,2,Patch 10.05,2G ban Fracture; EG ban Ascent; 2G pick Haven; EG pick Lotus; 2G ban Pearl; EG ban Icebox; Split remains
459522,Sentinels vs 100 Thieves,VCT 2025: Americas Stage 1,2025-03-23 19:30:00,Bo3,Sentinels vs 100 Thieves,2 - 1,3,Patch 10.05,SEN ban Fracture; 100T ban Lotus; SEN pick Pearl; 100T pick Haven; SEN ban Ascent; 100T ban Icebox; Split remains
459523,NRG vs FURIA,VCT 2025: Americas Stage 1,2025-03-28 17:00:00,Bo3,NRG vs FURIA,2 - 1,3,Patch 10.05,NRG ban Split; FUR ban Icebox; NRG pick Lotus; FUR pick Pearl; NRG ban Haven; FUR ban Ascent; Fracture remains
459524,Sentinels vs VISA KRÜ(KRÜ Esports),VCT 2025: Americas Stage 1,2025-03-28 20:00:00,Bo3,Sentinels vs VISA KRÜ(KRÜ Esports),0 - 2,2,Patch 10.05,SEN ban Fracture; KRÜ ban Pearl; SEN pick Lotus; KRÜ pick Icebox; SEN ban Ascent; KRÜ ban Haven; Split remains
459525,100 Thieves vs Evil Geniuses,VCT 2025: Americas Stage 1,2025-03-29 17:00:00,Bo3,100 Thieves vs Evil Geniuses,2 - 0,2,Patch 10.05,EG ban Ascent; 100T ban Lotus; EG pick Fracture; 100T pick Haven; EG ban Icebox; 100T ban Pearl; Split remains
459526,G2 Esports vs MIBR,VCT 2025: Americas Stage 1,2025-03-29 19:15:00,Bo3,G2 Esports vs MIBR,2 - 1,3,Patch 10.05,MIBR ban Lotus; G2 ban Icebox; MIBR pick Pearl; G2 pick Haven; MIBR ban Fracture; G2 ban Split; Ascent remains
459527,LOUD vs 2Game Esports,VCT 2025: Americas Stage 1,2025-03-30 17:00:00,Bo3,LOUD vs 2Game Esports,0 - 2,2,Patch 10.05,LOUD ban Ascent; 2G ban Fracture; LOUD pick Lotus; 2G pick Pearl; LOUD ban Haven; 2G ban Icebox; Split remains
