player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
trent,trent,G2,15500,['Tejo'],1,663,1.24,212.6,1.29,79%,145.8,0.76,0.33,0.07,0.06,26%,27%,28/102,28,505,391,222,49,38
lukxo,lukxo,LOUD,28716,"['Cypher', 'Killjoy', 'Viper', 'Vyse']",4,203,1.23,270.4,1.34,67%,172.8,0.96,0.23,0.17,0.09,31%,31%,5/16,27,195,145,46,35,18
Cryocells,Cryocells,100T,4147,"['Yoru', 'Iso', 'Sage', 'Chamber', 'Jett']",5,408,1.23,235.4,1.31,74%,157.9,0.89,0.23,0.11,0.1,27%,15%,7/47,30,363,277,94,45,42
aspas,aspas,MIBR,8480,"['Jett', 'Waylay', 'Neon']",3,500,1.19,241.4,1.35,74%,152.3,0.87,0.14,0.19,0.15,27%,29%,12/41,30,436,323,69,97,74
Verno,Verno,MIBR,21668,"['Tejo', 'Sova']",2,500,1.18,201.0,1.26,77%,136.7,0.71,0.29,0.05,0.05,25%,22%,16/73,22,355,281,146,26,24
johnqt,johnqt,SEN,1265,"['Tejo', 'Sova', 'Viper', 'Kayo', 'Breach']",5,475,1.15,191.0,1.19,78%,128.1,0.69,0.42,0.04,0.05,25%,8%,6/76,22,327,275,199,21,22
zekken,zekken,SEN,4004,"['Yoru', 'Raze', 'Jett', 'Neon', 'Omen']",5,475,1.15,243.1,1.23,73%,150.9,0.86,0.24,0.2,0.17,28%,24%,8/34,26,409,332,113,97,81
v1c,v1c,C9,17433,"['Omen', 'Brimstone', 'Astra', 'Viper']",4,367,1.15,203.4,1.14,77%,129.9,0.73,0.43,0.08,0.08,34%,16%,10/64,27,267,234,158,28,30
pANcada,pANcada,LOUD,683,"['Brimstone', 'Omen', 'Astra', 'Viper']",4,307,1.15,214.9,1.14,75%,147.9,0.77,0.35,0.09,0.07,32%,8%,4/53,34,235,207,107,28,20
leaf,leaf,G2,7873,"['Viper', 'Vyse', 'Cypher', 'Killjoy']",4,663,1.14,236.0,1.19,74%,153.6,0.83,0.29,0.13,0.1,23%,11%,7/66,29,547,460,195,88,65
bang,bang,SEN,3880,"['Astra', 'Omen', 'Viper']",3,475,1.13,212.7,1.18,76%,131.9,0.76,0.4,0.11,0.08,35%,29%,10/34,22,359,305,189,50,39
mada,mada,NRG,5132,"['Neon', 'Raze', 'Jett', 'Reyna']",4,275,1.11,239.6,1.11,69%,159.6,0.82,0.22,0.23,0.2,25%,5%,1/20,26,225,202,61,64,54
keznit,keznit,KRÜ,2462,"['Raze', 'Yoru', 'Jett', 'Neon']",4,323,1.11,238.9,1.12,71%,153.4,0.84,0.25,0.24,0.15,23%,19%,5/27,25,271,242,80,76,50
Shyy,Shyy,KRÜ,24007,"['Vyse', 'Cypher', 'Viper', 'Killjoy', 'Chamber']",5,323,1.1,190.3,1.2,72%,130.2,0.73,0.19,0.07,0.06,25%,15%,7/48,26,236,197,62,23,19
s0m,s0m,NRG,4164,"['Omen', 'Brimstone', 'Astra', 'Viper']",4,275,1.09,202.8,1.08,80%,136.3,0.72,0.45,0.08,0.09,30%,11%,4/35,25,199,184,125,21,24
eeiu,eeiu,100T,796,"['Fade', 'Sova', 'Tejo']",3,408,1.08,189.8,1.03,76%,128.0,0.67,0.27,0.03,0.05,30%,15%,12/82,23,273,264,110,14,19
Zap,Zap,2G,3169,['Sova'],1,45,1.07,205.0,1.1,71%,135.3,0.76,0.2,0.04,0.02,22%,22%,2/9,17,34,31,9,2,1
Ethan,Ethan,NRG,11225,"['Breach', 'Yoru', 'Kayo', 'Harbor']",4,275,1.07,200.4,1.01,77%,128.3,0.69,0.37,0.08,0.07,22%,17%,3/18,24,191,189,103,23,18
