match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
509801,Cloud9 vs FURIA,VCT 2025: Americas Stage 2,2025-07-18 17:00:00,Bo3,Cloud9 vs FURIA,2 - 0,2,Patch 11.0,FUR ban Lotus; C9 ban Icebox; FUR pick Haven; C9 pick Bind; FUR ban Sunset; C9 ban Ascent; Corrode remains
509802,LEVIATÁN vs LOUD,VCT 2025: Americas Stage 2,2025-07-18 19:10:00,Bo3,LEVIATÁN vs LOUD,1 - 2,3,Patch 11.0,LEV ban Corrode; LOUD ban Lotus; LEV pick Bind; LOUD pick Ascent; LEV ban Sunset; LOUD ban Haven; Icebox remains
509803,Evil Geniuses vs 2Game Esports,VCT 2025: Americas Stage 2,2025-07-19 17:00:00,Bo3,Evil Geniuses vs 2Game Esports,2 - 1,3,Patch 11.0,2G ban Icebox; EG ban Corrode; 2G pick Sunset; EG pick Lotus; 2G ban Bind; EG ban Haven; Ascent remains
509804,MIBR vs VISA KRÜ(KRÜ Esports),VCT 2025: Americas Stage 2,2025-07-19 20:25:00,Bo3,MIBR vs VISA KRÜ(KRÜ Esports),1 - 2,3,Patch 11.0,KRÜ ban Icebox; MIBR ban Bind; KRÜ pick Corrode; MIBR pick Ascent; KRÜ ban Lotus; MIBR ban Sunset; Haven remains
509805,100 Thieves vs NRG,VCT 2025: Americas Stage 2,2025-07-20 17:00:00,Bo3,100 Thieves vs NRG,2 - 0,2,Patch 11.0,100T ban Lotus; NRG ban Haven; 100T pick Bind; NRG pick Sunset; 100T ban Icebox; NRG ban Ascent; Corrode remains
509806,Sentinels vs G2 Esports,VCT 2025: Americas Stage 2,2025-07-20 19:00:00,Bo3,Sentinels vs G2 Esports,2 - 1,3,Patch 11.0,SEN ban Bind; G2 ban Sunset; SEN pick Corrode; G2 pick Ascent; SEN ban Icebox; G2 ban Haven; Lotus remains
509807,2Game Esports vs G2 Esports,VCT 2025: Americas Stage 2,2025-07-25 17:00:00,Bo3,2Game Esports vs G2 Esports,0 - 2,2,Patch 11.0,2G ban Icebox; G2 ban Sunset; 2G pick Ascent; G2 pick Haven; 2G ban Corrode; G2 ban Bind; Lotus remains
509808,FURIA vs Sentinels,VCT 2025: Americas Stage 2,2025-07-25 19:10:00,Bo3,FURIA vs Sentinels,0 - 2,2,Patch 11.0,SEN ban Ascent; FUR ban Lotus; SEN pick Sunset; FUR pick Icebox; SEN ban Bind; FUR ban Haven; Corrode remains
509809,100 Thieves vs VISA KRÜ(KRÜ Esports),VCT 2025: Americas Stage 2,2025-07-26 17:00:00,Bo3,100 Thieves vs VISA KRÜ(KRÜ Esports),2 - 0,2,Patch 11.0,KRÜ ban Haven; 100T ban Lotus; KRÜ pick Corrode; 100T pick Bind; KRÜ ban Icebox; 100T ban Ascent; Sunset remains
509810,NRG vs LOUD,VCT 2025: Americas Stage 2,2025-07-26 19:00:00,Bo3,NRG vs LOUD,2 - 0,2,Patch 11.0,LOUD ban Lotus; NRG ban Sunset; LOUD pick Haven; NRG pick Corrode; LOUD ban Icebox; NRG ban Ascent; Bind remains
