map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Haven,C9,1,2 (1),0 (0),4 (4),12 (8),509801
Haven,FUR,1,4 (1),1 (0),6 (3),7 (1),509801
Bind,C9,2,2 (2),0 (0),3 (2),12 (9),509801
Bind,FUR,0,3 (0),2 (0),6 (3),6 (1),509801
Sunset,C9,3,4 (3),0 (0),7 (6),24 (17),509801
Sunset,FUR,1,7 (1),3 (0),12 (6),13 (2),509801
Bind,LEV,2,2 (2),2 (1),5 (3),14 (7),509802
Bind,LOUD,0,4 (1),0 (0),3 (1),16 (8),509802
Ascent,LEV,0,4 (0),1 (0),3 (2),15 (8),509802
Ascent,LOUD,2,2 (2),2 (1),5 (2),14 (8),509802
All Maps,LEV,2,2 (2),2 (0),7 (4),13 (5),509802
All Maps,LOUD,0,4 (1),1 (1),2 (0),17 (11),509802
Sunset,EG,1,4 (1),0 (0),8 (5),8 (1),509803
Sunset,2G,1,3 (1),1 (1),2 (2),14 (9),509803
Lotus,EG,2,2 (2),0 (0),7 (5),15 (6),509803
Lotus,2G,0,3 (0),2 (0),5 (3),14 (8),509803
All Maps,EG,0,4 (0),2 (2),1 (1),15 (10),509803
All Maps,2G,2,2 (2),0 (0),9 (4),11 (3),509803
Corrode,MIBR,2,2 (2),1 (0),7 (5),12 (6),509804
Corrode,KRÜ,0,4 (0),0 (0),3 (0),15 (9),509804
Ascent,MIBR,0,3 (0),1 (0),5 (0),5 (1),509804
Ascent,KRÜ,2,2 (2),0 (0),3 (3),9 (8),509804
All Maps,MIBR,0,4 (0),2 (1),5 (3),11 (5),509804
All Maps,KRÜ,2,2 (2),2 (2),5 (3),13 (6),509804
Bind,100T,1,3 (1),2 (0),4 (3),14 (9),509805
Bind,NRG,1,3 (1),1 (0),4 (2),15 (7),509805
Sunset,100T,1,3 (1),0 (0),3 (3),11 (9),509805
Sunset,NRG,1,3 (1),1 (0),10 (2),3 (1),509805
All Maps,100T,2,6 (2),2 (0),7 (6),25 (18),509805
