match_id,map_name,map_order,score,winner,duration,picked_by
430838,Fracture,1,11 - 13,Titan Esports Club,-,Titan Esports Club
430838,Abyss,2,10 - 13,Titan Esports Club,-,TYLOO
430837,Lotus,1,13 - 11,Xi Lai Gaming,-,Xi Lai Gaming
430837,Split,2,13 - 9,Xi Lai Gaming,-,Wolves Esports
430839,Abyss,1,5 - 13,Dragon Ranger Gaming,-,JD Mall JDG Esports(JDG Esports)
430839,Haven,2,15 - 13,JD Mall JDG Esports(JDG Esports),-,Dragon Ranger Gaming
430839,Bind,3,7 - 13,Dragon Ranger Gaming,-,Decider
430840,Abyss,1,8 - 13,Nova Esports,-,Nova Esports
430840,Bind,2,3 - 13,Nova Esports,-,All Gamers
430842,Abyss,1,11 - 13,Titan Esports Club,-,Titan Esports Club
430842,Fracture,2,13 - 7,FunPlus Phoenix,-,FunPlus Phoenix
430842,Pearl,3,13 - 6,FunPlus Phoenix,-,Decider
430841,Haven,1,11 - 13,Xi Lai Gaming,-,Xi Lai Gaming
430841,Lotus,2,13 - 11,Bilibili Gaming,-,Bilibili Gaming
430841,Abyss,3,13 - 11,Bilibili Gaming,-,Decider
430843,Pearl,1,13 - 8,Trace Esports,-,Trace Esports
430843,Abyss,2,13 - 7,Trace Esports,-,Dragon Ranger Gaming
430844,Split,1,13 - 8,EDward Gaming,-,Nova Esports
430844,Fracture,2,13 - 10,EDward Gaming,-,EDward Gaming
430851,Fracture,1,9 - 13,JD Mall JDG Esports(JDG Esports),-,JD Mall JDG Esports(JDG Esports)
430851,Abyss,2,3 - 13,JD Mall JDG Esports(JDG Esports),-,Titan Esports Club
430853,Abyss,1,8 - 13,All Gamers,-,All Gamers
430853,Bind,2,13 - 1,Xi Lai Gaming,-,Xi Lai Gaming
430853,Lotus,3,13 - 4,Xi Lai Gaming,-,Decider
430850,Pearl,1,13 - 6,Dragon Ranger Gaming,-,TYLOO
430850,Haven,2,13 - 10,Dragon Ranger Gaming,-,Dragon Ranger Gaming
430849,Fracture,1,13 - 11,Nova Esports,-,Wolves Esports
430849,Abyss,2,8 - 13,Wolves Esports,-,Nova Esports
430849,Split,3,13 - 6,Nova Esports,-,Decider
430845,Bind,1,13 - 11,Bilibili Gaming,-,Bilibili Gaming
430845,Lotus,2,13 - 9,Bilibili Gaming,-,FunPlus Phoenix
430846,Lotus,1,13 - 4,Trace Esports,-,Trace Esports
430846,Bind,2,13 - 4,Trace Esports,-,EDward Gaming
430854,Pearl,1,8 - 13,Dragon Ranger Gaming,-,Dragon Ranger Gaming
430854,Bind,2,7 - 13,Dragon Ranger Gaming,-,Nova Esports
430855,Pearl,1,13 - 9,JD Mall JDG Esports(JDG Esports),-,JD Mall JDG Esports(JDG Esports)
430855,Bind,2,4 - 13,Xi Lai Gaming,-,Xi Lai Gaming
430855,Haven,3,6 - 13,Xi Lai Gaming,-,Decider
430856,Abyss,1,11 - 13,Dragon Ranger Gaming,-,Dragon Ranger Gaming
430856,Pearl,2,13 - 1,FunPlus Phoenix,-,FunPlus Phoenix
430856,Haven,3,7 - 13,Dragon Ranger Gaming,-,Decider
430857,Lotus,1,12 - 14,Xi Lai Gaming,-,EDward Gaming
430857,Bind,2,13 - 10,EDward Gaming,-,Xi Lai Gaming
430857,Haven,3,13 - 0,EDward Gaming,-,Decider
430847,Bind,1,8 - 13,Trace Esports,-,Trace Esports
430847,Haven,2,13 - 10,Bilibili Gaming,-,Bilibili Gaming
430847,Lotus,3,6 - 13,Trace Esports,-,Decider
430858,Haven,1,0 - 13,EDward Gaming,-,Dragon Ranger Gaming
430858,Pearl,2,9 - 13,EDward Gaming,-,EDward Gaming
430860,Pearl,1,12 - 14,EDward Gaming,-,Bilibili Gaming
430860,Haven,2,6 - 13,EDward Gaming,-,EDward Gaming
430860,Lotus,3,5 - 13,EDward Gaming,-,Bilibili Gaming
430848,Lotus,1,14 - 12,Trace Esports,-,Trace Esports
430848,Bind,2,11 - 13,EDward Gaming,-,EDward Gaming
430848,Abyss,3,14 - 16,EDward Gaming,-,Trace Esports
430848,Fracture,4,2 - 13,EDward Gaming,-,EDward Gaming
