player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
Rarga,Rarga,XLG,22047,"['Neon', 'Raze', 'Jett']",3,290,,242.2,1.14,,,0.85,0.13,,,,0%,,27,247,216,37,0,0
Autumn,Autumn,FPX,872,"['Omen', 'Vyse', 'Cypher', 'Yoru']",4,167,,204.9,1.02,,,0.69,0.24,,,,0%,,20,116,114,40,0,0
K1ra,K1ra,AG,46748,"['Jett', 'Raze', 'Omen', 'Brimstone']",4,89,,181.8,0.77,,,0.63,0.25,,,,0%,,17,56,73,22,0,0
Lsn,Lsn,AG,50080,"['Astra', 'Kayo', 'Sova', 'Breach']",4,89,,164.8,0.81,,,0.63,0.36,,,,0%,,20,56,69,32,0,0
SWERL,SWERL,NOVA,1209,"['Jett', 'Raze']",2,186,,219.8,1.08,,,0.76,0.18,,,,0%,,28,142,132,33,0,0
o0o0o,o0o0o,NOVA,4402,"['Kayo', 'Skye', 'Breach']",3,186,,143.9,0.69,,,0.49,0.44,,,,0%,,15,92,134,81,0,0
CB,CB,NOVA,39697,"['Sova', 'Deadlock', 'Neon', 'Killjoy']",4,186,,214.9,1.05,,,0.75,0.32,,,,0%,,24,139,133,59,0,0
GuanG,GuanG,NOVA,41054,"['Cypher', 'Vyse']",2,186,,225.3,1.3,,,0.84,0.15,,,,0%,,25,156,120,28,0,0
Ezeir,Ezeir,NOVA,46460,"['Astra', 'Brimstone']",2,186,,223.4,1.07,,,0.74,0.49,,,,0%,,21,137,128,91,0,0
Knight,Knight,BLG,4774,"['Sova', 'Fade', 'Cypher']",3,244,,192.2,1.0,,,0.67,0.3,,,,0%,,20,164,164,74,0,0
whzy,whzy,BLG,4885,"['Neon', 'Raze', 'Yoru']",3,244,,206.7,0.98,,,0.73,0.19,,,,0%,,30,179,183,46,0,0
nephh,nephh,BLG,10698,"['Viper', 'Omen', 'Skye', 'Kayo']",4,244,,228.5,1.06,,,0.77,0.4,,,,0%,,24,187,176,98,0,0
Levius,Levius,BLG,40845,"['Killjoy', 'Vyse', 'Viper']",3,244,,167.2,0.85,,,0.61,0.14,,,,0%,,19,150,177,33,0,0
rushia,rushia,BLG,48878,"['Omen', 'Harbor', 'Brimstone', 'Astra']",4,244,,163.2,0.86,,,0.59,0.35,,,,0%,,21,145,169,85,0,0
Life,Life,FPX,3028,"['Yoru', 'Phoenix', 'Raze', 'Jett']",4,167,,242.9,1.11,,,0.81,0.22,,,,0%,,23,136,122,36,0,0
deLb,deLb,AG,10821,"['Yoru', 'Vyse', 'Cypher']",3,89,,210.4,1.01,,,0.79,0.1,,,,0%,,23,70,69,9,0,0
yosemite,yosemite,FPX,6022,"['Viper', 'Clove']",2,167,,216.4,1.13,,,0.77,0.24,,,,0%,,24,129,114,40,0,0
BerLIN,BerLIN,FPX,7857,"['Astra', 'Kayo']",2,167,,155.1,0.75,,,0.51,0.41,,,,0%,,17,85,113,69,0,0
AAAAY,AAAAY,FPX,19530,"['Gekko', 'Fade', 'Sova', 'Tejo']",4,167,,192.3,1.04,,,0.7,0.17,,,,0%,,20,117,112,29,0,0
Biank,Biank,TE,3021,"['Sova', 'Fade']",2,233,,211.1,0.97,,,0.72,0.38,,,,0%,,28,167,173,89,0,0
LuoK1ng,LuoK1ng,TE,3045,"['Astra', 'Omen', 'Brimstone']",3,233,,201.4,1.13,,,0.73,0.53,,,,0%,,31,171,151,123,0,0
heybay,heybay,TE,4712,"['Killjoy', 'Kayo', 'Viper', 'Deadlock', 'Breach']",5,233,,197.4,1.02,,,0.69,0.35,,,,0%,,25,160,157,81,0,0
FengF,FengF,TE,4770,"['Yoru', 'Cypher', 'Raze', 'Killjoy', 'Vyse']",5,233,,225.7,1.13,,,0.81,0.14,,,,0%,,27,188,167,33,0,0
Kai,Kai,TE,37494,"['Neon', 'Jett', 'Vyse']",3,233,,207.8,1.04,,,0.75,0.23,,,,0%,,27,174,167,53,0,0
nobody,nobody,EDG,3017,"['Skye', 'Fade', 'Sova', 'Tejo']",4,333,,205.9,1.2,,,0.76,0.22,,,,0%,,37,252,210,74,0,0
