match_id,map_name,map_order,score,winner,duration,picked_by
450047,Pearl,1,13 - 8,Xi Lai Gaming,-,Bilibili Gaming
450047,Icebox,2,9 - 13,Bilibili Gaming,-,Xi Lai Gaming
450047,Fracture,3,8 - 13,Bilibili Gaming,-,Decider
450048,Pearl,1,13 - 11,Trace Esports,-,Trace Esports
450048,Lotus,2,11 - 13,All Gamers,-,All Gamers
450048,Split,3,13 - 1,Trace Esports,-,Decider
450049,Fracture,1,13 - 6,Dragon Ranger Gaming,-,Nova Esports
450049,Lotus,2,13 - 10,Dragon Ranger Gaming,-,Dragon Ranger Gaming
450050,Fracture,1,7 - 13,EDward Gaming,-,TYLOO
450050,Haven,2,6 - 13,EDward Gaming,-,EDward Gaming
450051,Pearl,1,9 - 13,Wolves Esports,-,Wolves Esports
450051,Haven,2,11 - 13,Wolves Esports,-,JD Mall JDG Esports(JDG Esports)
450052,Icebox,1,13 - 5,FunPlus Phoenix,-,Titan Esports Club
450052,Haven,2,13 - 6,FunPlus Phoenix,-,FunPlus Phoenix
450053,Ascent,1,13 - 11,Nova Esports,-,Nova Esports
450053,Fracture,2,13 - 8,Nova Esports,-,EDward Gaming
450054,Pearl,1,8 - 13,FunPlus Phoenix,-,TYLOO
450054,Icebox,2,13 - 6,TYLOO,-,FunPlus Phoenix
450054,Haven,3,4 - 13,FunPlus Phoenix,-,Decider
450055,Fracture,1,13 - 10,Xi Lai Gaming,-,Xi Lai Gaming
450055,Lotus,2,13 - 7,Xi Lai Gaming,-,All Gamers
450056,Fracture,1,15 - 13,Wolves Esports,-,Trace Esports
450056,Pearl,2,13 - 10,Wolves Esports,-,Wolves Esports
450057,Lotus,1,11 - 13,Dragon Ranger Gaming,1:07:57,Dragon Ranger Gaming
450057,Fracture,2,13 - 9,Titan Esports Club,48:45,Titan Esports Club
450057,Icebox,3,13 - 3,Titan Esports Club,33:58,Decider
450058,Pearl,1,13 - 10,Bilibili Gaming,1:07:48,JD Mall JDG Esports(JDG Esports)
450058,Icebox,2,5 - 13,JD Mall JDG Esports(JDG Esports),40:37,Bilibili Gaming
450058,Fracture,3,13 - 8,Bilibili Gaming,44:08,Decider
450059,Lotus,1,7 - 13,Trace Esports,1:03:18,Trace Esports
450059,Haven,2,11 - 13,Trace Esports,56:14,JD Mall JDG Esports(JDG Esports)
450060,Fracture,1,12 - 14,Xi Lai Gaming,1:15:46,Xi Lai Gaming
450060,Icebox,2,10 - 13,Xi Lai Gaming,54:55,Wolves Esports
450061,Fracture,1,13 - 10,TYLOO,1:08:08,Titan Esports Club
450061,Icebox,2,8 - 13,Titan Esports Club,47:16,TYLOO
450061,Split,3,7 - 13,Titan Esports Club,47:07,Decider
450062,Icebox,1,2 - 13,EDward Gaming,42:31,EDward Gaming
450062,Ascent,2,13 - 9,Dragon Ranger Gaming,44:30,Dragon Ranger Gaming
450062,Pearl,3,10 - 13,EDward Gaming,53:15,Decider
450063,Icebox,1,13 - 11,Nova Esports,1:08:15,FunPlus Phoenix
450063,Split,2,13 - 10,Nova Esports,51:53,Nova Esports
450064,Pearl,1,4 - 13,Bilibili Gaming,51:21,Bilibili Gaming
450064,Fracture,2,5 - 13,Bilibili Gaming,34:59,All Gamers
450065,Ascent,1,11 - 13,Dragon Ranger Gaming,1:07:57,Dragon Ranger Gaming
450065,Haven,2,5 - 13,Dragon Ranger Gaming,37:52,FunPlus Phoenix
450066,Haven,1,13 - 5,Bilibili Gaming,40:12,Bilibili Gaming
450066,Ascent,2,13 - 4,Bilibili Gaming,36:21,Decider
450066,Lotus,3,10 - 13,Wolves Esports,1:02:00,Wolves Esports
450067,Split,1,12 - 14,JD Mall JDG Esports(JDG Esports),1:18:13,All Gamers
450067,Pearl,2,4 - 13,JD Mall JDG Esports(JDG Esports),42:25,JD Mall JDG Esports(JDG Esports)
450068,Lotus,1,8 - 13,Titan Esports Club,1:00:07,EDward Gaming
450068,Icebox,2,13 - 9,EDward Gaming,46:06,Titan Esports Club
450068,Haven,3,13 - 5,EDward Gaming,40:48,Decider
450069,Split,1,13 - 11,Nova Esports,1:11:47,Nova Esports
450069,Icebox,2,3 - 13,TYLOO,35:59,TYLOO
450069,Pearl,3,13 - 5,Nova Esports,42:13,Decider
450070,Split,1,7 - 13,Xi Lai Gaming,58:11,Trace Esports
450070,Lotus,2,13 - 10,Trace Esports,54:37,Xi Lai Gaming
450070,Pearl,3,11 - 13,Xi Lai Gaming,1:02:42,Decider
450071,Lotus,1,6 - 13,Xi Lai Gaming,1:03:05,Xi Lai Gaming
450071,Fracture,2,6 - 13,Xi Lai Gaming,-,Decider
450071,Icebox,3,13 - 11,JD Mall JDG Esports(JDG Esports),-,JD Mall JDG Esports(JDG Esports)
450072,Haven,1,13 - 10,Dragon Ranger Gaming,1:04:51,Dragon Ranger Gaming
450072,Split,2,9 - 13,TYLOO,50:06,TYLOO
450072,Fracture,3,5 - 13,TYLOO,41:06,Decider
450073,Pearl,1,13 - 7,Wolves Esports,1:03:01,Wolves Esports
450073,Fracture,2,7 - 13,All Gamers,-,All Gamers
450073,Lotus,3,13 - 6,Wolves Esports,-,Decider
450074,Haven,1,4 - 13,Trace Esports,-,Bilibili Gaming
450074,Ascent,2,13 - 5,Bilibili Gaming,-,Trace Esports
450074,Split,3,1 - 13,Trace Esports,-,Decider
450075,Fracture,1,13 - 9,Titan Esports Club,-,Titan Esports Club
450075,Split,2,13 - 3,Titan Esports Club,-,Nova Esports
450076,Split,1,13 - 9,EDward Gaming,1:00:11,EDward Gaming
450076,Fracture,2,13 - 7,EDward Gaming,-,FunPlus Phoenix
473233,Haven,1,11 - 13,Wolves Esports,1:01:52,Titan Esports Club
473233,Icebox,2,10 - 13,Wolves Esports,53:06,Wolves Esports
473234,Lotus,1,13 - 6,Xi Lai Gaming,54:04,Xi Lai Gaming
473234,Ascent,2,13 - 2,Xi Lai Gaming,34:09,Nova Esports
473235,Ascent,1,13 - 1,Titan Esports Club,45:53,Dragon Ranger Gaming
473235,Fracture,2,12 - 14,Dragon Ranger Gaming,1:03:36,Titan Esports Club
473235,Lotus,3,16 - 18,Dragon Ranger Gaming,1:19:41,Decider
473236,Split,1,9 - 13,Trace Esports,1:03:23,Nova Esports
473236,Lotus,2,4 - 13,Trace Esports,37:59,Trace Esports
473237,Split,1,8 - 13,Wolves Esports,1:01:39,Wolves Esports
473237,Haven,2,8 - 13,Wolves Esports,41:49,Bilibili Gaming
473238,Lotus,1,9 - 13,Xi Lai Gaming,1:00:58,Xi Lai Gaming
473238,Haven,2,11 - 13,Xi Lai Gaming,52:44,EDward Gaming
