match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
450047,Xi Lai Gaming vs Bilibili Gaming,VCT 2025: China Stage 1,2025-03-13 07:00:00,Bo3,Xi Lai Gaming vs Bilibili Gaming,1 - 2,3,,BLG ban Lotus; XLG ban Ascent; BLG pick Pearl; XLG pick Icebox; BLG ban Split; XLG ban Haven; Fracture remains
450048,Trace Esports vs All Gamers,VCT 2025: China Stage 1,2025-03-14 07:00:00,Bo3,Trace Esports vs All Gamers,2 - 1,3,,TE ban Icebox; AG ban Fracture; TE pick Pearl; AG pick Lotus; TE ban Haven; AG ban Ascent; Split remains
450049,Dragon Ranger Gaming vs Nova Esports,VCT 2025: China Stage 1,2025-03-15 05:00:00,Bo3,Dragon Ranger Gaming vs Nova Esports,2 - 0,2,,NOVA ban Ascent; DRG ban Split; NOVA pick Fracture; DRG pick Lotus; NOVA ban Icebox; DRG ban Pearl; Haven remains
450050,TYLOO vs EDward Gaming,VCT 2025: China Stage 1,2025-03-15 07:05:00,Bo3,TYLOO vs EDward Gaming,0 - 2,2,,TYL ban Ascent; EDG ban Lotus; TYL pick Fracture; EDG pick Haven; TYL ban Icebox; EDG ban Pearl; Split remains
450051,JD Mall JDG Esports(JDG Esports) vs Wolves Esports,VCT 2025: China Stage 1,2025-03-16 05:00:00,Bo3,JD Mall JDG Esports(JDG Esports) vs Wolves Esports,0 - 2,2,,WOL ban Icebox; JDG ban Ascent; WOL pick Pearl; JDG pick Haven; WOL ban Lotus; JDG ban Fracture; Split remains
450052,FunPlus Phoenix vs Titan Esports Club,VCT 2025: China Stage 1,2025-03-16 07:25:00,Bo3,FunPlus Phoenix vs Titan Esports Club,2 - 0,2,,TEC ban Pearl; FPX ban Fracture; TEC pick Icebox; FPX pick Haven; TEC ban Split; FPX ban Lotus; Ascent remains
450053,Nova Esports vs EDward Gaming,VCT 2025: China Stage 1,2025-03-20 07:00:00,Bo3,Nova Esports vs EDward Gaming,2 - 0,2,,NOVA ban Haven; EDG ban Lotus; NOVA pick Ascent; EDG pick Fracture; NOVA ban Icebox; EDG ban Split; Pearl remains
450054,TYLOO vs FunPlus Phoenix,VCT 2025: China Stage 1,2025-03-21 07:00:00,Bo3,TYLOO vs FunPlus Phoenix,1 - 2,3,,TYL ban Ascent; FPX ban Fracture; TYL pick Pearl; FPX pick Icebox; TYL ban Lotus; FPX ban Split; Haven remains
450055,Xi Lai Gaming vs All Gamers,VCT 2025: China Stage 1,2025-03-22 05:00:00,Bo3,Xi Lai Gaming vs All Gamers,2 - 0,2,,XLG ban Haven; AG ban Icebox; XLG pick Fracture; AG pick Lotus; XLG ban Ascent; AG ban Split; Pearl remains
450056,Wolves Esports vs Trace Esports,VCT 2025: China Stage 1,2025-03-22 07:20:00,Bo3,Wolves Esports vs Trace Esports,2 - 0,2,,TE ban Icebox; WOL ban Lotus; TE pick Fracture; WOL pick Pearl; TE ban Haven; WOL ban Split; Ascent remains
450057,Titan Esports Club vs Dragon Ranger Gaming,VCT 2025: China Stage 1,2025-03-23 05:00:00,Bo3,Titan Esports Club vs Dragon Ranger Gaming,2 - 1,3,,DRG ban Haven; TEC ban Pearl; DRG pick Lotus; TEC pick Fracture; DRG ban Ascent; TEC ban Split; Icebox remains
450058,Bilibili Gaming vs JD Mall JDG Esports(JDG Esports),VCT 2025: China Stage 1,2025-03-23 08:15:00,Bo3,Bilibili Gaming vs JD Mall JDG Esports(JDG Esports),2 - 1,3,,JDG ban Ascent; BLG ban Split; JDG pick Pearl; BLG pick Icebox; JDG ban Lotus; BLG ban Haven; Fracture remains
450059,JD Mall JDG Esports(JDG Esports) vs Trace Esports,VCT 2025: China Stage 1,2025-03-27 07:00:00,Bo3,JD Mall JDG Esports(JDG Esports) vs Trace Esports,0 - 2,2,,TE ban Icebox; JDG ban Ascent; TE pick Lotus; JDG pick Haven; TE ban Pearl; JDG ban Split; Fracture remains
450060,Wolves Esports vs Xi Lai Gaming,VCT 2025: China Stage 1,2025-03-28 07:00:00,Bo3,Wolves Esports vs Xi Lai Gaming,0 - 2,2,,XLG ban Ascent; WOL ban Lotus; XLG pick Fracture; WOL pick Icebox; XLG ban Pearl; WOL ban Split; Haven remains
450061,TYLOO vs Titan Esports Club,VCT 2025: China Stage 1,2025-03-29 05:00:00,Bo3,TYLOO vs Titan Esports Club,1 - 2,3,,TEC ban Pearl; TYL ban Ascent; TEC pick Fracture; TYL pick Icebox; TEC ban Haven; TYL ban Lotus; Split remains
450062,Dragon Ranger Gaming vs EDward Gaming,VCT 2025: China Stage 1,2025-03-29 08:15:00,Bo3,Dragon Ranger Gaming vs EDward Gaming,1 - 2,3,,EDG ban Lotus; DRG ban Haven; EDG pick Icebox; DRG pick Ascent; EDG ban Fracture; DRG ban Split; Pearl remains
450063,Nova Esports vs FunPlus Phoenix,VCT 2025: China Stage 1,2025-03-30 05:00:00,Bo3,Nova Esports vs FunPlus Phoenix,2 - 0,2,,FPX ban Fracture; NOVA ban Haven; FPX pick Icebox; NOVA pick Split; FPX ban Lotus; NOVA ban Pearl; Ascent remains
