player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
stew,stew,JDG,16924,"['Omen', 'Raze', 'Neon', 'Yoru', 'Jett']",5,308,1.2,262.4,1.22,74%,169.1,0.93,0.18,0.22,0.15,36%,0%,,35,286,234,54,68,47
slowly,slowly,TYL,41739,"['Yoru', 'Raze', 'Omen', 'Killjoy', 'Jett']",5,345,1.2,231.2,1.24,70%,151.7,0.83,0.24,0.17,0.15,32%,0%,,31,286,230,83,60,51
Ezeir,Ezeir,NOVA,46460,"['Omen', 'Viper', 'Brimstone']",3,299,1.19,226.1,1.1,74%,143.0,0.76,0.42,0.1,0.07,20%,0%,,26,228,207,127,29,21
whzy,whzy,BLG,4885,"['Raze', 'Neon', 'Jett']",3,543,1.18,251.8,1.24,71%,160.4,0.9,0.2,0.19,0.17,29%,0%,,30,491,395,110,102,92
rushia,rushia,BLG,48878,"['Brimstone', 'Viper', 'Omen', 'Harbor']",4,543,1.17,213.2,1.15,77%,138.7,0.74,0.41,0.08,0.1,23%,0%,,25,400,348,224,46,55
happywei,happywei,XLG,37927,"['Cypher', 'Viper', 'Vyse', 'Sage']",4,397,1.15,248.8,1.23,75%,161.9,0.84,0.28,0.12,0.1,29%,0%,,24,333,270,113,36,29
Shr1mp,Shr1mp,AG,25494,"['Omen', 'Kayo', 'Fade', 'Sova']",4,411,1.15,205.9,1.14,75%,135.5,0.74,0.31,0.07,0.06,26%,0%,,23,304,266,129,24,21
nephh,nephh,BLG,10698,"['Kayo', 'Omen', 'Viper', 'Breach', 'Deadlock']",5,543,1.15,199.2,1.08,78%,125.1,0.69,0.55,0.08,0.07,21%,0%,,29,374,346,296,43,39
Kai,Kai,TE,37494,"['Jett', 'Yoru', 'Chamber', 'Vyse', 'Neon', 'Killjoy']",6,333,1.14,251.2,1.23,67%,156.3,0.9,0.17,0.2,0.13,27%,0%,,29,299,244,55,65,43
Life,Life,FPX,3028,"['Jett', 'Raze', 'Waylay', 'Neon']",4,312,1.12,229.6,1.17,70%,146.8,0.81,0.15,0.2,0.2,30%,0%,,24,252,215,46,53,52
Knight,Knight,BLG,4774,"['Fade', 'Sova']",2,543,1.12,204.3,1.18,73%,129.6,0.73,0.23,0.08,0.06,27%,0%,,27,397,336,125,43,35
vo0kashu,vo0kashu,DRG,3741,"['Cypher', 'Killjoy', 'Vyse', 'Iso']",4,578,1.11,214.2,1.18,77%,142.3,0.77,0.22,0.08,0.05,31%,0%,,25,444,376,126,45,31
Rarga,Rarga,XLG,22047,"['Neon', 'Yoru', 'Sage', 'Waylay', 'Jett']",5,397,1.11,228.5,1.09,72%,153.0,0.8,0.23,0.16,0.12,34%,0%,,27,316,289,93,49,35
Scales,Scales,TYL,39485,"['Viper', 'Iso', 'Omen', 'Sova']",4,345,1.08,220.4,1.12,70%,138.9,0.75,0.19,0.11,0.09,36%,0%,,22,260,233,67,39,31
ZmjjKK,ZmjjKK,EDG,3520,"['Neon', 'Raze', 'Jett', 'Yoru']",4,546,1.07,238.3,1.12,68%,151.2,0.84,0.21,0.17,0.18,23%,0%,,31,457,408,115,95,101
K1ra,K1ra,AG,46748,"['Viper', 'Omen', 'Raze']",3,411,1.07,210.4,1.1,76%,136.0,0.72,0.3,0.13,0.11,26%,0%,,26,295,267,125,48,39
AAAAY,AAAAY,FPX,19530,"['Sova', 'Fade', 'Skye', 'Omen']",3,312,1.07,183.3,1.06,75%,125.9,0.66,0.22,0.06,0.06,41%,0%,,24,205,193,69,17,16
Flex1n,Flex1n,DRG,4705,"['Omen', 'Harbor', 'Astra']",3,578,1.06,190.5,1.03,77%,118.7,0.68,0.47,0.06,0.09,28%,0%,,21,391,378,269,37,50
MarT1n,MarT1n,TE,36668,"['Killjoy', 'Deadlock', 'Vyse', 'Viper']",4,333,1.04,193.4,1.08,71%,123.7,0.7,0.22,0.07,0.07,32%,0%,,26,233,216,74,23,23
Autumn,Autumn,FPX,872,"['Yoru', 'Chamber', 'Cypher', 'Phoenix', 'Deadlock', 'Viper', 'Killjoy']",7,312,1.04,195.7,1.02,71%,132.2,0.7,0.22,0.08,0.09,31%,0%,,24,218,213,70,20,24
yosemite,yosemite,FPX,6022,"['Cypher', 'Vyse', 'Omen', 'Killjoy', 'Viper']",5,312,1.03,195.4,1.0,72%,130.3,0.67,0.24,0.09,0.05,24%,0%,,23,209,208,74,23,14
nobody,nobody,EDG,3017,"['Fade', 'Gekko', 'Brimstone', 'Omen', 'Sova', 'Yoru']",6,546,1.03,204.1,1.07,70%,137.3,0.73,0.23,0.1,0.1,34%,0%,,26,400,375,127,52,57
Jieni7,Jieni7,EDG,51244,"['Omen', 'Kayo', 'Breach', 'Neon', 'Raze']",5,444,1.02,210.5,1.03,71%,132.8,0.73,0.33,0.11,0.08,29%,0%,,24,324,315,148,49,36
