player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
Keiko,Keiko,TL,11494,"['Brimstone', 'Omen', 'Astra', 'Raze', 'Reyna']",5,493,1.26,239.5,1.34,78%,156.3,0.88,0.3,0.11,0.06,40%,16%,9/58,28,436,325,149,53,32
Minny,Minny,M8,23169,"['Killjoy', 'Cypher', 'Yoru', 'Breach']",4,192,1.18,219.5,1.26,71%,139.8,0.79,0.17,0.14,0.07,38%,11%,3/28,25,151,120,32,27,14
florescent,florescent,APK,17976,"['Jett', 'Phoenix']",2,111,1.17,256.6,1.16,69%,172.9,0.91,0.15,0.2,0.14,38%,8%,1/12,26,101,87,17,22,15
kaajak,kaajak,FNC,9554,"['Yoru', 'Raze']",2,215,1.16,245.0,1.3,69%,157.9,0.89,0.21,0.15,0.16,37%,23%,3/13,32,191,147,45,32,35
yetujey,yetujey,FUT,8369,"['Cypher', 'Viper', 'Vyse']",3,179,1.13,230.8,1.15,75%,150.9,0.81,0.23,0.14,0.08,26%,15%,5/33,22,145,126,41,25,14
Alfajer,Alfajer,FNC,9810,"['Tejo', 'Chamber', 'Raze', 'Iso', 'Jett']",5,215,1.12,233.5,1.15,71%,153.4,0.84,0.22,0.18,0.08,29%,13%,3/24,32,181,157,48,38,18
Derke,Derke,VIT,5022,"['Yoru', 'Raze', 'Jett']",3,249,1.12,252.8,1.17,70%,164.9,0.87,0.18,0.24,0.21,30%,0%,0/14,32,217,185,46,61,52
Sayf,Sayf,VIT,312,"['Iso', 'Tejo', 'Omen', 'Vyse']",4,249,1.1,214.2,1.22,71%,138.5,0.78,0.24,0.09,0.08,26%,19%,5/27,22,195,160,60,22,21
sociablEE,sociablEE,BBL,5568,"['Fade', 'Sova', 'Chamber', 'Yoru', 'Raze', 'Sage']",6,244,1.09,228.5,1.12,73%,144.8,0.8,0.2,0.11,0.13,22%,14%,5/36,25,196,175,50,28,32
Avez,Avez,KC,5654,"['Fade', 'Gekko', 'Tejo']",3,199,1.09,208.8,1.08,75%,135.0,0.72,0.3,0.07,0.07,36%,15%,2/13,24,144,133,59,13,13
Wo0t,Wo0t,TH,21328,"['Astra', 'Tejo', 'Chamber']",3,189,1.08,205.1,1.03,74%,136.8,0.7,0.43,0.11,0.1,35%,14%,3/21,23,132,128,82,20,18
Ruxic,Ruxic,NAVI,18677,"['Astra', 'Brimstone', 'Omen']",3,128,1.08,216.0,1.04,77%,136.7,0.75,0.38,0.11,0.11,26%,0%,0/14,26,96,92,49,14,14
Less,Less,VIT,8447,"['Cypher', 'Viper', 'Astra', 'Brimstone']",4,249,1.08,196.3,1.15,72%,126.5,0.69,0.32,0.04,0.06,30%,35%,9/26,22,173,150,79,10,14
