agent_name,total_utilization,Split,Lotus,Icebox,Haven,Ascent,Fracture,Pearl
Omen,61.0,68.0,100.0,22.0,97.0,96.0,0.0,0.0
Tejo,51.0,38.0,53.0,78.0,20.0,46.0,75.0,50.0
Yoru,43.0,73.0,34.0,0.0,60.0,46.0,13.0,100.0
Cypher,43.0,15.0,34.0,0.0,100.0,63.0,88.0,21.0
Viper,39.0,70.0,45.0,100.0,0.0,0.0,0.0,0.0
Breach,32.0,33.0,50.0,3.0,33.0,0.0,96.0,0.0
Sova,28.0,0.0,0.0,31.0,80.0,58.0,0.0,64.0
Fade,28.0,65.0,47.0,0.0,0.0,17.0,17.0,36.0
Raze,21.0,68.0,26.0,0.0,0.0,4.0,21.0,0.0
Killjoy,21.0,0.0,16.0,86.0,0.0,13.0,0.0,21.0
Jett,19.0,0.0,13.0,31.0,20.0,58.0,13.0,7.0
Astra,18.0,45.0,3.0,0.0,3.0,4.0,13.0,100.0
Vyse,17.0,13.0,32.0,6.0,10.0,4.0,13.0,57.0
Kayo,16.0,0.0,0.0,50.0,0.0,50.0,8.0,0.0
Neon,15.0,0.0,13.0,17.0,20.0,0.0,54.0,0.0
Brimstone,10.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0
Iso,8.0,5.0,0.0,6.0,43.0,0.0,0.0,0.0
Deadlock,8.0,3.0,11.0,3.0,7.0,38.0,0.0,0.0
Gekko,7.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0
Waylay,6.0,0.0,13.0,17.0,0.0,4.0,4.0,0.0
Chamber,3.0,3.0,3.0,3.0,3.0,0.0,0.0,21.0
Harbor,3.0,0.0,8.0,0.0,0.0,0.0,0.0,21.0
Sage,2.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0
Phoenix,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Skye,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Clove,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Reyna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
