match_id,event_name,event_stage,match_date,team1,team2,score_overall,player_name,player_id,player_team,stat_type,agent,rating,acs,k,d,a,kd_diff,kast,adr,hs_percent,fk,fd,fk_fd_diff,map_name,map_winner
511543,VCT 2025: EMEA Stage 2,"Group Stage: 
						Week 1",2025-07-16 11:00:00,Natus Vincere,Apeks,2 - 1,Ruxic,18677,Natus Vincere,overall,"Viper, Omen",1.41,243,50,29,12,+21,69%,159,33%,6,4,+2,,
511543,VCT 2025: EMEA Stage 2,"Group Stage: 
						Week 1",2025-07-16 11:00:00,Natus Vincere,Apeks,2 - 1,hiro,29867,Natus Vincere,overall,"Killjoy, Cypher",1.23,217,44,28,8,+16,73%,156,37%,6,6,0,,
511543,VCT 2025: EMEA Stage 2,"Group Stage: 
						Week 1",2025-07-16 11:00:00,Natus Vincere,Apeks,2 - 1,ANGE1,109,Natus Vincere,overall,"Sova, Kayo",1.08,184,35,31,14,+4,65%,117,30%,6,3,+3,,
511543,VCT 2025: EMEA Stage 2,"Group Stage: 
						Week 1",2025-07-16 11:00:00,Natus Vincere,Apeks,2 - 1,alexiiik,25906,Natus Vincere,overall,"Jett, Neon",0.93,198,38,37,8,+1,69%,127,37%,7,10,-3,,
511543,VCT 2025: EMEA Stage 2,"Group Stage: 
						Week 1",2025-07-16 11:00:00,Natus Vincere,Apeks,2 - 1,Shao,384,Natus Vincere,overall,"Sage, Sova, Fade",0.91,139,24,28,13,-4,75%,97,26%,2,2,0,,
511543,VCT 2025: EMEA Stage 2,"Group Stage: 
						Week 1",2025-07-16 11:00:00,Natus Vincere,Apeks,2 - 1,MOLSI,1281,Apeks,overall,"Sova, Kayo",1.01,208,35,39,15,-4,71%,155,30%,3,3,0,,
511543,VCT 2025: EMEA Stage 2,"Group Stage: 
						Week 1",2025-07-16 11:00:00,Natus Vincere,Apeks,2 - 1,penny,7716,Apeks,overall,"Jett, Neon, Yoru",0.94,196,36,37,6,-1,65%,126,19%,9,9,0,,
511543,VCT 2025: EMEA Stage 2,"Group Stage: 
						Week 1",2025-07-16 11:00:00,Natus Vincere,Apeks,2 - 1,OLIZERA,8502,Apeks,overall,"Killjoy, Viper, Vyse",0.85,189,33,39,9,-6,67%,123,33%,6,3,+3,,
511543,VCT 2025: EMEA Stage 2,"Group Stage: 
						Week 1",2025-07-16 11:00:00,Natus Vincere,Apeks,2 - 1,batujnax,18615,Apeks,overall,"Omen, Deadlock, Sova",0.81,150,30,39,8,-9,63%,96,31%,3,7,-4,,
511543,VCT 2025: EMEA Stage 2,"Group Stage: 
						Week 1",2025-07-16 11:00:00,Natus Vincere,Apeks,2 - 1,AvovA,1507,Apeks,overall,"Viper, Omen",0.62,108,19,37,14,-18,62%,73,33%,4,5,-1,,
511543,VCT 2025: EMEA Stage 2,"Group Stage: 
						Week 1",2025-07-16 11:00:00,Natus Vincere,Apeks,2 - 1,hiro,29867,Natus Vincere,map,Killjoy,1.69,284,19,7,3,+12,76%,183,39%,4,2,+2,Icebox,Natus Vincere
511543,VCT 2025: EMEA Stage 2,"Group Stage: 
						Week 1",2025-07-16 11:00:00,Natus Vincere,Apeks,2 - 1,alexiiik,25906,Natus Vincere,map,Jett,1.39,271,17,11,2,+6,76%,168,38%,3,2,+1,Icebox,Natus Vincere
