map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Icebox,NAVI,1,3 (1),1 (1),2 (1),11 (10),511543
Icebox,APK,1,3 (1),2 (0),8 (2),4 (1),511543
Sunset,NAVI,0,4 (0),1 (0),3 (1),11 (5),511543
Sunset,APK,2,2 (2),1 (1),6 (5),10 (5),511543
All Maps,NAVI,2,2 (2),0 (0),3 (3),11 (8),511543
All Maps,APK,0,4 (0),2 (0),6 (2),4 (1),511543
Sunset,VIT,2,2 (2),2 (0),6 (5),13 (3),511544
Sunset,GX,0,4 (0),1 (1),1 (1),17 (11),511544
Bind,VIT,1,3 (1),1 (0),4 (2),16 (8),511544
Bind,GX,1,3 (1),1 (1),10 (5),10 (6),511544
All Maps,VIT,3,5 (3),3 (0),10 (7),29 (11),511544
All Maps,GX,1,7 (1),2 (2),11 (6),27 (17),511544
Bind,FUT,0,4 (0),3 (1),1 (1),12 (5),511545
Bind,M8,2,2 (2),1 (0),5 (3),12 (8),511545
Sunset,FUT,2,2 (2),1 (0),5 (3),10 (8),511545
Sunset,M8,0,3 (0),2 (0),4 (0),9 (5),511545
All Maps,FUT,1,5 (1),1 (0),5 (2),19 (13),511545
All Maps,M8,1,4 (2),0 (0),3 (1),23 (11),511545
Bind,TL,2,2 (2),0 (0),4 (3),11 (8),511546
Bind,MKOI,0,5 (1),2 (0),4 (0),6 (3),511546
Icebox,TL,2,3 (2),2 (0),9 (5),9 (3),511546
Icebox,MKOI,0,4 (0),1 (1),2 (2),16 (10),511546
All Maps,TL,0,4 (0),1 (0),3 (3),13 (10),511546
All Maps,MKOI,2,3 (2),0 (0),10 (4),8 (2),511546
Icebox,TH,1,3 (1),1 (0),6 (2),8 (2),511547
Icebox,BBL,1,3 (1),1 (0),3 (2),11 (10),511547
Haven,TH,1,3 (1),3 (2),4 (2),12 (8),511547
Haven,BBL,1,3 (1),2 (0),7 (4),10 (4),511547
All Maps,TH,2,2 (2),1 (0),7 (5),14 (6),511547
All Maps,BBL,0,4 (0),1 (1),6 (3),13 (7),511547
Bind,FNC,1,3 (1),0 (0),2 (2),15 (10),511548
Bind,KC,1,3 (1),3 (1),6 (3),8 (2),511548
Lotus,FNC,1,3 (2),2 (1),9 (4),9 (3),511548
Lotus,KC,1,3 (2),1 (0),3 (2),16 (9),511548
All Maps,FNC,1,3 (2),0 (0),4 (1),17 (10),511548
All Maps,KC,1,4 (1),0 (0),5 (2),15 (8),511548
Icebox,APK,0,4 (1),0 (0),10 (3),6 (3),511549
Icebox,KC,2,2 (2),1 (1),6 (4),11 (6),511549
