player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
Ruxic,Ruxic,NAVI,18677,"['Viper', 'Omen']",2,472,1.23,246.4,1.36,75%,159.4,0.91,0.3,0.12,0.08,31%,15%,9/59,31,430,317,142,56,39
Keiko,Keiko,TL,11494,"['Brimstone', 'Killjoy', 'Raze', 'Omen']",4,494,1.21,233.4,1.33,77%,148.6,0.85,0.29,0.11,0.09,32%,23%,10/43,26,422,317,141,53,44
SUYGETSU,SUYGETSU,KC,2858,"['Astra', 'Omen', 'Viper']",3,389,1.16,214.6,1.2,76%,139.4,0.79,0.32,0.08,0.09,41%,20%,13/66,26,306,254,126,30,34
nAts,nAts,TL,457,"['Viper', 'Vyse', 'Cypher']",3,494,1.15,231.4,1.19,77%,152.3,0.81,0.33,0.1,0.06,25%,13%,7/55,30,400,337,161,48,31
RieNs,RieNs,TH,10971,"['Sova', 'Fade', 'Gekko']",3,334,1.15,226.8,1.15,75%,155.8,0.8,0.31,0.07,0.03,35%,24%,10/41,24,267,232,105,22,10
hiro,hiro,NAVI,29867,"['Killjoy', 'Cypher', 'Viper', 'Omen']",4,472,1.14,220.1,1.19,74%,149.6,0.81,0.25,0.1,0.09,35%,12%,7/57,32,380,320,118,47,44
Wo0t,Wo0t,TH,21328,"['Kayo', 'Iso', 'Waylay', 'Jett', 'Fade']",5,334,1.12,227.3,1.18,74%,149.4,0.82,0.28,0.15,0.11,38%,30%,8/27,28,274,233,92,51,37
Derke,Derke,VIT,5022,"['Neon', 'Raze', 'Yoru', 'Jett']",4,299,1.12,244.5,1.12,71%,162.1,0.85,0.18,0.17,0.16,26%,25%,4/16,23,253,225,55,50,48
Less,Less,VIT,8447,"['Cypher', 'Viper', 'Chamber']",3,299,1.11,205.9,1.17,75%,132.9,0.76,0.22,0.09,0.09,32%,18%,9/51,24,227,194,67,28,26
Sayf,Sayf,VIT,312,"['Iso', 'Vyse']",2,44,1.11,176.0,0.93,70%,123.0,0.61,0.2,0.02,0.07,37%,18%,2/11,17,27,29,9,1,3
kaajak,kaajak,FNC,9554,"['Raze', 'Jett', 'Yoru', 'Neon']",4,448,1.1,235.9,1.14,68%,150.8,0.82,0.15,0.17,0.13,35%,36%,10/28,26,368,324,69,74,59
trexx,trexx,TL,2168,"['Gekko', 'Kayo', 'Fade', 'Sova']",4,494,1.09,203.5,1.07,74%,130.1,0.69,0.44,0.06,0.06,20%,19%,13/68,26,341,318,215,32,29
Avez,Avez,KC,5654,"['Gekko', 'Raze', 'Sova', 'Phoenix', 'Yoru']",5,389,1.07,223.1,1.12,69%,144.3,0.78,0.23,0.11,0.11,32%,33%,10/30,28,304,272,88,44,42
Alfajer,Alfajer,FNC,9810,"['Tejo', 'Killjoy', 'Chamber', 'Iso', 'Vyse', 'Neon']",6,448,1.06,221.9,1.15,68%,148.6,0.81,0.13,0.14,0.11,36%,14%,6/44,29,363,317,60,64,48
ara,ara,GX,11332,"['Neon', 'Raze', 'Jett']",3,625,1.05,216.7,1.12,70%,140.3,0.77,0.15,0.18,0.13,26%,17%,11/64,31,482,431,91,111,81
