match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
430514,BOOM Esports vs T1,VCT 2025: Pacific Kickoff,2025-01-18 03:00:00,Bo3,BOOM Esports vs T1,1 - 2,3,Patch 10.0,BME ban Split; T1 ban Abyss; BME pick Pearl; T1 pick Bind; BME ban Haven; T1 ban Lotus; Fracture remains
430515,ZETA DIVISION vs Nongshim RedForce,VCT 2025: Pacific Kickoff,2025-01-18 06:15:00,Bo3,ZETA DIVISION vs Nongshim RedForce,0 - 2,2,Patch 10.0,NS ban Abyss; ZETA ban Bind; NS pick Split; ZETA pick Haven; NS ban Pearl; ZETA ban Fracture; Lotus remains
430516,Global Esports vs Team Secret,VCT 2025: Pacific Kickoff,2025-01-19 03:00:00,Bo3,Global Esports vs Team Secret,2 - 1,3,Patch 10.0,TS ban Bind; GE ban Haven; TS pick Abyss; GE pick Split; TS ban Lotus; GE ban Fracture; Pearl remains
430517,DetonatioN FocusMe vs Rex Regum Qeon,VCT 2025: Pacific Kickoff,2025-01-19 06:00:00,Bo3,DetonatioN FocusMe vs Rex Regum Qeon,1 - 2,3,Patch 10.0,RRQ ban Bind; DFM ban Fracture; RRQ pick Abyss; DFM pick Pearl; RRQ ban Lotus; DFM ban Split; Haven remains
430521,DRX vs Nongshim RedForce,VCT 2025: Pacific Kickoff,2025-01-20 03:00:00,Bo3,DRX vs Nongshim RedForce,2 - 1,3,Patch 10.0,NS ban Abyss; DRX ban Bind; NS pick Lotus; DRX pick Pearl; NS ban Split; DRX ban Haven; Fracture remains
430518,Paper Rex vs T1,VCT 2025: Pacific Kickoff,2025-01-20 06:15:00,Bo3,Paper Rex vs T1,1 - 2,3,Patch 10.0,T1 ban Pearl; PRX ban Haven; T1 pick Bind; PRX pick Fracture; T1 ban Lotus; PRX ban Abyss; Split remains
430519,TALON vs Global Esports,VCT 2025: Pacific Kickoff,2025-01-25 03:00:00,Bo3,TALON vs Global Esports,2 - 1,3,Patch 10.0,GE ban Haven; TLN ban Pearl; GE pick Split; TLN pick Abyss; GE ban Fracture; TLN ban Bind; Lotus remains
430520,Gen.G vs Rex Regum Qeon,VCT 2025: Pacific Kickoff,2025-01-25 06:00:00,Bo3,Gen.G vs Rex Regum Qeon,2 - 1,3,Patch 10.0,RRQ ban Bind; GEN ban Split; RRQ pick Fracture; GEN pick Lotus; RRQ ban Pearl; GEN ban Abyss; Haven remains
430526,Nongshim RedForce vs BOOM Esports,VCT 2025: Pacific Kickoff,2025-01-26 03:00:00,Bo3,Nongshim RedForce vs BOOM Esports,2 - 1,3,Patch 10.01,BME ban Split; NS ban Abyss; BME pick Pearl; NS pick Bind; BME ban Haven; NS ban Fracture; Lotus remains
430529,Paper Rex vs ZETA DIVISION,VCT 2025: Pacific Kickoff,2025-01-26 06:00:00,Bo3,Paper Rex vs ZETA DIVISION,2 - 0,2,Patch 10.01,ZETA ban Bind; PRX ban Haven; ZETA pick Lotus; PRX pick Fracture; ZETA ban Abyss; PRX ban Split; Pearl remains
430527,Rex Regum Qeon vs Team Secret,VCT 2025: Pacific Kickoff,2025-01-27 03:00:00,Bo3,Rex Regum Qeon vs Team Secret,2 - 1,3,Patch 10.01,TS ban Bind; RRQ ban Split; TS pick Lotus; RRQ pick Pearl; TS ban Fracture; RRQ ban Abyss; Haven remains
430528,Global Esports vs DetonatioN FocusMe,VCT 2025: Pacific Kickoff,2025-01-27 06:00:00,Bo3,Global Esports vs DetonatioN FocusMe,0 - 2,2,Patch 10.01,DFM ban Bind; GE ban Haven; DFM pick Abyss; GE pick Split; DFM ban Pearl; GE ban Fracture; Lotus remains
430522,T1 vs TALON,VCT 2025: Pacific Kickoff,2025-01-31 03:00:00,Bo3,T1 vs TALON,2 - 1,3,Patch 10.01,TLN ban Split; T1 ban Lotus; TLN pick Fracture; T1 pick Bind; TLN ban Pearl; T1 ban Abyss; Haven remains
430523,Gen.G vs DRX,VCT 2025: Pacific Kickoff,2025-01-31 05:45:00,Bo3,Gen.G vs DRX,0 - 2,2,Patch 10.01,DRX ban Lotus; GEN ban Fracture; DRX pick Abyss; GEN pick Bind; DRX ban Split; GEN ban Pearl; Haven remains
430530,Nongshim RedForce vs Rex Regum Qeon,VCT 2025: Pacific Kickoff,2025-02-01 03:00:00,Bo3,Nongshim RedForce vs Rex Regum Qeon,2 - 1,3,Patch 10.01,RRQ ban Bind; NS ban Abyss; RRQ pick Fracture; NS pick Lotus; RRQ ban Split; NS ban Haven; Pearl remains
430531,DetonatioN FocusMe vs Paper Rex,VCT 2025: Pacific Kickoff,2025-02-01 07:10:00,Bo3,DetonatioN FocusMe vs Paper Rex,2 - 0,2,Patch 10.01,DFM ban Bind; PRX ban Haven; DFM pick Abyss; PRX pick Pearl; DFM ban Split; PRX ban Lotus; Fracture remains
430532,TALON vs Nongshim RedForce,VCT 2025: Pacific Kickoff,2025-02-02 03:00:00,Bo3,TALON vs Nongshim RedForce,2 - 1,3,Patch 10.01,NS ban Abyss; TLN ban Pearl; NS pick Lotus; TLN pick Bind; NS ban Haven; TLN ban Fracture; Split remains
430533,Gen.G vs DetonatioN FocusMe,VCT 2025: Pacific Kickoff,2025-02-02 06:00:00,Bo3,Gen.G vs DetonatioN FocusMe,2 - 0,2,Patch 10.01,DFM ban Bind; GEN ban Fracture; DFM pick Abyss; GEN pick Lotus; DFM ban Split; GEN ban Pearl; Haven remains
430524,T1 vs DRX,VCT 2025: Pacific Kickoff,2025-02-07 03:00:00,Bo3,T1 vs DRX,1 - 2,3,Patch 10.01,DRX ban Pearl; T1 ban Abyss; DRX pick Lotus; T1 pick Haven; DRX ban Bind; T1 ban Split; Fracture remains
430534,TALON vs Gen.G,VCT 2025: Pacific Kickoff,2025-02-07 06:30:00,Bo3,TALON vs Gen.G,0 - 2,2,Patch 10.01,TLN ban Pearl; GEN ban Fracture; TLN pick Bind; GEN pick Lotus; TLN ban Haven; GEN ban Split; Abyss remains
430535,T1 vs Gen.G,VCT 2025: Pacific Kickoff,2025-02-08 03:00:00,Bo5,T1 vs Gen.G,3 - 2,5,Patch 10.01,T1 ban Abyss; GEN ban Fracture; T1 pick Pearl; GEN pick Lotus; T1 pick Haven; GEN pick Split; Bind remains
430525,DRX vs T1,VCT 2025: Pacific Kickoff,2025-02-09 03:00:00,Bo5,DRX vs T1,3 - 2,5,Patch 10.01,DRX ban Pearl; DRX ban Haven; DRX pick Abyss; T1 pick Lotus; DRX pick Fracture; T1 pick Bind; Split remains
