player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
Karon,Karon,GEN,34974,"['Brimstone', 'Omen', 'Astra']",3,304,1.2,205.2,1.25,78%,135.9,0.74,0.45,0.05,0.08,32%,12%,4/33,24,224,179,138,14,24
Jemkin,Jemkin,RRQ,24895,"['Jett', 'Brimstone', 'Raze']",3,269,1.2,257.4,1.29,75%,164.2,0.91,0.22,0.22,0.16,27%,9%,2/22,38,245,190,60,59,42
Meiy,Meiy,DFM,6672,"['Jett', 'Yoru', 'Neon', 'Raze']",4,180,1.19,240.4,1.21,72%,161.3,0.88,0.16,0.18,0.11,31%,28%,5/18,32,159,131,29,32,20
primmie,primmie,TLN,25255,"['Tejo', 'Deadlock', 'Clove', 'Jett']",4,217,1.19,234.8,1.3,75%,152.2,0.87,0.19,0.05,0.06,36%,13%,3/23,25,189,145,42,11,13
free1ng,free1ng,DRX,1916,['Tejo'],1,297,1.16,222.2,1.24,75%,146.5,0.81,0.24,0.1,0.07,29%,18%,6/33,28,241,195,70,30,20
BerserX,BerserX,BME,4874,"['Killjoy', 'Vyse', 'Cypher']",3,123,1.14,208.8,1.19,73%,145.1,0.75,0.18,0.07,0.09,25%,11%,2/19,22,92,77,22,9,11
Kushy,Kushy,RRQ,4866,"['Sova', 'Fade']",2,269,1.14,222.2,1.14,74%,142.6,0.74,0.32,0.08,0.06,34%,17%,4/23,22,200,175,86,22,16
MaKo,MaKo,DRX,4462,"['Omen', 'Astra', 'Brimstone']",3,297,1.12,204.8,1.09,78%,134.8,0.71,0.48,0.09,0.09,26%,27%,8/30,25,210,193,143,26,27
f0rsakeN,f0rsakeN,PRX,9801,"['Deadlock', 'Tejo', 'Skye', 'Vyse', 'Sova', 'Killjoy']",6,140,1.12,221.6,1.1,78%,148.5,0.79,0.38,0.09,0.09,35%,0%,0/12,24,111,101,53,13,12
Ivy,Ivy,NS,31829,"['Fade', 'Sova', 'Viper', 'Vyse', 'Tejo', 'Deadlock', 'Breach', 'Astra']",8,319,1.11,195.8,1.16,78%,124.4,0.73,0.35,0.07,0.05,30%,26%,12/47,35,232,200,112,22,16
HYUNMIN,HYUNMIN,DRX,28400,"['Raze', 'Jett']",2,297,1.11,245.4,1.15,73%,165.5,0.86,0.16,0.22,0.13,28%,11%,2/18,29,255,221,49,65,40
Francis,Francis,NS,31828,"['Kayo', 'Breach', 'Fade', 'Skye', 'Sova', 'Tejo']",6,319,1.1,218.8,1.07,76%,144.7,0.74,0.39,0.08,0.08,23%,11%,4/38,23,235,219,126,24,24
Kr1stal,Kr1stal,GE,5796,"['Sova', 'Fade', 'Tejo']",3,164,1.1,207.3,1.07,72%,139.0,0.7,0.28,0.1,0.09,24%,18%,4/22,19,115,107,46,17,14
JessieVash,JessieVash,TS,2334,"['Sova', 'Cypher', 'Fade']",3,111,1.1,217.8,1.09,68%,155.5,0.78,0.23,0.07,0.06,36%,14%,3/22,22,87,80,25,8,7
Persia,Persia,NS,4122,"['Astra', 'Omen', 'Brimstone']",3,319,1.09,191.2,1.06,78%,125.5,0.68,0.47,0.05,0.06,27%,22%,8/37,35,216,203,151,17,19
JitBoyS,JitBoyS,TLN,13788,"['Astra', 'Omen', 'Brimstone']",3,217,1.09,190.2,1.08,73%,125.0,0.71,0.32,0.09,0.06,34%,20%,5/25,19,154,143,69,20,14
Estrella,Estrella,RRQ,25025,"['Kayo', 'Astra', 'Breach', 'Viper', 'Omen']",5,269,1.08,181.4,1.04,77%,122.0,0.64,0.46,0.06,0.07,31%,20%,8/41,28,173,166,125,17,18
BuZz,BuZz,T1,804,"['Neon', 'Raze', 'Yoru']",3,483,1.07,236.6,1.08,71%,154.8,0.81,0.21,0.21,0.16,19%,20%,7/35,28,391,362,101,100,76
Jinggg,Jinggg,PRX,7378,"['Raze', 'Cypher', 'Phoenix']",3,140,1.04,218.1,1.1,71%,143.6,0.77,0.16,0.14,0.16,20%,8%,1/12,21,108,98,23,20,22
Dep,Dep,ZETA,424,"['Raze', 'Neon']",2,83,1.04,227.0,1.03,64%,135.2,0.78,0.19,0.14,0.19,28%,33%,2/6,21,65,63,16,12,16
Famouz,Famouz,BME,2348,"['Neon', 'Raze']",2,123,1.04,230.5,1.07,72%,142.9,0.79,0.2,0.2,0.2,13%,15%,2/13,24,97,91,24,24,24
Munchkin,Munchkin,GEN,2489,"['Breach', 'Viper', 'Kayo', 'Tejo']",4,304,1.03,202.4,1.03,75%,130.3,0.67,0.37,0.1,0.09,24%,6%,2/31,22,205,199,113,30,26
carpe,carpe,T1,31207,"['Omen', 'Brimstone', 'Astra']",3,297,1.02,180.8,0.91,75%,117.9,0.63,0.54,0.06,0.05,34%,14%,6/43,19,187,206,159,19,16
yoman,yoman,GEN,25081,"['Sova', 'Fade', 'Breach']",3,304,1.0,172.1,1.0,74%,108.5,0.61,0.31,0.06,0.06,30%,6%,2/35,22,185,185,93,18,17
Akame,Akame,DFM,13002,"['Kayo', 'Iso', 'Breach', 'Vyse']",4,180,1.0,201.9,0.94,76%,129.5,0.68,0.32,0.11,0.08,31%,12%,2/17,24,123,131,58,19,14
d4v41,d4v41,PRX,9803,"['Clove', 'Killjoy', 'Sage', 'Skye', 'Kayo', 'Sova']",6,140,1.0,194.0,0.99,79%,139.0,0.69,0.31,0.06,0.07,32%,13%,2/15,27,97,98,44,9,10
dos9,dos9,BME,16215,"['Astra', 'Brimstone', 'Omen']",3,123,1.0,180.2,0.9,78%,114.6,0.63,0.41,0.07,0.04,28%,13%,3/23,20,77,86,50,9,5
iZu,iZu,T1,29833,"['Yoru', 'Gekko', 'Raze', 'Viper', 'Tejo', 'Cypher', 'Sova']",7,483,1.0,183.5,1.02,72%,126.7,0.66,0.22,0.07,0.09,28%,10%,6/59,29,321,316,108,34,42
Papi,Papi,GE,13219,"['Omen', 'Astra']",2,164,1.0,174.0,0.99,73%,112.8,0.63,0.32,0.08,0.04,39%,19%,5/27,16,103,104,52,13,7
stax,stax,T1,485,"['Sova', 'Kayo', 'Breach', 'Skye', 'Fade']",5,483,0.99,169.7,0.93,72%,116.8,0.6,0.39,0.06,0.06,26%,10%,6/62,28,292,314,190,27,29
Monyet,Monyet,RRQ,8497,"['Omen', 'Phoenix', 'Neon', 'Viper']",4,269,0.99,187.9,1.02,72%,120.3,0.67,0.32,0.07,0.12,31%,23%,3/13,27,179,175,87,18,31
t3xture,t3xture,GEN,9196,"['Raze', 'Neon', 'Jett']",3,304,0.99,222.4,1.12,65%,141.8,0.82,0.13,0.18,0.23,24%,18%,3/17,35,248,222,41,56,69
something,something,PRX,17086,"['Fade', 'Breach', 'Jett']",3,140,0.98,210.4,1.01,72%,131.3,0.74,0.22,0.16,0.14,22%,14%,3/22,21,103,102,31,22,20
UdoTan,UdoTan,GE,4428,"['Jett', 'Raze', 'Deadlock']",3,164,0.98,217.9,1.0,66%,138.5,0.76,0.13,0.13,0.2,26%,0%,0/8,23,125,125,22,22,32
Foxy9,Foxy9,GEN,11600,"['Killjoy', 'Cypher', 'Gekko']",3,304,0.97,194.5,1.03,66%,125.3,0.69,0.16,0.08,0.08,34%,21%,7/33,23,211,204,48,25,25
xffero,xffero,RRQ,4871,"['Astra', 'Vyse', 'Killjoy']",3,269,0.97,180.6,1.02,75%,121.3,0.66,0.25,0.09,0.09,27%,11%,4/35,31,177,173,68,23,23
margaret,margaret,NS,33576,"['Cypher', 'Killjoy', 'Vyse', 'Viper']",4,319,0.96,180.7,0.96,72%,122.0,0.65,0.23,0.13,0.08,28%,8%,3/36,31,206,215,73,43,27
BeYN,BeYN,DRX,4678,"['Fade', 'Sova', 'Breach', 'Kayo']",4,297,0.95,159.9,0.88,75%,106.1,0.56,0.4,0.05,0.05,27%,9%,3/33,23,165,187,118,15,15
Flashback,Flashback,DRX,35013,"['Viper', 'Killjoy', 'Cypher', 'Vyse']",4,297,0.94,183.9,0.95,74%,121.8,0.63,0.25,0.08,0.11,24%,10%,4/39,22,188,197,74,25,34
Sylvan,Sylvan,T1,4056,"['Astra', 'Brimstone', 'Omen']",3,186,0.93,176.3,0.87,76%,118.7,0.6,0.53,0.05,0.11,26%,25%,5/20,19,111,128,98,10,20
