match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
458805,DetonatioN FocusMe vs Global Esports,VCT 2025: Pacific Stage 1,2025-03-22 04:00:00,Bo3,DetonatioN FocusMe vs Global Esports,0 - 2,2,Patch 10.05,GE ban Ascent; DFM ban Icebox; GE pick Lotus; DFM pick Pearl; GE ban Haven; DFM ban Fracture; Split remains
458806,T1 vs ZETA DIVISION,VCT 2025: Pacific Stage 1,2025-03-22 06:40:00,Bo3,T1 vs ZETA DIVISION,2 - 1,3,Patch 10.05,ZETA ban Icebox; T1 ban Ascent; ZETA pick Fracture; T1 pick Split; ZETA ban Pearl; T1 ban Lotus; Haven remains
458807,DRX vs Paper Rex,VCT 2025: Pacific Stage 1,2025-03-23 04:00:00,Bo3,DRX vs Paper Rex,2 - 1,3,Patch 10.05,DRX ban Pearl; PRX ban Ascent; DRX pick Haven; PRX pick Icebox; DRX ban Fracture; PRX ban Split; Lotus remains
458808,TALON vs Team Secret,VCT 2025: Pacific Stage 1,2025-03-23 07:05:00,Bo3,TALON vs Team Secret,2 - 1,3,Patch 10.05,TS ban Ascent; TLN ban Lotus; TS pick Pearl; TLN pick Fracture; TS ban Icebox; TLN ban Split; Haven remains
458809,Gen.G vs BOOM Esports,VCT 2025: Pacific Stage 1,2025-03-24 04:00:00,Bo3,Gen.G vs BOOM Esports,0 - 2,2,Patch 10.05,BME ban Split; GEN ban Pearl; BME pick Ascent; GEN pick Haven; BME ban Lotus; GEN ban Icebox; Fracture remains
458810,Nongshim RedForce vs Rex Regum Qeon,VCT 2025: Pacific Stage 1,2025-03-24 06:50:00,Bo3,Nongshim RedForce vs Rex Regum Qeon,2 - 1,3,Patch 10.05,RRQ ban Lotus; NS ban Fracture; RRQ pick Ascent; NS pick Split; RRQ ban Icebox; NS ban Haven; Pearl remains
458811,Team Secret vs ZETA DIVISION,VCT 2025: Pacific Stage 1,2025-03-29 04:00:00,Bo3,Team Secret vs ZETA DIVISION,0 - 2,2,Patch 10.05,ZETA ban Pearl; TS ban Fracture; ZETA pick Lotus; TS pick Icebox; ZETA ban Split; TS ban Ascent; Haven remains
458812,T1 vs Nongshim RedForce,VCT 2025: Pacific Stage 1,2025-03-29 06:35:00,Bo3,T1 vs Nongshim RedForce,2 - 0,2,Patch 10.05,T1 ban Lotus; NS ban Haven; T1 pick Icebox; NS pick Split; T1 ban Pearl; NS ban Fracture; Ascent remains
458813,Gen.G vs Paper Rex,VCT 2025: Pacific Stage 1,2025-03-30 04:00:00,Bo3,Gen.G vs Paper Rex,2 - 1,3,Patch 10.05,GEN ban Icebox; PRX ban Ascent; GEN pick Lotus; PRX pick Fracture; GEN ban Split; PRX ban Pearl; Haven remains
458814,DRX vs DetonatioN FocusMe,VCT 2025: Pacific Stage 1,2025-03-30 06:55:00,Bo3,DRX vs DetonatioN FocusMe,2 - 0,2,Patch 10.05,DRX ban Pearl; DFM ban Icebox; DRX pick Lotus; DFM pick Ascent; DRX ban Split; DFM ban Haven; Fracture remains
458815,TALON vs Rex Regum Qeon,VCT 2025: Pacific Stage 1,2025-03-31 04:00:00,Bo3,TALON vs Rex Regum Qeon,0 - 2,2,Patch 10.05,TLN ban Pearl; RRQ ban Fracture; TLN pick Lotus; RRQ pick Ascent; TLN ban Icebox; RRQ ban Split; Haven remains
458816,BOOM Esports vs Global Esports,VCT 2025: Pacific Stage 1,2025-03-31 06:10:00,Bo3,BOOM Esports vs Global Esports,2 - 0,2,Patch 10.05,GE ban Ascent; BME ban Split; GE pick Lotus; BME pick Haven; GE ban Icebox; BME ban Pearl; Fracture remains
458817,Gen.G vs DetonatioN FocusMe,VCT 2025: Pacific Stage 1,2025-04-05 04:00:00,Bo3,Gen.G vs DetonatioN FocusMe,2 - 0,2,Patch 10.06,GEN ban Ascent; DFM ban Icebox; GEN pick Lotus; DFM pick Fracture; GEN ban Pearl; DFM ban Split; Haven remains
458818,Rex Regum Qeon vs ZETA DIVISION,VCT 2025: Pacific Stage 1,2025-04-05 06:00:00,Bo3,Rex Regum Qeon vs ZETA DIVISION,2 - 0,2,Patch 10.06,ZETA ban Ascent; RRQ ban Lotus; ZETA pick Split; RRQ pick Haven; ZETA ban Icebox; RRQ ban Pearl; Fracture remains
458819,Paper Rex vs BOOM Esports,VCT 2025: Pacific Stage 1,2025-04-06 04:00:00,Bo3,Paper Rex vs BOOM Esports,1 - 2,3,Patch 10.06,PRX ban Haven; BME ban Split; PRX pick Pearl; BME pick Ascent; PRX ban Icebox; BME ban Lotus; Fracture remains
458820,TALON vs Nongshim RedForce,VCT 2025: Pacific Stage 1,2025-04-06 07:45:00,Bo3,TALON vs Nongshim RedForce,2 - 1,3,Patch 10.06,TLN ban Pearl; NS ban Ascent; TLN pick Haven; NS pick Lotus; TLN ban Split; NS ban Icebox; Fracture remains
458821,DRX vs Global Esports,VCT 2025: Pacific Stage 1,2025-04-07 04:00:00,Bo3,DRX vs Global Esports,2 - 0,2,Patch 10.06,DRX ban Pearl; GE ban Icebox; DRX pick Ascent; GE pick Split; DRX ban Haven; GE ban Lotus; Fracture remains
458822,T1 vs Team Secret,VCT 2025: Pacific Stage 1,2025-04-07 06:00:00,Bo3,T1 vs Team Secret,2 - 1,3,Patch 10.06,T1 ban Pearl; TS ban Fracture; T1 pick Haven; TS pick Icebox; T1 ban Split; TS ban Ascent; Lotus remains
458823,Nongshim RedForce vs Team Secret,VCT 2025: Pacific Stage 1,2025-04-12 04:00:00,Bo3,Nongshim RedForce vs Team Secret,2 - 0,2,Patch 10.06,NS ban Icebox; TS ban Haven; NS pick Pearl; TS pick Split; NS ban Fracture; TS ban Ascent; Fracture remains
458824,DRX vs BOOM Esports,VCT 2025: Pacific Stage 1,2025-04-12 06:15:00,Bo3,DRX vs BOOM Esports,1 - 2,3,Patch 10.06,DRX ban Pearl; BME ban Split; DRX pick Icebox; BME pick Haven; DRX ban Fracture; BME ban Lotus; Ascent remains
458825,T1 vs Rex Regum Qeon,VCT 2025: Pacific Stage 1,2025-04-13 04:00:00,Bo3,T1 vs Rex Regum Qeon,1 - 2,3,Patch 10.06,T1 ban Ascent; RRQ ban Haven; T1 pick Pearl; RRQ pick Icebox; T1 ban Fracture; RRQ ban Split; Lotus remains
458826,Gen.G vs Global Esports,VCT 2025: Pacific Stage 1,2025-04-13 07:10:00,Bo3,Gen.G vs Global Esports,2 - 0,2,Patch 10.06,GEN ban Split; GE ban Lotus; GEN pick Haven; GE pick Pearl; GEN ban Fracture; GE ban Icebox; Ascent remains
458827,TALON vs ZETA DIVISION,VCT 2025: Pacific Stage 1,2025-04-14 04:00:00,Bo3,TALON vs ZETA DIVISION,0 - 2,2,Patch 10.06,TLN ban Pearl; ZETA ban Fracture; TLN pick Lotus; ZETA pick Split; TLN ban Haven; ZETA ban Ascent; Icebox remains
458828,DetonatioN FocusMe vs Paper Rex,VCT 2025: Pacific Stage 1,2025-04-14 06:10:00,Bo3,DetonatioN FocusMe vs Paper Rex,1 - 2,3,Patch 10.06,DFM ban Icebox; PRX ban Haven; DFM pick Ascent; PRX pick Lotus; DFM ban Split; PRX ban Fracture; Pearl remains
458830,Paper Rex vs Global Esports,VCT 2025: Pacific Stage 1,2025-04-19 04:00:00,Bo3,Paper Rex vs Global Esports,2 - 0,2,Patch 10.07,GE ban Fracture; PRX ban Haven; GE pick Split; PRX pick Lotus; GE ban Icebox; PRX ban Ascent; Pearl remains
458831,T1 vs TALON,VCT 2025: Pacific Stage 1,2025-04-19 06:00:00,Bo3,T1 vs TALON,0 - 2,2,Patch 10.07,TLN ban Pearl; T1 ban Fracture; TLN pick Icebox; T1 pick Haven; TLN ban Split; T1 ban Ascent; Lotus remains
458832,DRX vs Gen.G,VCT 2025: Pacific Stage 1,2025-04-20 04:00:00,Bo3,DRX vs Gen.G,2 - 1,3,Patch 10.07,GEN ban Fracture; DRX ban Pearl; GEN pick Lotus; DRX pick Split; GEN ban Icebox; DRX ban Haven; Ascent remains
458833,Nongshim RedForce vs ZETA DIVISION,VCT 2025: Pacific Stage 1,2025-04-20 07:30:00,Bo3,Nongshim RedForce vs ZETA DIVISION,2 - 1,3,Patch 10.07,ZETA ban Haven; NS ban Fracture; ZETA pick Lotus; NS pick Pearl; ZETA ban Ascent; NS ban Icebox; Split remains
458834,DetonatioN FocusMe vs BOOM Esports,VCT 2025: Pacific Stage 1,2025-04-21 04:00:00,Bo3,DetonatioN FocusMe vs BOOM Esports,0 - 2,2,Patch 10.07,BME ban Split; DFM ban Icebox; BME pick Fracture; DFM pick Ascent; BME ban Pearl; DFM ban Lotus; Haven remains
458835,Rex Regum Qeon vs Team Secret,VCT 2025: Pacific Stage 1,2025-04-21 06:00:00,Bo3,Rex Regum Qeon vs Team Secret,1 - 2,3,Patch 10.07,RRQ ban Pearl; TS ban Fracture; RRQ pick Haven; TS pick Ascent; RRQ ban Split; TS ban Icebox; Lotus remains
473833,TALON vs Gen.G,VCT 2025: Pacific Stage 1,2025-04-26 04:00:00,Bo3,TALON vs Gen.G,1 - 2,3,Patch 10.07,GEN ban Fracture; TLN ban Lotus; GEN pick Haven; TLN pick Icebox; GEN ban Ascent; TLN ban Split; Pearl remains
473834,DRX vs T1,VCT 2025: Pacific Stage 1,2025-04-26 07:00:00,Bo3,DRX vs T1,2 - 0,2,Patch 10.07,T1 ban Icebox; DRX ban Pearl; T1 pick Lotus; DRX pick Fracture; T1 ban Ascent; DRX ban Split; Haven remains
473837,BOOM Esports vs Gen.G,VCT 2025: Pacific Stage 1,2025-04-27 04:00:00,Bo3,BOOM Esports vs Gen.G,0 - 2,2,Patch 10.07,GEN ban Fracture; BME ban Lotus; GEN pick Split; BME pick Ascent; GEN ban Icebox; BME ban Pearl; Haven remains
473838,Rex Regum Qeon vs DRX,VCT 2025: Pacific Stage 1,2025-04-27 06:10:00,Bo3,Rex Regum Qeon vs DRX,2 - 1,3,Patch 10.07,DRX ban Pearl; RRQ ban Split; DRX pick Fracture; RRQ pick Icebox; DRX ban Haven; RRQ ban Ascent; Lotus remains
473835,TALON vs Nongshim RedForce,VCT 2025: Pacific Stage 1,2025-05-03 04:00:00,Bo3,TALON vs Nongshim RedForce,2 - 1,3,Patch 10.07,TLN ban Split; NS ban Fracture; TLN pick Haven; NS pick Pearl; TLN ban Lotus; NS ban Icebox; Ascent remains
473836,T1 vs Paper Rex,VCT 2025: Pacific Stage 1,2025-05-03 07:25:00,Bo3,T1 vs Paper Rex,1 - 2,3,Patch 10.07,PRX ban Haven; T1 ban Icebox; PRX pick Fracture; T1 pick Ascent; PRX ban Pearl; T1 ban Split; Lotus remains
473839,DRX vs TALON,VCT 2025: Pacific Stage 1,2025-05-04 04:00:00,Bo3,DRX vs TALON,2 - 0,2,Patch 10.07,TLN ban Split; DRX ban Pearl; TLN pick Icebox; DRX pick Fracture; TLN ban Ascent; DRX ban Haven; Lotus remains
