map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Bind,BME,0,4 (0),1 (0),1 (1),15 (7),508815
Bind,TLN,2,3 (2),1 (1),4 (3),13 (7),508815
Icebox,BME,0,2 (0),2 (0),5 (1),7 (2),508815
Icebox,TLN,2,2 (2),0 (0),5 (5),9 (6),508815
All Maps,BME,0,6 (0),3 (0),6 (2),22 (9),508815
All Maps,TLN,4,5 (4),1 (1),9 (8),22 (13),508815
Sunset,NS,0,4 (0),2 (0),1 (1),14 (7),508816
Sunset,TS,2,2 (2),1 (1),7 (4),11 (6),508816
Ascent,NS,0,4 (0),1 (0),3 (2),15 (11),508816
Ascent,TS,2,2 (2),2 (0),10 (4),9 (4),508816
All Maps,NS,2,2 (2),0 (0),5 (5),9 (6),508816
All Maps,TS,0,4 (0),1 (0),3 (0),8 (3),508816
Haven,T1,1,3 (1),2 (0),8 (6),19 (8),508817
Haven,PRX,1,3 (1),2 (0),4 (3),23 (13),508817
Lotus,T1,2,2 (2),2 (0),6 (3),16 (7),508817
Lotus,PRX,0,4 (0),1 (0),2 (2),19 (12),508817
All Maps,T1,3,5 (3),4 (0),14 (9),35 (15),508817
All Maps,PRX,1,7 (1),3 (0),6 (5),42 (25),508817
Corrode,DRX,1,3 (1),1 (1),5 (3),12 (3),508818
Corrode,GEN,1,3 (1),1 (1),4 (3),13 (8),508818
Haven,DRX,1,3 (1),1 (0),7 (2),8 (3),508818
Haven,GEN,1,3 (2),0 (0),3 (1),13 (10),508818
All Maps,DRX,2,6 (2),2 (1),12 (5),20 (6),508818
All Maps,GEN,2,6 (3),1 (1),7 (4),26 (18),508818
Haven,RRQ,1,3 (1),1 (0),7 (3),9 (3),508819
Haven,GE,1,3 (1),0 (0),4 (2),13 (10),508819
Corrode,RRQ,1,3 (2),1 (0),5 (2),9 (1),508819
Corrode,GE,1,3 (1),1 (1),2 (1),12 (10),508819
All Maps,RRQ,2,6 (3),2 (0),12 (5),18 (4),508819
All Maps,GE,2,6 (2),1 (1),6 (3),25 (20),508819
Haven,ZETA,0,3 (0),2 (0),4 (0),5 (1),508820
Haven,DFM,2,2 (2),0 (0),4 (3),8 (8),508820
Lotus,ZETA,2,2 (2),0 (0),3 (3),9 (8),508820
Lotus,DFM,0,3 (0),1 (0),6 (1),4 (0),508820
All Maps,ZETA,2,3 (2),2 (0),6 (2),9 (3),508820
All Maps,DFM,0,3 (0),0 (0),6 (5),11 (8),508820
Icebox,DRX,1,3 (2),0 (0),3 (2),12 (9),508821
Icebox,NS,1,3 (1),2 (0),4 (1),9 (3),508821
Bind,DRX,0,4 (0),0 (0),3 (0),10 (4),508821
Bind,NS,2,3 (2),1 (1),3 (3),10 (7),508821
All Maps,DRX,1,3 (1),1 (1),6 (3),14 (8),508821
All Maps,NS,1,3 (1),2 (1),4 (2),15 (7),508821
Ascent,BME,1,3 (1),2 (0),4 (3),13 (5),508822
Ascent,T1,1,3 (1),1 (1),4 (1),14 (10),508822
Corrode,BME,2,2 (2),0 (0),8 (2),13 (6),508822
Corrode,T1,0,4 (0),2 (1),3 (1),14 (11),508822
All Maps,BME,3,5 (3),2 (0),12 (5),26 (11),508822
All Maps,T1,1,7 (1),3 (2),7 (2),28 (21),508822
Bind,GE,0,4 (0),1 (0),4 (2),9 (3),508823
Bind,TS,2,2 (2),0 (0),6 (4),10 (7),508823
Corrode,GE,1,2 (1),1 (0),7 (5),12 (7),508823
Corrode,TS,1,2 (1),2 (0),6 (2),12 (6),508823
Icebox,GE,0,3 (0),0 (0),7 (3),14 (8),508823
Icebox,TS,2,3 (2),3 (0),5 (1),13 (10),508823
All Maps,GE,1,9 (1),2 (0),18 (10),35 (18),508823
All Maps,TS,5,7 (5),5 (0),17 (7),35 (23),508823
Lotus,PRX,2,2 (2),0 (0),7 (5),11 (6),508824
Lotus,DFM,0,4 (0),3 (0),5 (2),8 (5),508824
Haven,PRX,2,2 (2),0 (0),4 (2),14 (9),508824
Haven,DFM,0,4 (0),2 (0),5 (3),9 (4),508824
All Maps,PRX,4,4 (4),0 (0),11 (7),25 (15),508824
All Maps,DFM,0,8 (0),5 (0),10 (5),17 (9),508824
Icebox,TLN,2,2 (2),0 (0),5 (4),11 (7),508825
Icebox,ZETA,0,4 (0),1 (0),5 (2),8 (3),508825
Bind,TLN,1,3 (2),0 (0),3 (3),13 (8),508825
Bind,ZETA,1,3 (1),3 (0),6 (2),7 (3),508825
All Maps,TLN,3,5 (4),0 (0),8 (7),24 (15),508825
All Maps,ZETA,1,7 (1),4 (0),11 (4),15 (6),508825
Sunset,RRQ,1,3 (1),1 (0),5 (3),10 (2),508826
Sunset,GEN,1,3 (1),0 (0),5 (3),11 (9),508826
Ascent,RRQ,1,3 (1),1 (1),4 (3),16 (8),508826
Ascent,GEN,1,2 (1),1 (0),8 (4),13 (6),508826
All Maps,RRQ,2,2 (2),0 (0),6 (4),11 (7),508826
All Maps,GEN,0,4 (0),1 (0),6 (2),8 (4),508826
Icebox,GEN,0,3 (0),3 (1),3 (1),7 (1),508828
Icebox,GE,2,2 (2),1 (0),3 (2),10 (9),508828
Haven,GEN,1,3 (1),0 (0),2 (2),11 (10),508828
Haven,GE,1,3 (1),1 (0),8 (2),4 (0),508828
All Maps,GEN,1,4 (1),0 (0),2 (1),14 (11),508828
All Maps,GE,1,2 (1),1 (0),9 (5),8 (1),508828
Sunset,TLN,0,3 (0),2 (1),3 (1),14 (11),508829
Sunset,DFM,2,2 (2),1 (1),9 (2),10 (4),508829
Corrode,TLN,1,3 (1),1 (0),5 (3),12 (4),508829
Corrode,DFM,1,3 (1),1 (0),3 (2),14 (10),508829
All Maps,TLN,1,4 (1),1 (1),8 (4),9 (3),508829
All Maps,DFM,1,3 (1),0 (0),3 (3),16 (9),508829
Corrode,T1,1,3 (1),1 (0),2 (1),15 (11),508830
Corrode,ZETA,1,3 (1),1 (0),5 (3),12 (4),508830
Sunset,T1,1,4 (1),1 (1),1 (0),13 (11),508830
Sunset,ZETA,1,3 (2),1 (0),7 (2),8 (2),508830
All Maps,T1,2,7 (2),2 (1),3 (1),28 (22),508830
All Maps,ZETA,2,6 (3),2 (0),12 (5),20 (6),508830
Corrode,RRQ,2,2 (2),1 (0),7 (5),14 (4),508831
Corrode,NS,0,3 (0),1 (0),3 (0),17 (13),508831
Haven,RRQ,1,3 (1),1 (1),3 (2),14 (9),508831
Haven,NS,1,3 (1),2 (1),4 (1),12 (5),508831
All Maps,RRQ,2,2 (2),0 (0),5 (5),9 (6),508831
All Maps,NS,0,3 (0),2 (0),5 (0),6 (3),508831
Icebox,DRX,1,3 (1),0 (0),2 (2),12 (10),508832
Icebox,TS,1,3 (1),0 (0),7 (1),7 (2),508832
Corrode,DRX,0,3 (1),0 (0),2 (2),12 (10),508832
Corrode,TS,2,4 (2),3 (1),4 (0),6 (1),508832
All Maps,DRX,1,6 (2),0 (0),4 (4),24 (20),508832
All Maps,TS,3,7 (3),3 (1),11 (1),13 (3),508832
Bind,BME,2,2 (2),1 (0),7 (4),11 (2),508833
Bind,PRX,0,4 (0),1 (1),3 (1),13 (11),508833
Lotus,BME,1,3 (1),3 (1),4 (3),13 (5),508833
Lotus,PRX,1,3 (1),1 (0),6 (5),13 (7),508833
All Maps,BME,3,5 (3),4 (1),11 (7),24 (7),508833
All Maps,PRX,1,7 (1),2 (1),9 (6),26 (18),508833
Lotus,GEN,1,3 (2),0 (0),2 (1),11 (10),508834
Lotus,TS,1,3 (1),2 (0),7 (2),4 (0),508834
Ascent,GEN,0,3 (1),1 (0),1 (1),16 (11),508834
Ascent,TS,2,3 (2),4 (1),5 (1),9 (4),508834
All Maps,GEN,1,6 (3),1 (0),3 (2),27 (21),508834
All Maps,TS,3,6 (3),6 (1),12 (3),13 (4),508834
Corrode,TLN,1,3 (1),2 (0),2 (2),16 (10),508835
Corrode,T1,1,3 (1),2 (0),5 (3),13 (6),508835
Lotus,TLN,2,2 (2),1 (1),6 (3),10 (7),508835
Lotus,T1,0,5 (1),1 (0),3 (1),10 (4),508835
All Maps,TLN,3,5 (3),3 (1),8 (5),26 (17),508835
All Maps,T1,1,8 (2),3 (0),8 (4),23 (10),508835
Lotus,BME,1,3 (2),2 (0),4 (2),14 (6),508836
Lotus,DFM,1,3 (1),1 (0),4 (2),15 (10),508836
Corrode,BME,0,3 (0),1 (0),6 (2),5 (0),508836
Corrode,DFM,2,3 (3),0 (0),3 (2),9 (8),508836
All Maps,BME,1,6 (2),3 (0),10 (4),19 (6),508836
All Maps,DFM,3,6 (4),1 (0),7 (4),24 (18),508836
Bind,RRQ,0,3 (0),1 (0),4 (2),18 (10),508837
Bind,DRX,2,2 (2),2 (0),6 (4),16 (8),508837
Ascent,RRQ,2,2 (2),3 (0),6 (1),9 (4),508837
Ascent,DRX,0,4 (1),0 (0),3 (1),13 (11),508837
All Maps,RRQ,2,5 (2),4 (0),10 (3),27 (14),508837
All Maps,DRX,2,6 (3),2 (0),9 (5),29 (19),508837
Corrode,NS,2,2 (2),2 (1),5 (4),11 (6),508838
Corrode,GE,0,3 (0),2 (0),7 (3),8 (4),508838
Bind,NS,2,2 (2),1 (1),7 (3),11 (7),508838
Bind,GE,0,4 (0),2 (0),2 (2),13 (6),508838
All Maps,NS,4,4 (4),3 (2),12 (7),22 (13),508838
All Maps,GE,0,7 (0),4 (0),9 (5),21 (10),508838
Lotus,PRX,0,4 (0),1 (0),5 (3),12 (6),508839
Lotus,ZETA,2,2 (2),2 (2),7 (4),11 (5),508839
Sunset,PRX,0,4 (0),2 (1),4 (2),10 (4),508839
Sunset,ZETA,2,3 (2),0 (0),5 (4),12 (7),508839
All Maps,PRX,0,8 (0),3 (1),9 (5),22 (10),508839
All Maps,ZETA,4,5 (4),2 (2),12 (8),23 (12),508839
Lotus,GEN,1,3 (1),0 (0),5 (1),14 (7),508840
Lotus,NS,1,3 (1),1 (0),4 (1),14 (11),508840
Ascent,GEN,1,3 (2),1 (1),4 (2),18 (7),508840
Ascent,NS,1,4 (1),2 (0),3 (0),17 (13),508840
All Maps,GEN,2,6 (3),1 (1),9 (3),32 (14),508840
All Maps,NS,2,7 (2),3 (0),7 (1),31 (24),508840
Bind,TLN,2,3 (2),2 (1),7 (3),12 (5),508841
Bind,PRX,0,4 (1),0 (0),2 (2),18 (10),508841
Icebox,TLN,1,3 (1),1 (0),8 (4),18 (9),508841
Icebox,PRX,1,3 (1),3 (1),2 (1),22 (13),508841
All Maps,TLN,3,6 (3),3 (1),15 (7),30 (14),508841
All Maps,PRX,1,7 (2),3 (1),4 (3),40 (23),508841
Lotus,DRX,1,3 (1),2 (0),3 (2),15 (10),508842
Lotus,GE,1,3 (2),0 (0),7 (2),13 (6),508842
Icebox,DRX,2,3 (2),1 (1),4 (3),15 (7),508842
Icebox,GE,0,3 (0),1 (1),4 (1),15 (8),508842
All Maps,DRX,3,6 (3),3 (1),7 (5),30 (17),508842
All Maps,GE,1,6 (2),1 (1),11 (3),28 (14),508842
Lotus,BME,1,4 (1),1 (0),2 (2),21 (12),508843
Lotus,ZETA,1,3 (1),0 (0),6 (2),19 (10),508843
Corrode,BME,2,2 (2),1 (0),8 (4),11 (3),508843
Corrode,ZETA,0,4 (0),2 (0),0 (0),16 (13),508843
All Maps,BME,1,2 (1),2 (0),7 (4),10 (3),508843
All Maps,ZETA,1,4 (1),1 (1),2 (0),14 (11),508843
Ascent,RRQ,1,3 (1),1 (0),4 (2),20 (10),508844
Ascent,TS,1,3 (1),1 (0),8 (2),16 (12),508844
Icebox,RRQ,1,3 (1),0 (0),3 (2),11 (10),508844
Icebox,TS,1,2 (1),1 (0),9 (1),5 (2),508844
All Maps,RRQ,2,2 (2),0 (0),3 (3),11 (8),508844
All Maps,TS,0,4 (0),1 (0),6 (1),5 (2),508844
Sunset,T1,1,3 (1),1 (0),2 (1),13 (11),508845
Sunset,DFM,1,2 (1),3 (0),7 (2),7 (3),508845
Haven,T1,0,4 (0),1 (0),1 (1),16 (12),508845
Haven,DFM,2,2 (2),1 (0),10 (5),9 (2),508845
All Maps,T1,1,7 (1),2 (0),3 (2),29 (23),508845
All Maps,DFM,3,4 (3),4 (0),17 (7),16 (5),508845
Lotus,TLN,1,3 (1),0 (0),2 (2),13 (10),530354
Lotus,NS,1,3 (1),1 (0),5 (3),9 (1),530354
Corrode,TLN,1,3 (1),2 (0),4 (2),21 (13),530354
Corrode,NS,1,3 (1),2 (0),5 (4),20 (9),530354
All Maps,TLN,2,6 (2),2 (0),6 (4),34 (23),530354
All Maps,NS,2,6 (2),3 (0),10 (7),29 (10),530354
Bind,RRQ,0,4 (1),1 (0),5 (1),12 (7),530355
Bind,T1,2,2 (2),3 (0),3 (1),14 (10),530355
Haven,RRQ,2,3 (2),0 (0),4 (3),13 (8),530355
Haven,T1,0,4 (1),3 (0),0 (0),13 (6),530355
All Maps,RRQ,0,4 (0),2 (1),1 (1),14 (6),530355
All Maps,T1,2,2 (2),2 (0),4 (4),13 (7),530355
Bind,DRX,0,4 (1),1 (1),3 (1),16 (10),530356
Bind,TLN,2,3 (2),0 (0),7 (3),14 (6),530356
Haven,DRX,1,3 (1),2 (0),5 (2),12 (6),530356
Haven,TLN,1,3 (1),1 (0),3 (2),15 (10),530356
All Maps,DRX,0,5 (1),1 (0),3 (0),13 (7),530356
All Maps,TLN,2,3 (2),0 (0),3 (2),16 (10),530356
Sunset,PRX,1,2 (1),2 (0),5 (1),12 (11),530357
Sunset,T1,1,3 (1),0 (0),4 (2),14 (5),530357
Bind,PRX,2,2 (2),0 (0),7 (6),10 (5),530357
Bind,T1,0,4 (0),3 (2),1 (1),11 (3),530357
All Maps,PRX,3,4 (3),2 (0),12 (7),22 (16),530357
All Maps,T1,1,7 (1),3 (2),5 (3),25 (8),530357
Lotus,NS,2,2 (2),0 (0),5 (4),12 (7),530358
Lotus,DFM,0,4 (0),2 (1),4 (1),9 (4),530358
Ascent,NS,1,3 (1),2 (0),3 (2),15 (10),530358
Ascent,DFM,1,3 (1),1 (0),7 (4),12 (5),530358
All Maps,NS,3,5 (3),2 (0),8 (6),27 (17),530358
All Maps,DFM,1,7 (1),3 (1),11 (5),21 (9),530358
Haven,RRQ,1,3 (1),1 (0),5 (2),14 (7),530359
Haven,GEN,1,3 (1),0 (0),3 (3),17 (9),530359
Sunset,RRQ,1,3 (1),0 (0),6 (3),15 (9),530359
Sunset,GEN,1,3 (1),1 (0),7 (3),13 (7),530359
All Maps,RRQ,1,3 (2),1 (0),3 (2),12 (9),530359
All Maps,GEN,1,3 (1),4 (1),3 (1),9 (3),530359
