match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
378662,Gen.G vs Sentinels,Valorant Champions 2024,2024-08-01 04:00:00,Bo3,Gen.G vs Sentinels,2 - 0,2,Patch 9.02,SEN ban Icebox; GEN ban Sunset; SEN pick Haven; GEN pick Ascent; SEN ban Bind; GEN ban Lotus; Abyss remains
378663,FunPlus Phoenix vs Team Heretics,Valorant Champions 2024,2024-08-01 06:25:00,Bo3,FunPlus Phoenix vs Team Heretics,1 - 2,3,Patch 9.02,FPX ban Sunset; TH ban Icebox; FPX pick Abyss; TH pick Bind; FPX ban Ascent; TH ban Haven; Lotus remains
378657,DRX vs KRÜ Esports,Valorant Champions 2024,2024-08-02 04:00:00,Bo3,DRX vs KRÜ Esports,2 - 1,3,Patch 9.02,KRÜ ban Icebox; DRX ban Lotus; KRÜ pick Haven; DRX pick Abyss; KRÜ ban Ascent; DRX ban Sunset; Bind remains
378656,FNATIC vs Bilibili Gaming,Valorant Champions 2024,2024-08-02 07:00:00,Bo3,FNATIC vs Bilibili Gaming,2 - 0,2,Patch 9.02,BLG ban Haven; FNC ban Sunset; BLG pick Bind; FNC pick Lotus; BLG ban Abyss; FNC ban Icebox; Ascent remains
378667,LEVIATÁN vs TALON,Valorant Champions 2024,2024-08-03 04:00:00,Bo3,LEVIATÁN vs TALON,2 - 0,2,Patch 9.02,TLN ban Icebox; LEV ban Lotus; TLN pick Bind; LEV pick Ascent; TLN ban Haven; LEV ban Abyss; Sunset remains
378669,Team Vitality vs Trace Esports,Valorant Champions 2024,2024-08-03 06:30:00,Bo3,Team Vitality vs Trace Esports,1 - 2,3,Patch 9.02,TE ban Icebox; VIT ban Lotus; TE pick Ascent; VIT pick Sunset; TE ban Abyss; VIT ban Haven; Bind remains
378674,G2 Esports vs Paper Rex,Valorant Champions 2024,2024-08-04 04:00:00,Bo3,G2 Esports vs Paper Rex,2 - 0,2,Patch 9.02,PRX ban Ascent; G2 ban Sunset; PRX pick Icebox; G2 pick Lotus; PRX ban Haven; G2 ban Abyss; Bind remains
378673,EDward Gaming vs FUT Esports,Valorant Champions 2024,2024-08-04 06:15:00,Bo3,EDward Gaming vs FUT Esports,2 - 0,2,Patch 9.02,FUT ban Haven; EDG ban Ascent; FUT pick Lotus; EDG pick Bind; FUT ban Abyss; EDG ban Icebox; Sunset remains
378664,Gen.G vs Team Heretics,Valorant Champions 2024,2024-08-06 04:00:00,Bo3,Gen.G vs Team Heretics,1 - 2,3,Patch 9.02,TH ban Ascent; GEN ban Sunset; TH pick Abyss; GEN pick Lotus; TH ban Icebox; GEN ban Haven; Bind remains
378658,FNATIC vs DRX,Valorant Champions 2024,2024-08-06 07:35:00,Bo3,FNATIC vs DRX,0 - 2,2,Patch 9.02,DRX ban Haven; FNC ban Icebox; DRX pick Abyss; FNC pick Lotus; DRX ban Ascent; FNC ban Sunset; Bind remains
378670,LEVIATÁN vs Trace Esports,Valorant Champions 2024,2024-08-07 04:00:00,Bo3,LEVIATÁN vs Trace Esports,1 - 2,3,Patch 9.02,TE ban Icebox; LEV ban Lotus; TE pick Bind; LEV pick Sunset; TE ban Haven; LEV ban Abyss; Ascent remains
378675,EDward Gaming vs G2 Esports,Valorant Champions 2024,2024-08-07 07:15:00,Bo3,EDward Gaming vs G2 Esports,1 - 2,3,Patch 9.02,G2 ban Sunset; EDG ban Ascent; G2 pick Icebox; EDG pick Haven; G2 ban Lotus; EDG ban Abyss; Bind remains
378665,Sentinels vs FunPlus Phoenix,Valorant Champions 2024,2024-08-08 04:00:00,Bo3,Sentinels vs FunPlus Phoenix,2 - 0,2,Patch 9.02,FPX ban Sunset; SEN ban Icebox; FPX pick Bind; SEN pick Lotus; FPX ban Haven; SEN ban Ascent; Abyss remains
378659,Bilibili Gaming vs KRÜ Esports,Valorant Champions 2024,2024-08-08 06:10:00,Bo3,Bilibili Gaming vs KRÜ Esports,0 - 2,2,Patch 9.02,KRÜ ban Bind; BLG ban Haven; KRÜ pick Lotus; BLG pick Icebox; KRÜ ban Abyss; BLG ban Ascent; Sunset remains
378671,TALON vs Team Vitality,Valorant Champions 2024,2024-08-09 04:00:00,Bo3,TALON vs Team Vitality,0 - 2,2,Patch 9.02,TLN ban Icebox; VIT ban Abyss; TLN pick Lotus; VIT pick Sunset; TLN ban Ascent; VIT ban Haven; Bind remains
378676,FUT Esports vs Paper Rex,Valorant Champions 2024,2024-08-09 06:25:00,Bo3,FUT Esports vs Paper Rex,0 - 2,2,Patch 9.02,FUT ban Haven; PRX ban Ascent; FUT pick Sunset; PRX pick Bind; FUT ban Abyss; PRX ban Icebox; Lotus remains
378666,Gen.G vs Sentinels,Valorant Champions 2024,2024-08-10 04:00:00,Bo3,Gen.G vs Sentinels,0 - 2,2,Patch 9.02,SEN ban Ascent; GEN ban Sunset; SEN pick Lotus; GEN pick Icebox; SEN ban Abyss; GEN ban Bind; Haven remains
378660,FNATIC vs KRÜ Esports,Valorant Champions 2024,2024-08-10 06:15:00,Bo3,FNATIC vs KRÜ Esports,2 - 1,3,Patch 9.02,KRÜ ban Bind; FNC ban Icebox; KRÜ pick Sunset; FNC pick Haven; KRÜ ban Abyss; FNC ban Ascent; Lotus remains
378672,LEVIATÁN vs Team Vitality,Valorant Champions 2024,2024-08-11 04:00:00,Bo3,LEVIATÁN vs Team Vitality,2 - 0,2,Patch 9.02,LEV ban Bind; VIT ban Abyss; LEV pick Icebox; VIT pick Sunset; LEV ban Lotus; VIT ban Haven; Ascent remains
378677,EDward Gaming vs Paper Rex,Valorant Champions 2024,2024-08-11 06:15:00,Bo3,EDward Gaming vs Paper Rex,2 - 1,3,Patch 9.02,EDG ban Bind; PRX ban Haven; EDG pick Icebox; PRX pick Sunset; EDG ban Ascent; PRX ban Abyss; Lotus remains
378822,DRX vs Sentinels,Valorant Champions 2024,2024-08-14 04:00:00,Bo3,DRX vs Sentinels,0 - 2,2,Patch 9.02,SEN ban Ascent; DRX ban Lotus; SEN pick Sunset; DRX pick Haven; SEN ban Bind; DRX ban Abyss; Icebox remains
378823,Trace Esports vs EDward Gaming,Valorant Champions 2024,2024-08-14 06:25:00,Bo3,Trace Esports vs EDward Gaming,0 - 2,2,Patch 9.02,TE ban Icebox; EDG ban Ascent; TE pick Bind; EDG pick Sunset; TE ban Haven; EDG ban Abyss; Lotus remains
378824,G2 Esports vs LEVIATÁN,Valorant Champions 2024,2024-08-15 04:00:00,Bo3,G2 Esports vs LEVIATÁN,0 - 2,2,Patch 9.02,LEV ban Bind; G2 ban Sunset; LEV pick Icebox; G2 pick Abyss; LEV ban Lotus; G2 ban Ascent; Haven remains
