map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Haven,GEN,2,2 (2),1 (0),6 (4),12 (7),378662
Haven,SEN,0,4 (0),1 (0),5 (2),11 (6),378662
Ascent,GEN,1,3 (1),0 (0),3 (3),14 (9),378662
Ascent,SEN,1,3 (1),2 (0),5 (1),10 (5),378662
All Maps,GEN,3,5 (3),1 (0),9 (7),26 (16),378662
All Maps,SEN,1,7 (1),3 (0),10 (3),21 (11),378662
Abyss,FPX,0,4 (0),3 (1),4 (2),15 (9),378663
Abyss,TH,2,2 (2),2 (0),7 (4),15 (8),378663
Bind,FPX,2,2 (2),1 (0),5 (2),14 (9),378663
Bind,TH,0,4 (0),0 (0),2 (1),16 (8),378663
All Maps,FPX,1,4 (1),1 (0),5 (4),18 (8),378663
All Maps,TH,1,3 (2),2 (1),6 (3),17 (9),378663
Haven,DRX,0,3 (0),3 (0),2 (0),7 (2),378657
Haven,KRÜ,2,2 (2),0 (0),4 (3),9 (8),378657
Abyss,DRX,2,3 (2),1 (0),3 (1),12 (10),378657
Abyss,KRÜ,0,4 (2),0 (0),7 (2),8 (2),378657
All Maps,DRX,2,2 (2),0 (0),6 (4),11 (7),378657
All Maps,KRÜ,0,4 (0),1 (0),4 (2),10 (4),378657
Bind,FNC,1,4 (1),0 (0),3 (2),15 (10),378656
Bind,BLG,1,3 (2),1 (0),6 (3),12 (4),378656
Lotus,FNC,2,2 (2),0 (0),3 (2),12 (9),378656
Lotus,BLG,0,4 (0),0 (0),6 (2),7 (2),378656
All Maps,FNC,3,6 (3),0 (0),6 (4),27 (19),378656
All Maps,BLG,1,7 (2),1 (0),12 (5),19 (6),378656
Bind,LEV,1,3 (1),2 (0),5 (3),14 (9),378667
Bind,TLN,1,3 (1),0 (0),6 (2),15 (8),378667
Ascent,LEV,2,2 (2),3 (0),3 (1),13 (10),378667
Ascent,TLN,0,4 (1),0 (0),1 (0),16 (7),378667
All Maps,LEV,3,5 (3),5 (0),8 (4),27 (19),378667
All Maps,TLN,1,7 (2),0 (0),7 (2),31 (15),378667
Ascent,VIT,0,3 (0),4 (1),5 (4),16 (8),378669
Ascent,TE,2,2 (2),1 (0),5 (3),20 (10),378669
Sunset,VIT,1,3 (1),0 (0),6 (4),11 (8),378669
Sunset,TE,1,3 (1),1 (0),8 (4),8 (2),378669
All Maps,VIT,2,2 (2),1 (0),9 (3),8 (2),378669
All Maps,TE,0,4 (1),1 (0),1 (1),14 (11),378669
Icebox,G2,1,3 (1),2 (2),3 (1),13 (9),378674
Icebox,PRX,1,3 (1),0 (0),5 (1),13 (6),378674
Lotus,G2,2,2 (2),2 (1),4 (2),14 (8),378674
Lotus,PRX,0,3 (1),1 (0),6 (2),12 (6),378674
All Maps,G2,3,5 (3),4 (3),7 (3),27 (17),378674
All Maps,PRX,1,6 (2),1 (0),11 (3),25 (12),378674
Lotus,EDG,2,2 (2),1 (0),5 (2),14 (9),378673
Lotus,FUT,0,4 (0),2 (0),0 (0),16 (9),378673
Bind,EDG,1,3 (1),1 (0),4 (1),15 (11),378673
Bind,FUT,1,3 (1),1 (0),3 (2),16 (7),378673
All Maps,EDG,3,5 (3),2 (0),9 (3),29 (20),378673
All Maps,FUT,1,7 (1),3 (0),3 (2),32 (16),378673
Abyss,GEN,2,2 (2),1 (0),9 (6),12 (5),378664
Abyss,TH,0,4 (0),1 (0),4 (4),15 (7),378664
Lotus,GEN,0,4 (1),2 (0),6 (2),12 (8),378664
Lotus,TH,2,2 (2),3 (0),9 (4),10 (7),378664
Haven,GEN,1,3 (1),0 (0),11 (5),9 (4),378664
Haven,TH,1,3 (1),1 (1),4 (3),15 (8),378664
Sunset,GEN,3,9 (4),3 (0),26 (13),33 (17),378664
Sunset,TH,3,9 (3),5 (1),17 (11),40 (22),378664
Abyss,FNC,2,2 (2),0 (0),14 (5),8 (4),378658
Abyss,DRX,0,5 (1),2 (1),0 (0),17 (11),378658
Lotus,FNC,1,4 (1),0 (0),7 (2),8 (3),378658
