player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
trexx,trexx,VIT,2168,"['Sova', 'Fade']",2,151,1.23,228.0,1.24,72%,155.0,0.81,0.34,0.09,0.07,23%,14%,3/21,26,123,99,52,13,10
Derke,Derke,FNC,5022,"['Raze', 'Yoru']",2,293,1.22,257.4,1.33,72%,167.0,0.92,0.18,0.17,0.14,24%,27%,6/22,30,269,202,54,51,42
primmie,primmie,TLN,25255,"['Yoru', 'Sage', 'Clove', 'Raze']",4,85,1.22,243.0,1.32,74%,152.4,0.88,0.27,0.08,0.06,37%,13%,2/15,22,75,57,23,7,5
Chronicle,Chronicle,FNC,458,"['Viper', 'Sova']",2,293,1.21,224.4,1.23,73%,153.8,0.77,0.29,0.13,0.07,26%,12%,4/34,25,227,185,84,38,21
keznit,keznit,KRÜ,2462,"['Neon', 'Omen', 'Raze', 'Jett']",4,156,1.18,250.8,1.16,76%,170.7,0.83,0.33,0.14,0.08,23%,13%,1/8,22,130,112,51,22,13
CHICHOO,CHICHOO,EDG,15559,"['Omen', 'Viper', 'Killjoy', 'Cypher', 'Astra']",5,449,1.18,221.5,1.24,76%,144.5,0.79,0.29,0.11,0.06,29%,16%,9/57,27,353,284,129,50,26
Meteor,Meteor,GEN,13039,"['Killjoy', 'Yoru', 'Cypher']",3,153,1.17,241.1,1.32,71%,160.7,0.9,0.17,0.11,0.1,37%,16%,3/19,28,137,104,26,17,16
RieNs,RieNs,TH,10971,"['Sova', 'Gekko', 'Viper']",3,552,1.15,214.2,1.17,75%,145.0,0.76,0.29,0.09,0.09,38%,22%,14/65,28,419,359,158,48,50
Smoggy,Smoggy,EDG,4742,"['Clove', 'Brimstone', 'Viper', 'Omen']",4,449,1.14,213.1,1.21,76%,133.8,0.76,0.37,0.06,0.06,28%,15%,9/60,23,340,281,165,29,28
t3xture,t3xture,GEN,9196,"['Jett', 'Raze']",2,153,1.14,242.6,1.17,69%,157.2,0.84,0.18,0.18,0.14,25%,19%,3/16,24,128,109,27,28,21
