agent_name,total_utilization,Lotus,Bind,Split,Haven,Pearl,Abyss,Fracture
Tejo,56.0,44.0,71.0,50.0,50.0,40.0,50.0,100.0
Omen,54.0,100.0,0.0,93.0,75.0,0.0,63.0,0.0
Yoru,46.0,39.0,14.0,57.0,67.0,100.0,38.0,13.0
Breach,45.0,50.0,14.0,64.0,58.0,0.0,38.0,100.0
Raze,39.0,50.0,86.0,50.0,0.0,0.0,0.0,63.0
Viper,36.0,61.0,43.0,93.0,0.0,0.0,0.0,0.0
Vyse,33.0,33.0,50.0,0.0,25.0,70.0,0.0,63.0
Brimstone,26.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
Cypher,26.0,33.0,7.0,7.0,75.0,0.0,25.0,38.0
Fade,26.0,39.0,21.0,50.0,0.0,40.0,13.0,0.0
Sova,25.0,17.0,0.0,0.0,50.0,60.0,75.0,0.0
Astra,23.0,0.0,0.0,7.0,25.0,100.0,63.0,0.0
Jett,17.0,0.0,0.0,29.0,42.0,0.0,63.0,0.0
Kayo,11.0,0.0,43.0,0.0,0.0,0.0,38.0,0.0
Neon,8.0,11.0,0.0,0.0,0.0,30.0,0.0,25.0
Iso,8.0,17.0,0.0,0.0,33.0,0.0,0.0,0.0
Skye,7.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0
Chamber,6.0,0.0,0.0,0.0,0.0,30.0,25.0,0.0
Killjoy,4.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
Reyna,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
Gekko,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
Clove,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Phoenix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harbor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deadlock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waylay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
