match_id,map_name,map_order,score,winner,duration,picked_by
448598,Split,1,18 - 16,EDward Gaming,1:35:46,Team Liquid
448598,Pearl,2,13 - 6,EDward Gaming,44:31,EDward Gaming
448600,Lotus,1,13 - 3,DRX,45:20,Sentinels
448600,Haven,2,13 - 10,DRX,50:13,DRX
448599,Fracture,1,13 - 10,Team Vitality,1:02:22,Team Vitality
448599,Bind,2,13 - 9,Team Vitality,51:56,T1
448597,Lotus,1,13 - 8,G2 Esports,47:38,Trace Esports
448597,Abyss,2,13 - 3,G2 Esports,36:36,G2 Esports
449000,Bind,1,8 - 13,Team Vitality,58:50,Team Vitality
449000,Abyss,2,13 - 11,DRX,51:55,DRX
449000,Split,3,11 - 13,Team Vitality,57:01,Decider
449001,Pearl,1,16 - 18,G2 Esports,1:21:52,G2 Esports
449001,Bind,2,13 - 8,EDward Gaming,43:40,EDward Gaming
449001,Fracture,3,13 - 4,EDward Gaming,35:06,Decider
449002,Lotus,1,13 - 3,T1,45:37,Trace Esports
449002,Haven,2,13 - 8,T1,42:04,T1
449003,Lotus,1,7 - 13,Sentinels,53:41,Sentinels
449003,Abyss,2,16 - 14,Team Liquid,1:02:50,Team Liquid
449003,Bind,3,13 - 1,Team Liquid,30:20,Decider
449004,Fracture,1,13 - 11,T1,1:04:03,DRX
449004,Pearl,2,13 - 4,T1,39:01,T1
449005,Haven,1,13 - 5,G2 Esports,48:57,Team Liquid
449005,Lotus,2,13 - 7,G2 Esports,46:11,G2 Esports
449008,Split,1,13 - 7,EDward Gaming,55:34,T1
449008,Bind,2,6 - 13,T1,43:41,EDward Gaming
449008,Pearl,3,13 - 11,EDward Gaming,1:01:00,Decider
449009,Bind,1,13 - 15,G2 Esports,1:13:06,Team Vitality
449009,Lotus,2,9 - 13,G2 Esports,54:57,G2 Esports
449010,Lotus,1,8 - 13,G2 Esports,57:16,G2 Esports
449010,Split,2,7 - 13,G2 Esports,41:45,EDward Gaming
449012,Lotus,1,12 - 14,Team Vitality,1:09:37,T1
449012,Haven,2,13 - 4,T1,36:14,Team Vitality
449012,Split,3,13 - 5,T1,42:08,Decider
449013,Bind,1,4 - 13,T1,34:49,EDward Gaming
449013,Haven,2,10 - 13,T1,47:05,T1
449013,Fracture,3,14 - 12,EDward Gaming,53:33,EDward Gaming
449013,Split,4,5 - 13,T1,42:09,T1
450589,Ascent,1,9 - 13,Team Thailand,-,Decider
449011,Lotus,1,13 - 5,G2 Esports,55:22,G2 Esports
449011,Haven,2,9 - 13,T1,52:45,T1
449011,Abyss,3,13 - 11,G2 Esports,47:08,G2 Esports
449011,Split,4,13 - 15,T1,1:04:07,T1
449011,Pearl,5,14 - 16,T1,1:11:01,Decider
