match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
448598,EDward Gaming vs Team Liquid,Valorant Masters Bangkok 2025,2025-02-20 05:00:00,Bo3,EDward Gaming vs Team Liquid,2 - 0,2,Patch 10.02,TL ban Lotus; EDG ban Abyss; TL pick Split; EDG pick Pearl; TL ban Fracture; EDG ban Haven; Bind remains
448600,DRX vs Sentinels,Valorant Masters Bangkok 2025,2025-02-20 08:00:00,Bo3,DRX vs Sentinels,2 - 0,2,Patch 10.02,SEN ban Fracture; DRX ban Pearl; SEN pick Lotus; DRX pick Haven; SEN ban Bind; DRX ban Split; Abyss remains
448599,Team Vitality vs T1,Valorant Masters Bangkok 2025,2025-02-21 05:00:00,Bo3,Team Vitality vs T1,2 - 0,2,Patch 10.02,VIT ban Pearl; T1 ban Abyss; VIT pick Fracture; T1 pick Bind; VIT ban Lotus; T1 ban Haven; Split remains
448597,G2 Esports vs Trace Esports,Valorant Masters Bangkok 2025,2025-02-21 07:25:00,Bo3,G2 Esports vs Trace Esports,2 - 0,2,Patch 10.02,TE ban Fracture; G2 ban Bind; TE pick Lotus; G2 pick Abyss; TE ban Haven; G2 ban Split; Pearl remains
449000,DRX vs Team Vitality,Valorant Masters Bangkok 2025,2025-02-22 05:00:00,Bo3,DRX vs Team Vitality,1 - 2,3,Patch 10.02,VIT ban Pearl; DRX ban Haven; VIT pick Bind; DRX pick Abyss; VIT ban Fracture; DRX ban Lotus; Split remains
449001,EDward Gaming vs G2 Esports,Valorant Masters Bangkok 2025,2025-02-22 08:25:00,Bo3,EDward Gaming vs G2 Esports,2 - 1,3,Patch 10.02,G2 ban Haven; EDG ban Abyss; G2 pick Pearl; EDG pick Bind; G2 ban Split; EDG ban Lotus; Fracture remains
449002,T1 vs Trace Esports,Valorant Masters Bangkok 2025,2025-02-23 05:00:00,Bo3,T1 vs Trace Esports,2 - 0,2,Patch 10.02,TE ban Fracture; T1 ban Abyss; TE pick Lotus; T1 pick Haven; TE ban Pearl; T1 ban Bind; Split remains
449003,Team Liquid vs Sentinels,Valorant Masters Bangkok 2025,2025-02-23 06:55:00,Bo3,Team Liquid vs Sentinels,2 - 1,3,Patch 10.02,SEN ban Fracture; TL ban Pearl; SEN pick Lotus; TL pick Abyss; SEN ban Haven; TL ban Split; Bind remains
449004,T1 vs DRX,Valorant Masters Bangkok 2025,2025-02-24 05:00:00,Bo3,T1 vs DRX,2 - 0,2,Patch 10.02,DRX ban Lotus; T1 ban Abyss; DRX pick Fracture; T1 pick Pearl; DRX ban Split; T1 ban Bind; Haven remains
449005,G2 Esports vs Team Liquid,Valorant Masters Bangkok 2025,2025-02-24 07:10:00,Bo3,G2 Esports vs Team Liquid,2 - 0,2,Patch 10.02,TL ban Pearl; G2 ban Split; TL pick Haven; G2 pick Lotus; TL ban Fracture; G2 ban Bind; Abyss remains
449008,EDward Gaming vs T1,Valorant Masters Bangkok 2025,2025-02-27 05:00:00,Bo3,EDward Gaming vs T1,2 - 1,3,Patch 10.02,T1 ban Abyss; EDG ban Lotus; T1 pick Split; EDG pick Bind; T1 ban Fracture; EDG ban Haven; Pearl remains
449009,Team Vitality vs G2 Esports,Valorant Masters Bangkok 2025,2025-02-27 08:15:00,Bo3,Team Vitality vs G2 Esports,0 - 2,2,Patch 10.02,VIT ban Pearl; G2 ban Fracture; VIT pick Bind; G2 pick Lotus; VIT ban Abyss; G2 ban Split; Haven remains
449010,EDward Gaming vs G2 Esports,Valorant Masters Bangkok 2025,2025-02-28 05:00:00,Bo3,EDward Gaming vs G2 Esports,0 - 2,2,Patch 10.02,G2 ban Fracture; EDG ban Abyss; G2 pick Lotus; EDG pick Split; G2 ban Haven; EDG ban Pearl; Bind remains
449012,T1 vs Team Vitality,Valorant Masters Bangkok 2025,2025-02-28 07:05:00,Bo3,T1 vs Team Vitality,2 - 1,3,Patch 10.02,T1 ban Abyss; VIT ban Pearl; T1 pick Lotus; VIT pick Haven; T1 ban Fracture; VIT ban Bind; Split remains
449013,EDward Gaming vs T1,Valorant Masters Bangkok 2025,2025-03-01 05:00:00,Bo5,EDward Gaming vs T1,1 - 3,4,Patch 10.02,EDG ban Lotus; T1 ban Abyss; EDG pick Bind; T1 pick Haven; EDG pick Fracture; T1 pick Split; Pearl remains
450589,Team International vs Team Thailand,Valorant Masters Bangkok 2025,2025-03-02 05:00:00,Bo1,Team International vs Team Thailand,0 - 1,1,,
449011,G2 Esports vs T1,Valorant Masters Bangkok 2025,2025-03-02 06:15:00,Bo5,G2 Esports vs T1,2 - 3,5,Patch 10.02,G2 ban Fracture; G2 ban Bind; G2 pick Lotus; T1 pick Haven; G2 pick Abyss; T1 pick Split; Pearl remains
