match_id,event_name,event_stage,match_date,team1,team2,score_overall,player_name,player_id,player_team,stat_type,agent,rating,acs,k,d,a,kd_diff,kast,adr,hs_percent,fk,fd,fk_fd_diff,map_name,map_winner
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,CHICHOO,15559,EDward Gaming,overall,"Viper, Vyse",1.43,266,54,35,15,+19,74%,172,35%,3,4,-1,,
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,ZmjjKK,3520,EDward Gaming,overall,"Jett, Yoru",1.09,265,48,43,11,+5,72%,167,26%,14,7,+7,,
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,nobody,3017,EDward Gaming,overall,Tejo,0.94,195,36,39,11,-3,74%,148,36%,5,8,-3,,
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,S1Mon,13768,EDward Gaming,overall,"Breach, Fade",0.88,161,30,34,18,-4,64%,108,32%,2,2,0,,
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,Smoggy,4742,EDward Gaming,overall,"Omen, Astra",0.87,166,29,37,21,-8,70%,97,33%,6,2,+4,,
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,kamo,14681,Team Liquid,overall,Yoru,1.27,253,48,39,7,+9,66%,170,27%,9,6,+3,,
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,Keiko,11494,Team Liquid,overall,"Raze, Astra",1.08,206,41,40,12,+1,74%,150,28%,3,4,-1,,
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,nAts,457,Team Liquid,overall,"Viper, Chamber",0.98,190,38,38,11,0,68%,131,18%,4,10,-6,,
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,kamyk,1475,Team Liquid,overall,"Astra, Sova",0.88,173,31,38,21,-7,74%,122,33%,4,4,0,,
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,paTiTek,309,Team Liquid,overall,"Fade, Vyse",0.67,176,30,42,16,-12,58%,106,25%,3,6,-3,,
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,CHICHOO,15559,EDward Gaming,map,Viper,1.41,287,36,25,8,+11,71%,181,38%,2,3,-1,Split,EDward Gaming
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,ZmjjKK,3520,EDward Gaming,map,Jett,1.18,277,33,27,3,+6,74%,166,23%,8,4,+4,Split,EDward Gaming
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,nobody,3017,EDward Gaming,map,Tejo,0.94,219,25,27,6,-2,76%,162,35%,4,7,-3,Split,EDward Gaming
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,S1Mon,13768,EDward Gaming,map,Breach,0.75,140,16,23,12,-7,62%,102,29%,0,2,-2,Split,EDward Gaming
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,Smoggy,4742,EDward Gaming,map,Omen,0.65,132,15,27,17,-12,68%,77,29%,3,1,+2,Split,EDward Gaming
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,kamo,14681,Team Liquid,map,Yoru,1.39,284,34,25,5,+9,68%,181,26%,7,2,+5,Split,EDward Gaming
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,Keiko,11494,Team Liquid,map,Raze,1.19,266,31,26,6,+5,76%,185,29%,3,4,-1,Split,EDward Gaming
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,kamyk,1475,Team Liquid,map,Astra,1.00,184,23,23,13,0,76%,126,33%,3,2,+1,Split,EDward Gaming
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,nAts,457,Team Liquid,map,Viper,0.97,205,25,26,11,-1,71%,136,16%,2,5,-3,Split,EDward Gaming
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,paTiTek,309,Team Liquid,map,Fade,0.63,136,16,25,13,-9,59%,91,25%,2,4,-2,Split,EDward Gaming
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,CHICHOO,15559,EDward Gaming,map,Vyse,1.46,244,18,10,7,+8,79%,157,31%,1,1,0,Pearl,EDward Gaming
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,Smoggy,4742,EDward Gaming,map,Astra,1.26,199,14,10,4,+4,74%,134,37%,3,1,+2,Pearl,EDward Gaming
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,S1Mon,13768,EDward Gaming,map,Fade,1.10,181,14,11,6,+3,68%,118,37%,2,0,+2,Pearl,EDward Gaming
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,nobody,3017,EDward Gaming,map,Tejo,0.96,170,11,12,5,-1,68%,123,37%,1,1,0,Pearl,EDward Gaming
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,ZmjjKK,3520,EDward Gaming,map,Yoru,0.91,253,15,16,8,-1,68%,170,30%,6,3,+3,Pearl,EDward Gaming
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,kamo,14681,Team Liquid,map,Yoru,1.06,222,14,14,2,0,63%,152,28%,2,4,-2,Pearl,EDward Gaming
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,nAts,457,Team Liquid,map,Chamber,1.00,175,13,12,0,+1,63%,123,24%,2,5,-3,Pearl,EDward Gaming
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,Keiko,11494,Team Liquid,map,Astra,0.88,146,10,14,6,-4,68%,89,26%,0,0,0,Pearl,EDward Gaming
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,paTiTek,309,Team Liquid,map,Vyse,0.73,215,14,17,3,-3,58%,133,25%,1,2,-1,Pearl,EDward Gaming
448598,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 05:00:00,EDward Gaming,Team Liquid,2 - 0,kamyk,1475,Team Liquid,map,Sova,0.67,161,8,15,8,-7,68%,114,32%,1,2,-1,Pearl,EDward Gaming
448600,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 08:00:00,DRX,Sentinels,2 - 0,Flashback,35013,DRX,overall,Cypher,1.38,203,34,19,7,+15,85%,147,28%,2,2,0,,
448600,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 08:00:00,DRX,Sentinels,2 - 0,BeYN,4678,DRX,overall,Breach,1.31,202,27,19,20,+8,87%,132,20%,1,2,-1,,
448600,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 08:00:00,DRX,Sentinels,2 - 0,free1ng,1916,DRX,overall,Tejo,1.30,256,35,23,12,+12,85%,160,38%,6,2,+4,,
448600,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 08:00:00,DRX,Sentinels,2 - 0,MaKo,4462,DRX,overall,Omen,0.96,164,20,22,21,-2,77%,106,23%,4,5,-1,,
448600,Valorant Masters Bangkok 2025,"Swiss Stage: 
						Round 1",2025-02-20 08:00:00,DRX,Sentinels,2 - 0,HYUNMIN,28400,DRX,overall,Yoru,0.92,208,31,30,4,+1,69%,133,48%,9,6,+3,,
