match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
490309,Team Heretics vs Paper Rex,Valorant Masters Toronto 2025,2025-06-07 12:00:00,Bo3,Team Heretics vs Paper Rex,0 - 2,2,Patch 10.10,PRX ban Haven; TH ban Split; PRX pick Pearl; TH pick Icebox; PRX ban Ascent; TH ban Sunset; Lotus remains
490307,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming) vs Team Liquid,Valorant Masters Toronto 2025,2025-06-07 14:10:00,Bo3,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming) vs Team Liquid,2 - 1,3,Patch 10.10,BLG ban Split; TL ban Pearl; BLG pick Icebox; TL pick Haven; BLG ban Lotus; TL ban Ascent; Sunset remains
490308,Sentinels vs Wolves Esports,Valorant Masters Toronto 2025,2025-06-08 12:00:00,Bo3,Sentinels vs Wolves Esports,2 - 0,2,Patch 10.10,WOL ban Haven; SEN ban Sunset; WOL pick Split; SEN pick Lotus; WOL ban Pearl; SEN ban Ascent; Icebox remains
490306,Gen.G vs MIBR,Valorant Masters Toronto 2025,2025-06-08 14:45:00,Bo3,Gen.G vs MIBR,2 - 0,2,Patch 10.10,MIBR ban Lotus; GEN ban Icebox; MIBR pick Sunset; GEN pick Haven; MIBR ban Pearl; GEN ban Split; Ascent remains
490311,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming) vs Sentinels,Valorant Masters Toronto 2025,2025-06-09 12:00:00,Bo3,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming) vs Sentinels,1 - 2,3,Patch 10.10,BLG ban Haven; SEN ban Ascent; BLG pick Icebox; SEN pick Sunset; BLG ban Pearl; SEN ban Split; Lotus remains
490310,Paper Rex vs Gen.G,Valorant Masters Toronto 2025,2025-06-09 15:30:00,Bo3,Paper Rex vs Gen.G,0 - 2,2,Patch 10.10,GEN ban Pearl; PRX ban Haven; GEN pick Ascent; PRX pick Icebox; GEN ban Sunset; PRX ban Lotus; Split remains
490312,Team Heretics vs Wolves Esports,Valorant Masters Toronto 2025,2025-06-10 12:00:00,Bo3,Team Heretics vs Wolves Esports,0 - 2,2,Patch 10.10,WOL ban Haven; TH ban Split; WOL pick Pearl; TH pick Lotus; WOL ban Sunset; TH ban Icebox; Ascent remains
490313,Team Liquid vs MIBR,Valorant Masters Toronto 2025,2025-06-10 14:30:00,Bo3,Team Liquid vs MIBR,2 - 0,2,Patch 10.10,MIBR ban Haven; TL ban Pearl; MIBR pick Icebox; TL pick Sunset; MIBR ban Lotus; TL ban Ascent; Split remains
490315,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming) vs Wolves Esports,Valorant Masters Toronto 2025,2025-06-11 12:00:00,Bo3,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming) vs Wolves Esports,0 - 2,2,Patch 10.10,BLG ban Haven; WOL ban Icebox; BLG pick Ascent; WOL pick Split; BLG ban Lotus; WOL ban Sunset; Pearl remains
490314,Paper Rex vs Team Liquid,Valorant Masters Toronto 2025,2025-06-11 14:30:00,Bo3,Paper Rex vs Team Liquid,2 - 1,3,Patch 10.10,PRX ban Haven; TL ban Pearl; PRX pick Split; TL pick Sunset; PRX ban Ascent; TL ban Icebox; Lotus remains
498622,G2 Esports vs Paper Rex,Valorant Masters Toronto 2025,2025-06-13 12:00:00,Bo3,G2 Esports vs Paper Rex,0 - 2,2,Patch 10.10,PRX ban Haven; G2 ban Sunset; PRX pick Split; G2 pick Lotus; PRX ban Ascent; G2 ban Pearl; Icebox remains
498621,Xi Lai Gaming vs Sentinels,Valorant Masters Toronto 2025,2025-06-13 14:25:00,Bo3,Xi Lai Gaming vs Sentinels,0 - 2,2,Patch 10.10,XLG ban Split; SEN ban Haven; XLG pick Sunset; SEN pick Lotus; XLG ban Ascent; SEN ban Icebox; Pearl remains
498623,Rex Regum Qeon vs Wolves Esports,Valorant Masters Toronto 2025,2025-06-14 12:00:00,Bo3,Rex Regum Qeon vs Wolves Esports,0 - 2,2,Patch 10.10,WOL ban Haven; RRQ ban Split; WOL pick Ascent; RRQ pick Icebox; WOL ban Sunset; RRQ ban Pearl; Lotus remains
498624,FNATIC vs Gen.G,Valorant Masters Toronto 2025,2025-06-14 14:30:00,Bo3,FNATIC vs Gen.G,1 - 2,3,Patch 10.10,GEN ban Icebox; FNC ban Pearl; GEN pick Haven; FNC pick Split; GEN ban Lotus; FNC ban Ascent; Sunset remains
498629,Xi Lai Gaming vs G2 Esports,Valorant Masters Toronto 2025,2025-06-15 12:00:00,Bo3,Xi Lai Gaming vs G2 Esports,0 - 2,2,Patch 10.10,XLG ban Split; G2 ban Sunset; XLG pick Icebox; G2 pick Haven; XLG ban Lotus; G2 ban Ascent; Pearl remains
498630,Rex Regum Qeon vs FNATIC,Valorant Masters Toronto 2025,2025-06-15 14:10:00,Bo3,Rex Regum Qeon vs FNATIC,1 - 2,3,Patch 10.10,FNC ban Pearl; RRQ ban Split; FNC pick Lotus; RRQ pick Haven; FNC ban Sunset; RRQ ban Icebox; Ascent remains
498626,Wolves Esports vs Gen.G,Valorant Masters Toronto 2025,2025-06-16 12:00:00,Bo3,Wolves Esports vs Gen.G,2 - 0,2,Patch 10.10,WOL ban Haven; GEN ban Pearl; WOL pick Split; GEN pick Sunset; WOL ban Icebox; GEN ban Ascent; Lotus remains
498625,Sentinels vs Paper Rex,Valorant Masters Toronto 2025,2025-06-16 14:30:00,Bo3,Sentinels vs Paper Rex,0 - 2,2,Patch 10.10,PRX ban Haven; SEN ban Icebox; PRX pick Split; SEN pick Sunset; PRX ban Ascent; SEN ban Lotus; Pearl remains
498631,Gen.G vs G2 Esports,Valorant Masters Toronto 2025,2025-06-17 12:00:00,Bo3,Gen.G vs G2 Esports,1 - 2,3,Patch 10.10,G2 ban Sunset; GEN ban Pearl; G2 pick Lotus; GEN pick Haven; G2 ban Split; GEN ban Ascent; Icebox remains
498632,Sentinels vs FNATIC,Valorant Masters Toronto 2025,2025-06-17 15:35:00,Bo3,Sentinels vs FNATIC,1 - 2,3,Patch 10.10,SEN ban Split; FNC ban Pearl; SEN pick Sunset; FNC pick Ascent; SEN ban Haven; FNC ban Lotus; Icebox remains
498627,Paper Rex vs Wolves Esports,Valorant Masters Toronto 2025,2025-06-20 12:00:00,Bo3,Paper Rex vs Wolves Esports,2 - 0,2,Patch 10.10,PRX ban Haven; WOL ban Icebox; PRX pick Lotus; WOL pick Ascent; PRX ban Pearl; WOL ban Sunset; Split remains
