map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Pearl,TH,0,3 (0),3 (0),3 (0),5 (1),490309
Pearl,PRX,2,2 (2),0 (0),3 (3),9 (8),490309
Icebox,TH,0,4 (0),3 (0),1 (0),14 (9),490309
Icebox,PRX,2,2 (2),0 (0),7 (3),13 (8),490309
All Maps,TH,0,7 (0),6 (0),4 (0),19 (10),490309
All Maps,PRX,4,4 (4),0 (0),10 (6),22 (16),490309
Icebox,BLG,2,2 (2),1 (0),8 (3),12 (8),490307
Icebox,TL,0,4 (0),1 (0),1 (1),17 (9),490307
Haven,BLG,0,4 (0),0 (0),3 (2),23 (12),490307
Haven,TL,2,2 (2),2 (0),7 (4),19 (10),490307
All Maps,BLG,1,3 (1),0 (0),6 (3),14 (9),490307
All Maps,TL,1,3 (1),2 (2),5 (1),13 (6),490307
Split,SEN,1,3 (1),0 (0),5 (3),16 (9),490308
Split,WOL,1,3 (1),1 (0),8 (7),12 (3),490308
Lotus,SEN,1,3 (1),1 (0),5 (4),12 (8),490308
Lotus,WOL,1,3 (2),1 (0),5 (2),12 (4),490308
Pearl,SEN,2,6 (2),1 (0),10 (7),28 (17),490308
Pearl,WOL,2,6 (3),2 (0),13 (9),24 (7),490308
Sunset,GEN,2,2 (2),1 (0),3 (2),12 (9),490306
Sunset,MIBR,0,3 (0),1 (0),7 (2),7 (3),490306
Haven,GEN,2,2 (2),0 (0),3 (2),9 (9),490306
Haven,MIBR,0,3 (0),2 (0),6 (0),3 (1),490306
Pearl,GEN,4,4 (4),1 (0),6 (4),21 (18),490306
Pearl,MIBR,0,6 (0),3 (0),13 (2),10 (4),490306
Icebox,BLG,2,2 (2),0 (0),6 (3),14 (8),490311
Icebox,SEN,0,5 (0),1 (0),4 (3),12 (6),490311
Sunset,BLG,1,3 (1),2 (0),6 (3),7 (1),490311
Sunset,SEN,1,3 (1),0 (0),3 (3),12 (9),490311
Haven,BLG,0,4 (1),0 (0),2 (0),16 (8),490311
Haven,SEN,2,3 (2),0 (0),8 (5),11 (6),490311
All Maps,BLG,3,9 (4),2 (0),14 (6),37 (17),490311
All Maps,SEN,3,11 (3),1 (0),15 (11),35 (21),490311
Ascent,PRX,0,4 (0),1 (0),4 (2),15 (9),490310
