player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
t3xture,t3xture,GEN,9196,"['Neon', 'Jett', 'Raze']",3,255,1.23,258.2,1.44,74%,159.5,0.94,0.19,0.21,0.17,28%,37%,7/19,27,239,166,48,54,43
Spring,Spring,WOL,14125,"['Viper', 'Astra', 'Omen']",3,349,1.21,244.1,1.23,74%,160.1,0.85,0.32,0.13,0.09,29%,7%,2/29,26,295,240,111,47,31
Verno,Verno,MIBR,21668,['Sova'],1,71,1.18,230.5,1.02,70%,157.6,0.79,0.3,0.04,0.04,28%,14%,3/22,19,56,55,21,3,3
Alfajer,Alfajer,FNC,9810,"['Iso', 'Raze', 'Cypher', 'Killjoy', 'Chamber', 'Neon']",6,419,1.17,257.9,1.3,73%,167.6,0.94,0.14,0.17,0.11,32%,12%,4/33,29,392,301,60,73,45
zekken,zekken,SEN,4004,"['Yoru', 'Raze', 'Omen', 'Neon', 'Waylay']",5,249,1.17,237.5,1.21,74%,147.2,0.81,0.26,0.19,0.21,24%,17%,3/18,27,202,167,65,47,53
trent,trent,G2,15500,"['Fade', 'Sova', 'Tejo']",3,198,1.17,214.2,1.22,81%,138.0,0.77,0.25,0.1,0.07,35%,13%,4/30,22,152,125,49,19,13
leaf,leaf,G2,7873,"['Viper', 'Killjoy', 'Vyse']",3,198,1.15,230.3,1.21,75%,148.6,0.81,0.26,0.08,0.08,24%,29%,10/35,24,161,133,51,15,16
Chronicle,Chronicle,FNC,458,"['Cypher', 'Viper', 'Vyse', 'Sage', 'Killjoy']",5,419,1.13,207.6,1.18,72%,141.1,0.72,0.3,0.08,0.06,26%,14%,7/51,27,302,257,127,35,25
whzy,whzy,BLG,4885,"['Jett', 'Neon', 'Raze']",3,179,1.13,253.1,1.21,68%,155.5,0.89,0.16,0.19,0.17,28%,13%,2/16,29,160,132,29,34,31
f0rsakeN,f0rsakeN,PRX,9801,"['Astra', 'Sova', 'Omen', 'Fade']",4,387,1.12,208.9,1.06,74%,137.5,0.72,0.4,0.1,0.08,26%,31%,9/29,25,280,263,156,37,31
Jinggg,Jinggg,PRX,7378,"['Raze', 'Omen']",2,387,1.1,229.1,1.15,73%,151.9,0.78,0.26,0.14,0.13,23%,8%,2/25,26,303,264,100,54,50
Keiko,Keiko,TL,11494,"['Harbor', 'Omen', 'Iso', 'Raze']",4,187,1.1,199.3,1.17,72%,132.9,0.76,0.17,0.09,0.07,45%,13%,4/31,29,142,121,32,16,13
N4RRATE,N4RRATE,SEN,36245,"['Breach', 'Fade', 'Gekko', 'Tejo']",4,249,1.08,219.5,1.06,75%,140.1,0.74,0.34,0.06,0.09,24%,25%,5/20,21,185,174,85,16,23
d4v41,d4v41,PRX,9803,"['Vyse', 'Killjoy', 'Viper', 'Sage']",4,387,1.07,189.4,1.12,73%,131.7,0.72,0.23,0.05,0.07,26%,10%,6/61,29,277,247,88,21,26
